time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,20.1,23.8,17.4,21.7,24.8,18.6,17.3,2.50,2.50,0.00,67,85,13.9,6.7,123,1022.3,1023.6,39100.34,14679.85,53,21.265377,106.222
2020-01-02,20.9,25.3,17.5,22.5,26.7,19.5,17.7,0.70,0.70,0.00,73,83,17.7,8.4,140,1020.8,1022.1,39118.75,10467.37,51,21.265377,106.222
2020-01-03,21.5,25.9,17.7,23.0,27.2,19.3,18.1,0.30,0.30,0.00,83,82,20.1,10.0,135,1018.9,1020.2,39138.77,9454.48,51,21.265377,106.222
2020-01-04,21.4,24.9,19.1,22.9,25.3,20.7,18.2,1.50,1.50,0.00,77,83,21.7,10.9,128,1017.0,1018.3,39160.37,18061.96,51,21.265377,106.222
2020-01-05,21.5,25.5,17.9,22.5,25.8,19.8,17.7,0.20,0.20,0.00,65,80,25.2,12.8,137,1015.9,1017.2,39183.52,28833.49,51,21.265377,106.222
2020-01-06,22.2,26.0,19.6,23.2,25.9,21.0,18.5,0.20,0.20,0.00,57,81,30.2,14.9,147,1014.6,1015.9,39208.17,22651.44,51,21.265377,106.222
2020-01-07,22.8,26.9,19.7,25.1,29.3,21.8,19.4,0.60,0.60,0.00,62,83,18.5,8.4,136,1014.5,1015.8,39234.30,23045.52,51,21.265377,106.222
2020-01-08,22.4,27.3,18.8,24.0,27.8,20.9,18.6,0.70,0.70,0.00,74,81,22.9,11.5,140,1015.1,1016.4,39261.86,34597.73,51,21.265377,106.222
2020-01-09,22.5,26.4,19.1,24.6,28.3,21.3,19.1,0.70,0.70,0.00,75,82,19.4,9.4,143,1013.4,1014.7,39290.82,24405.52,51,21.265377,106.222
2020-01-10,23.6,28.1,20.4,25.4,28.5,23.2,19.6,1.40,1.40,0.00,62,80,26.2,13.0,163,1011.7,1013.0,39321.13,27537.90,53,21.265377,106.222
2020-01-11,20.0,25.5,14.2,20.6,28.5,11.6,16.7,6.30,6.30,0.00,89,82,27.1,13.2,59,1013.1,1014.4,39352.77,26082.28,61,21.265377,106.222
2020-01-12,15.3,18.6,12.5,13.7,18.0,10.4,9.6,1.50,1.50,0.00,88,69,21.6,10.1,27,1016.5,1017.8,39385.70,11024.03,51,21.265377,106.222
2020-01-13,18.1,21.3,15.0,18.6,21.5,14.9,14.3,1.00,1.00,0.00,97,79,14.7,6.6,100,1014.2,1015.5,39419.88,5723.24,51,21.265377,106.222
2020-01-14,20.8,24.3,17.8,22.6,26.1,19.5,18.4,4.90,4.90,0.00,82,87,19.2,9.0,160,1013.2,1014.5,39455.27,10977.93,53,21.265377,106.222
2020-01-15,21.8,26.1,18.8,22.6,25.3,20.5,18.4,1.50,1.50,0.00,51,82,31.5,16.2,157,1012.0,1013.2,39492.25,20384.55,53,21.265377,106.222
2020-01-16,19.8,24.5,15.4,20.7,26.5,13.4,17.3,9.10,9.10,0.00,77,86,24.6,12.6,76,1014.2,1015.5,39530.94,15284.51,63,21.265377,106.222
2020-01-17,15.0,17.2,13.1,13.5,16.2,11.3,10.8,2.60,2.60,0.00,100,76,25.2,12.4,32,1018.3,1019.6,39571.25,625.56,53,21.265377,106.222
2020-01-18,16.2,19.0,14.0,15.9,19.9,13.2,13.0,1.90,1.90,0.00,100,82,17.5,8.7,29,1016.5,1017.8,39613.12,300.25,51,21.265377,106.222
2020-01-19,14.5,16.0,12.9,12.7,14.6,10.2,10.6,2.80,2.80,0.00,100,78,26.5,13.7,26,1019.0,1020.4,39656.47,0.00,51,21.265377,106.222
2020-01-20,16.1,18.8,13.8,16.2,19.9,13.1,12.7,0.60,0.60,0.00,100,81,12.0,5.0,7,1018.5,1019.8,39701.23,2494.47,51,21.265377,106.222
2020-01-21,19.6,23.8,16.5,21.0,25.3,17.3,17.0,0.30,0.30,0.00,76,85,15.9,7.3,148,1017.2,1018.5,39747.31,5231.30,51,21.265377,106.222
2020-01-22,21.6,26.1,18.2,23.1,26.8,20.1,19.0,1.10,1.10,0.00,71,86,24.9,12.7,152,1014.5,1015.8,39794.67,9125.63,51,21.265377,106.222
2020-01-23,22.5,26.0,20.6,24.3,27.1,22.8,19.8,1.10,1.10,0.00,89,85,27.9,14.2,145,1012.6,1013.9,39843.21,14461.21,51,21.265377,106.222
2020-01-24,21.8,24.8,20.0,23.5,25.7,22.0,19.7,11.00,11.00,0.00,88,88,28.4,14.2,129,1012.3,1013.6,39892.88,11929.37,63,21.265377,106.222
2020-01-25,15.6,20.0,11.8,13.9,21.5,9.0,13.1,37.30,37.30,0.00,98,85,38.4,18.9,30,1013.7,1015.0,39943.60,7200.00,63,21.265377,106.222
2020-01-26,14.2,18.4,11.1,11.4,15.6,7.8,6.4,1.80,1.80,0.00,60,60,27.0,13.1,24,1016.9,1018.2,39995.30,36000.00,53,21.265377,106.222
2020-01-27,13.8,18.2,9.5,11.6,16.7,6.0,6.8,0.50,0.50,0.00,35,63,21.7,10.2,41,1015.8,1017.1,40047.91,36000.00,53,21.265377,106.222
2020-01-28,14.2,17.5,11.2,11.6,15.6,7.6,6.3,0.00,0.00,0.00,72,59,23.6,11.3,38,1017.7,1019.0,40101.38,36000.00,3,21.265377,106.222
2020-01-29,13.8,17.3,11.0,11.2,14.7,8.2,5.6,0.80,0.80,0.00,77,58,21.1,10.5,22,1020.9,1022.3,40155.62,17208.82,51,21.265377,106.222
2020-01-30,14.3,19.9,8.9,12.7,19.4,7.2,7.1,0.00,0.00,0.00,10,64,16.0,7.1,47,1020.3,1021.7,40210.58,36399.02,1,21.265377,106.222
2020-01-31,15.1,21.3,8.6,13.7,20.2,6.9,9.3,0.00,0.00,0.00,37,70,17.7,8.6,117,1018.7,1020.0,40266.19,23915.36,3,21.265377,106.222
2020-02-01,16.0,18.5,13.0,16.6,19.7,12.4,14.0,3.20,3.20,0.00,91,88,10.3,4.8,13,1017.4,1018.7,40322.39,0.00,53,21.265377,106.222
2020-02-02,18.9,23.5,16.2,20.3,24.3,18.1,17.1,1.60,1.60,0.00,77,90,16.3,7.7,147,1016.9,1018.2,40379.12,14964.65,53,21.265377,106.222
2020-02-03,17.0,19.9,13.9,17.3,22.7,12.7,15.6,23.50,23.50,0.00,95,91,24.8,11.8,41,1016.4,1017.7,40436.33,3600.00,63,21.265377,106.222
2020-02-04,14.2,15.8,13.0,13.1,14.9,11.8,11.8,6.80,6.80,0.00,100,85,23.3,11.9,20,1017.9,1019.2,40494.52,0.00,61,21.265377,106.222
2020-02-05,15.3,18.2,13.2,15.7,19.4,12.6,13.6,4.80,4.80,0.00,100,89,12.4,5.6,23,1016.6,1017.9,40553.89,0.00,61,21.265377,106.222
2020-02-06,18.7,22.4,16.1,20.6,25.5,17.0,17.1,5.90,5.90,0.00,78,91,11.2,4.3,331,1014.6,1015.9,40614.36,14625.17,53,21.265377,106.222
2020-02-07,19.2,21.0,16.9,20.9,23.9,17.1,17.9,11.30,11.30,0.00,99,92,17.0,8.8,58,1017.0,1018.3,40675.85,1162.86,61,21.265377,106.222
2020-02-08,16.5,17.5,14.7,15.6,17.1,12.4,13.3,3.60,3.60,0.00,100,81,26.5,14.1,36,1020.8,1022.2,40738.29,0.00,53,21.265377,106.222
2020-02-09,14.7,16.8,13.2,12.8,15.4,10.8,10.0,1.70,1.70,0.00,99,73,26.5,13.5,31,1023.9,1025.2,40801.61,319.17,51,21.265377,106.222
2020-02-10,16.4,20.4,13.4,16.0,20.6,12.2,11.9,0.30,0.30,0.00,95,75,16.6,7.6,88,1020.0,1021.3,40865.73,9335.49,51,21.265377,106.222
2020-02-11,19.1,23.2,15.9,20.6,24.5,16.7,17.2,3.30,3.30,0.00,96,89,16.2,7.7,134,1016.4,1017.7,40930.60,3600.00,53,21.265377,106.222
2020-02-12,21.3,25.2,18.9,23.3,27.1,20.9,19.6,4.30,4.30,0.00,89,91,22.9,11.4,147,1013.5,1014.8,40996.13,8116.91,53,21.265377,106.222
2020-02-13,21.6,23.6,19.8,23.7,25.4,21.9,20.2,8.00,8.00,0.00,99,92,25.9,12.8,133,1009.7,1011.0,41062.26,5435.41,61,21.265377,106.222
2020-02-14,22.8,26.7,20.9,25.4,29.1,23.3,21.4,5.20,5.20,0.00,75,92,27.3,13.4,126,1006.2,1007.5,41128.91,14954.14,55,21.265377,106.222
2020-02-15,24.0,29.3,19.1,26.2,33.1,15.2,20.2,3.40,3.40,0.00,85,80,24.9,12.5,82,1008.6,1009.8,41196.04,16067.85,61,21.265377,106.222
2020-02-16,15.4,17.7,13.1,11.3,13.6,8.7,4.7,0.50,0.50,0.00,89,49,38.6,19.2,29,1021.1,1022.4,41263.56,13498.43,51,21.265377,106.222
2020-02-17,16.5,19.6,13.7,13.1,17.1,9.3,3.9,0.00,0.00,0.00,60,43,28.0,14.0,34,1025.1,1026.5,41331.42,33316.98,3,21.265377,106.222
2020-02-18,16.4,20.1,13.7,14.3,20.1,11.5,4.7,0.00,0.00,0.00,45,46,17.3,7.4,77,1023.5,1024.8,41399.55,34893.31,3,21.265377,106.222
2020-02-19,16.3,19.9,11.8,15.7,20.2,10.3,10.2,0.00,0.00,0.00,69,68,11.0,4.4,353,1020.9,1022.2,41467.89,13812.13,3,21.265377,106.222
