time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,19.5,23.1,16.1,20.7,24.2,16.7,16.0,0.60,0.60,0.00,77,81,17.6,5.9,258,1005.1,1024.2,38884.68,14299.76,51,22.17926,105.882355
2020-01-02,19.9,22.6,18.2,22.1,24.5,20.4,18.3,1.50,1.50,0.00,87,91,20.0,6.3,238,1003.7,1022.7,38903.99,5042.74,51,22.17926,105.882355
2020-01-03,20.6,23.4,18.8,23.2,25.7,21.4,19.1,1.80,1.80,0.00,87,91,17.2,5.3,218,1001.8,1020.7,38925.00,6719.29,51,22.17926,105.882355
2020-01-04,20.6,23.0,18.2,23.2,25.1,20.4,18.9,3.30,3.30,0.00,87,91,18.1,5.1,181,999.9,1018.8,38947.67,20008.29,53,22.17926,105.882355
2020-01-05,20.4,23.6,17.8,23.0,25.5,20.1,18.9,2.90,2.90,0.00,88,91,19.3,5.2,176,998.8,1017.6,38971.96,14726.76,53,22.17926,105.882355
2020-01-06,20.8,24.4,19.0,23.3,25.8,21.9,19.3,4.50,4.50,0.00,89,92,24.4,6.9,194,997.5,1016.3,38997.83,9155.73,51,22.17926,105.882355
2020-01-07,21.4,24.7,19.4,24.8,29.1,22.3,20.2,3.30,3.30,0.00,75,93,14.5,3.8,227,997.9,1016.7,39025.24,29831.80,51,22.17926,105.882355
2020-01-08,21.5,25.1,19.1,24.5,27.4,22.2,19.7,4.60,4.60,0.00,74,90,20.4,5.4,203,998.1,1016.9,39054.16,26412.45,53,22.17926,105.882355
2020-01-09,20.7,23.8,17.6,23.1,26.6,19.5,18.8,1.30,1.30,0.00,78,89,19.6,5.8,230,996.5,1015.3,39084.55,9997.75,51,22.17926,105.882355
2020-01-10,22.0,25.1,19.6,24.3,26.7,22.4,19.3,1.50,1.50,0.00,82,85,26.7,8.5,214,994.8,1013.5,39116.36,19057.59,51,22.17926,105.882355
2020-01-11,18.6,24.7,13.9,19.4,28.2,11.7,15.6,7.10,7.10,0.00,86,84,29.2,8.9,47,996.6,1015.6,39149.56,23389.25,63,22.17926,105.882355
2020-01-12,14.6,19.6,11.9,13.8,19.8,10.4,11.0,2.50,2.50,0.00,61,80,23.4,7.2,47,999.0,1018.3,39184.10,15463.63,53,22.17926,105.882355
