time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,20.0,23.7,18.0,21.6,24.3,19.0,17.3,3.20,3.20,0.00,66,85,14.6,7.0,127,1022.3,1023.7,39116.82,16204.57,53,21.195078,106.11394
2020-01-02,21.1,25.4,17.7,22.7,26.9,19.4,17.9,0.50,0.50,0.00,73,83,18.0,8.6,142,1020.8,1022.1,39135.16,8470.48,51,21.195078,106.11394
2020-01-03,21.6,25.6,18.7,23.1,26.9,20.7,18.4,0.50,0.50,0.00,80,83,22.1,11.1,133,1018.9,1020.2,39155.10,9061.51,51,21.195078,106.11394
2020-01-04,21.4,24.7,19.1,22.6,25.1,20.6,18.3,1.80,1.80,0.00,77,83,24.8,12.7,126,1017.0,1018.3,39176.62,14644.04,51,21.195078,106.11394
2020-01-05,21.5,25.4,18.6,22.5,26.0,20.0,18.2,0.30,0.30,0.00,72,82,27.1,13.9,133,1015.9,1017.2,39199.68,22662.33,51,21.195078,106.11394
2020-01-06,22.3,26.3,19.7,23.3,26.4,20.7,18.7,0.80,0.80,0.00,54,82,30.4,15.2,147,1014.6,1015.9,39224.24,25378.60,51,21.195078,106.11394
2020-01-07,22.7,27.5,19.6,25.1,29.4,22.3,19.6,0.90,0.90,0.00,60,84,19.0,8.8,142,1014.5,1015.8,39250.27,26004.71,51,21.195078,106.11394
2020-01-08,22.6,27.1,19.2,24.2,27.8,21.8,19.0,0.30,0.30,0.00,78,82,23.7,11.7,140,1015.1,1016.4,39277.72,34966.81,51,21.195078,106.11394
2020-01-09,22.8,27.4,19.3,24.7,29.0,21.5,19.1,0.60,0.60,0.00,69,81,21.4,10.4,147,1013.4,1014.7,39306.57,24139.07,51,21.195078,106.11394
2020-01-10,23.6,28.1,20.3,25.3,28.2,22.8,19.4,1.00,1.00,0.00,64,79,26.7,13.2,170,1011.6,1012.9,39336.77,30036.51,51,21.195078,106.11394
2020-01-11,20.4,26.9,14.6,20.9,29.9,12.2,16.8,5.40,5.40,0.00,82,80,28.9,14.1,70,1013.0,1014.3,39368.30,31567.33,61,21.195078,106.11394
2020-01-12,15.4,18.7,12.8,14.0,18.4,10.9,9.9,1.60,1.60,0.00,91,70,20.6,9.5,25,1016.5,1017.9,39401.10,10800.00,51,21.195078,106.11394
2020-01-13,18.3,21.5,15.0,18.6,22.1,14.7,14.2,0.70,0.70,0.00,95,77,15.2,7.0,105,1014.2,1015.5,39435.15,3710.57,51,21.195078,106.11394
2020-01-14,20.8,24.4,18.1,22.6,25.6,19.9,18.4,3.40,3.40,0.00,81,87,18.6,9.1,157,1013.2,1014.5,39470.41,9476.54,53,21.195078,106.11394
2020-01-15,22.0,26.1,18.7,22.7,25.5,20.3,18.4,1.00,1.00,0.00,56,81,31.9,16.4,158,1011.9,1013.2,39507.25,22890.37,51,21.195078,106.11394
2020-01-16,20.1,25.1,15.5,21.0,27.1,13.7,17.6,6.50,6.50,0.00,79,86,25.5,13.0,83,1014.1,1015.4,39545.80,16027.82,61,21.195078,106.11394
2020-01-17,15.1,17.3,13.0,13.7,16.3,11.7,11.1,2.50,2.50,0.00,100,78,24.2,11.9,31,1018.3,1019.6,39585.96,0.00,51,21.195078,106.11394
2020-01-18,16.3,19.2,14.1,16.2,20.3,13.4,13.2,2.00,2.00,0.00,100,82,16.8,8.1,32,1016.5,1017.8,39627.66,0.00,51,21.195078,106.11394
2020-01-19,14.5,15.8,12.9,13.0,14.8,10.6,11.2,4.20,4.20,0.00,100,81,24.9,12.8,22,1019.0,1020.4,39670.86,0.00,51,21.195078,106.11394
