time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,24.4,27.1,22.9,27.2,29.7,25.8,21.8,3.50,3.50,0.00,61,86,30.4,14.2,43,1017.2,1018.9,40754.17,36019.87,53,13.884007,109.12603
2020-01-02,24.0,26.6,22.0,26.8,28.6,25.2,21.2,3.10,3.10,0.00,55,85,24.3,11.2,33,1017.8,1019.4,40765.68,32888.56,51,13.884007,109.12603
2020-01-03,23.4,26.8,21.5,26.1,29.0,24.9,20.2,1.80,1.80,0.00,66,83,20.5,9.2,4,1016.6,1018.3,40778.20,34128.42,51,13.884007,109.12603
2020-01-04,22.9,26.2,20.6,25.4,27.5,23.9,19.8,1.80,1.80,0.00,79,84,20.4,9.1,9,1015.0,1016.6,40791.71,29802.80,51,13.884007,109.12603
2020-01-05,23.0,26.8,20.6,25.5,28.7,23.7,19.1,1.50,1.50,0.00,66,80,17.4,7.5,3,1014.3,1015.9,40806.20,36149.82,53,13.884007,109.12603
2020-01-06,23.4,27.6,20.3,26.4,30.5,23.2,20.3,0.20,0.20,0.00,62,83,16.7,7.2,360,1014.1,1015.7,40821.62,34798.21,51,13.884007,109.12603
2020-01-07,23.8,27.3,20.7,27.2,30.1,24.3,21.0,0.40,0.40,0.00,88,85,17.0,7.3,7,1013.2,1014.8,40837.97,36491.41,51,13.884007,109.12603
2020-01-08,24.0,27.5,21.9,27.4,30.3,25.7,21.3,1.10,1.10,0.00,88,85,18.2,8.1,2,1013.4,1015.0,40855.22,27039.48,51,13.884007,109.12603
2020-01-09,23.7,26.9,21.3,26.6,28.8,24.8,20.4,0.40,0.40,0.00,53,83,18.1,8.1,4,1012.5,1014.1,40873.35,36225.26,51,13.884007,109.12603
2020-01-10,23.4,26.8,20.8,26.4,29.3,23.6,20.4,1.50,1.50,0.00,43,84,16.9,7.5,351,1011.3,1012.9,40892.33,36601.67,51,13.884007,109.12603
2020-01-11,23.9,27.4,21.1,27.1,29.8,24.5,20.8,0.20,0.20,0.00,97,84,16.3,7.1,4,1010.7,1012.3,40912.14,35407.75,51,13.884007,109.12603
2020-01-12,23.4,26.6,21.3,26.2,28.3,24.3,20.3,0.10,0.10,0.00,84,83,19.6,9.2,1,1011.5,1013.1,40932.76,36054.54,51,13.884007,109.12603
2020-01-13,22.8,26.4,19.8,25.3,28.1,22.3,19.6,1.00,1.00,0.00,45,83,18.6,8.4,8,1012.3,1013.9,40954.16,36816.50,51,13.884007,109.12603
2020-01-14,22.3,25.6,19.7,24.5,26.3,22.4,19.0,2.00,2.00,0.00,58,83,18.0,7.8,19,1013.5,1015.1,40976.34,36814.79,53,13.884007,109.12603
2020-01-15,22.6,26.8,18.5,25.2,29.7,20.8,19.2,0.40,0.40,0.00,41,82,15.4,6.6,42,1013.0,1014.6,40999.51,37244.63,51,13.884007,109.12603
2020-01-16,23.0,27.0,19.9,26.1,29.9,22.6,20.3,1.10,1.10,0.00,43,86,15.0,6.7,20,1012.9,1014.5,41023.75,36134.76,51,13.884007,109.12603
2020-01-17,23.4,27.0,20.7,26.4,29.4,24.0,20.5,0.20,0.20,0.00,39,85,18.7,8.2,11,1014.4,1016.0,41049.02,36709.30,51,13.884007,109.12603
2020-01-18,22.9,26.3,20.2,25.2,27.5,23.4,19.0,0.40,0.40,0.00,45,80,16.8,7.3,26,1014.3,1015.9,41075.27,33957.64,51,13.884007,109.12603
2020-01-19,22.5,26.2,19.3,24.8,27.9,22.0,18.9,1.50,1.50,0.00,59,81,18.2,8.0,21,1015.1,1016.8,41102.45,36139.95,53,13.884007,109.12603
2020-01-20,22.5,26.2,19.5,24.3,26.8,21.7,18.4,0.10,0.10,0.00,62,79,19.5,8.8,6,1016.0,1017.7,41130.52,36551.37,51,13.884007,109.12603
2020-01-21,22.4,26.3,18.8,24.7,28.3,21.4,18.9,0.30,0.30,0.00,44,82,16.8,7.3,3,1016.6,1018.3,41159.43,36262.56,51,13.884007,109.12603
2020-01-22,22.2,27.3,17.7,24.8,30.2,19.6,18.9,0.20,0.20,0.00,66,83,13.3,5.6,7,1015.0,1016.7,41189.14,30096.90,51,13.884007,109.12603
2020-01-23,22.9,28.0,19.3,26.1,31.9,21.9,20.0,0.00,0.00,0.00,44,85,14.1,5.9,104,1013.4,1015.1,41219.61,36720.28,3,13.884007,109.12603
2020-01-24,23.6,28.4,20.0,27.1,32.7,23.1,20.8,0.60,0.60,0.00,90,86,15.8,6.4,83,1013.0,1014.6,41250.78,36211.33,51,13.884007,109.12603
2020-01-25,24.1,28.2,20.9,27.9,31.9,24.3,21.5,0.80,0.80,0.00,90,86,15.2,6.0,125,1010.6,1012.2,41282.62,36000.00,51,13.884007,109.12603
2020-01-26,24.2,29.6,21.6,27.5,35.0,23.4,20.5,0.70,0.70,0.00,77,81,18.0,7.3,9,1010.3,1011.9,41315.09,34796.45,51,13.884007,109.12603
2020-01-27,23.5,27.5,20.5,26.1,30.6,22.5,19.1,0.00,0.00,0.00,56,77,13.4,5.4,5,1010.6,1012.2,41348.14,33766.25,3,13.884007,109.12603
2020-01-28,24.0,28.6,20.9,26.9,32.8,23.9,19.8,0.30,0.30,0.00,57,78,16.4,6.7,357,1011.3,1012.9,41381.73,36798.34,51,13.884007,109.12603
2020-01-29,22.8,25.1,21.2,25.0,27.3,23.1,20.0,3.00,3.00,0.00,85,85,24.8,11.6,358,1013.7,1015.4,41415.81,24653.10,53,13.884007,109.12603
2020-01-30,21.0,22.6,19.9,22.2,23.0,21.2,17.8,2.20,2.20,0.00,97,82,23.6,11.2,358,1015.2,1016.8,41450.36,4203.77,53,13.884007,109.12603
2020-01-31,20.9,24.8,17.7,22.0,25.5,19.3,16.7,0.30,0.30,0.00,69,78,21.0,9.4,358,1016.1,1017.7,41485.32,35968.52,51,13.884007,109.12603
2020-02-01,21.3,24.9,18.4,22.7,25.5,19.8,16.9,0.30,0.30,0.00,52,77,17.8,7.6,20,1015.9,1017.6,41520.67,36202.46,51,13.884007,109.12603
