time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,18.8,23.6,15.3,19.8,25.1,16.1,15.2,0.70,0.70,0.00,76,80,12.2,4.7,150,1000.7,1023.9,38767.33,25654.13,51,22.671352,106.18503
2020-01-02,20.3,25.2,17.3,21.6,26.1,18.5,17.1,0.30,0.30,0.00,70,83,18.6,7.8,166,998.9,1021.9,38787.14,28894.09,51,22.671352,106.18503
2020-01-03,20.8,24.4,18.2,22.4,25.6,19.9,17.9,1.00,1.00,0.00,84,85,20.0,8.6,149,997.1,1020.1,38808.69,21523.72,51,22.671352,106.18503
2020-01-04,20.5,23.8,18.5,22.3,25.0,20.2,18.0,2.50,2.50,0.00,85,86,18.7,7.7,144,995.5,1018.4,38831.93,16133.36,51,22.671352,106.18503
2020-01-05,20.4,24.8,17.7,21.8,25.2,18.8,17.4,0.30,0.30,0.00,72,84,21.4,8.9,140,994.4,1017.3,38856.85,19716.34,51,22.671352,106.18503
2020-01-06,20.8,24.3,18.5,22.3,25.5,20.4,18.0,2.50,2.50,0.00,88,85,24.1,9.8,154,993.0,1015.9,38883.38,20326.87,51,22.671352,106.18503
2020-01-07,20.8,24.9,17.4,23.4,28.3,19.3,18.8,1.20,1.20,0.00,56,89,12.7,4.5,134,993.6,1016.4,38911.50,25168.32,51,22.671352,106.18503
2020-01-08,20.9,25.1,17.3,22.8,26.4,19.2,18.2,2.10,2.10,0.00,43,85,19.4,7.9,159,993.6,1016.5,38941.16,32475.45,51,22.671352,106.18503
2020-01-09,20.0,24.2,16.7,21.7,26.7,17.7,17.5,1.20,1.20,0.00,68,86,15.9,6.5,134,992.0,1014.9,38972.32,8144.72,51,22.671352,106.18503
2020-01-10,21.4,25.6,17.6,23.3,27.1,19.2,18.4,1.10,1.10,0.00,84,84,19.9,8.0,170,990.2,1012.9,39004.95,33111.01,51,22.671352,106.18503
2020-01-11,17.8,22.8,13.3,18.3,24.9,13.5,13.7,4.70,4.70,0.00,80,78,15.6,5.6,84,993.2,1016.3,39039.00,27611.89,61,22.671352,106.18503
2020-01-12,14.7,19.5,11.0,14.3,19.2,10.1,10.5,0.10,0.10,0.00,39,78,11.9,4.0,150,995.1,1018.5,39074.43,35912.99,51,22.671352,106.18503
2020-01-13,15.0,18.8,10.3,14.9,19.3,9.6,12.1,1.40,1.40,0.00,86,83,13.3,5.4,120,992.8,1016.1,39111.20,1467.84,51,22.671352,106.18503
2020-01-14,16.5,18.1,14.9,17.5,19.2,15.6,15.6,7.60,7.60,0.00,100,94,14.7,6.2,124,992.6,1015.8,39149.29,0.00,53,22.671352,106.18503
2020-01-15,18.3,23.6,14.6,19.5,25.0,14.8,17.1,8.10,8.10,0.00,90,93,22.8,9.8,125,990.6,1013.5,39189.08,16949.43,61,22.671352,106.18503
2020-01-16,17.1,19.2,14.2,17.8,21.0,13.5,14.6,4.70,4.70,0.00,96,85,16.5,6.8,94,994.4,1017.5,39230.70,3600.00,53,22.671352,106.18503
2020-01-17,13.8,15.4,12.6,13.1,14.7,11.6,10.7,3.40,3.40,0.00,98,82,13.8,5.8,151,997.6,1021.1,39274.07,0.00,51,22.671352,106.18503
2020-01-18,13.1,15.8,11.1,12.6,15.5,10.5,10.9,3.70,3.70,0.00,99,87,14.4,5.8,147,996.0,1019.5,39319.11,283.07,51,22.671352,106.18503
2020-01-19,13.7,16.1,12.5,13.3,15.3,12.1,10.3,3.40,3.40,0.00,99,81,10.0,3.5,173,998.6,1022.1,39365.75,1311.34,51,22.671352,106.18503
2020-01-20,13.4,15.2,11.9,13.3,15.2,12.0,11.6,3.70,3.70,0.00,100,89,11.3,4.1,137,997.5,1021.0,39413.89,1969.55,53,22.671352,106.18503
2020-01-21,16.8,21.9,12.7,17.7,23.1,12.7,15.3,2.10,2.10,0.00,98,91,15.8,6.7,113,995.7,1018.9,39463.47,9648.99,51,22.671352,106.18503
2020-01-22,20.2,23.6,17.8,22.2,25.4,19.5,18.7,2.50,2.50,0.00,99,91,19.4,8.5,144,992.8,1015.6,39514.40,2219.70,51,22.671352,106.18503
2020-01-23,21.4,24.6,19.2,23.3,26.3,21.1,19.0,1.60,1.60,0.00,83,87,23.3,9.9,153,991.1,1013.9,39566.62,22274.41,51,22.671352,106.18503
2020-01-24,19.8,21.6,16.7,21.9,24.1,17.5,18.7,19.80,19.80,0.00,97,93,20.6,7.8,105,991.8,1014.7,39620.04,6476.01,63,22.671352,106.18503
2020-01-25,13.0,15.5,11.0,12.1,15.9,8.7,10.8,27.90,27.90,0.00,93,87,18.6,8.1,344,994.8,1018.3,39674.58,0.00,63,22.671352,106.18503
2020-01-26,12.9,18.7,8.3,11.2,17.9,6.1,6.0,0.00,0.00,0.00,22,64,17.0,6.3,33,995.7,1019.2,39730.18,36147.02,3,22.671352,106.18503
2020-01-27,11.8,16.6,7.0,10.0,15.1,4.8,5.9,0.00,0.00,0.00,52,68,14.8,5.6,122,994.7,1018.3,39786.77,32987.58,3,22.671352,106.18503
2020-01-28,12.3,15.6,9.0,10.6,14.2,7.0,5.9,0.00,0.00,0.00,92,65,13.3,5.1,111,996.5,1020.1,39844.26,25655.99,3,22.671352,106.18503
2020-01-29,12.6,17.8,9.6,11.3,16.7,7.9,7.4,0.50,0.50,0.00,74,72,11.2,4.3,61,999.3,1022.9,39902.59,29259.94,51,22.671352,106.18503
2020-01-30,12.5,18.8,7.2,11.3,18.0,5.9,7.0,0.00,0.00,0.00,34,72,10.8,3.7,126,998.6,1022.2,39961.68,32400.00,3,22.671352,106.18503
2020-01-31,13.3,19.4,8.0,11.9,17.8,5.9,7.4,0.00,0.00,0.00,35,69,14.6,5.8,137,996.6,1020.1,40021.47,28823.27,3,22.671352,106.18503
2020-02-01,14.7,18.0,11.6,14.5,17.7,10.9,12.3,1.40,1.40,0.00,99,86,14.6,6.1,107,995.9,1019.3,40081.89,2426.38,51,22.671352,106.18503
2020-02-02,16.6,19.9,14.1,17.9,22.0,14.6,15.3,3.50,3.50,0.00,93,92,9.9,3.4,89,995.5,1018.7,40142.88,1363.10,53,22.671352,106.18503
2020-02-03,15.3,17.0,13.0,15.8,18.4,13.5,13.9,22.10,22.10,0.00,91,92,15.0,5.5,98,996.4,1019.7,40204.38,7031.42,63,22.671352,106.18503
2020-02-04,13.7,16.1,11.8,13.6,15.9,11.8,11.6,10.80,10.80,0.00,93,88,10.2,3.6,158,997.2,1020.7,40266.93,207.61,63,22.671352,106.18503
2020-02-05,13.7,15.5,12.5,13.9,15.7,12.3,12.3,6.00,6.00,0.00,100,92,10.8,3.9,154,995.6,1019.0,40330.75,0.00,53,22.671352,106.18503
2020-02-06,17.1,23.0,13.1,18.1,23.9,13.8,15.0,4.50,4.50,0.00,96,89,13.0,4.3,155,993.4,1016.6,40395.75,15926.37,53,22.671352,106.18503
2020-02-07,16.4,17.5,14.9,17.6,19.2,15.9,15.4,11.40,11.40,0.00,100,94,11.4,4.3,127,997.0,1020.2,40461.84,0.00,61,22.671352,106.18503
2020-02-08,14.6,15.9,13.5,15.0,16.0,13.1,13.2,15.70,15.70,0.00,97,91,11.7,5.0,143,1000.7,1024.2,40528.95,0.00,63,22.671352,106.18503
2020-02-09,13.9,17.1,11.6,13.5,16.3,10.4,10.4,1.00,1.00,0.00,88,81,10.2,3.5,152,1002.8,1026.5,40597.00,0.00,51,22.671352,106.18503
2020-02-10,14.3,17.9,11.7,13.9,17.7,10.7,10.7,0.90,0.90,0.00,100,79,12.9,5.1,130,998.3,1021.8,40665.92,1706.33,51,22.671352,106.18503
2020-02-11,17.4,22.0,14.3,18.5,23.2,14.7,15.5,2.20,2.20,0.00,98,89,14.3,5.5,133,994.7,1017.8,40735.62,2437.85,51,22.671352,106.18503
2020-02-12,19.0,23.2,16.2,21.2,25.8,17.8,17.6,4.60,4.60,0.00,84,92,9.9,3.3,88,992.2,1015.2,40806.04,12104.93,63,22.671352,106.18503
2020-02-13,20.8,26.7,16.9,23.0,28.4,18.5,18.4,4.40,4.40,0.00,70,87,17.6,6.3,160,988.5,1011.2,40877.09,27889.95,61,22.671352,106.18503
2020-02-14,21.1,25.6,17.9,24.1,29.0,20.3,19.7,7.50,7.50,0.00,72,92,17.1,5.2,133,985.5,1008.1,40948.72,23891.61,63,22.671352,106.18503
2020-02-15,20.3,26.3,15.0,22.3,30.3,12.0,17.4,4.00,4.00,0.00,86,84,16.5,5.6,353,989.6,1012.3,41020.84,27357.88,61,22.671352,106.18503
2020-02-16,14.3,18.2,11.6,12.0,16.2,8.6,5.2,0.00,0.00,0.00,51,55,22.5,8.6,6,1000.9,1024.5,41093.39,35055.05,3,22.671352,106.18503
2020-02-17,14.2,18.8,10.5,12.2,17.2,8.7,5.1,0.00,0.00,0.00,41,55,15.4,5.8,52,1004.2,1027.8,41166.29,37057.24,3,22.671352,106.18503
2020-02-18,14.0,18.8,10.1,12.7,18.4,8.6,6.2,0.00,0.00,0.00,30,61,12.7,4.3,110,1001.7,1025.3,41239.48,37175.59,3,22.671352,106.18503
2020-02-19,15.0,21.7,8.8,14.4,21.7,6.9,9.8,0.00,0.00,0.00,29,73,15.2,5.9,124,998.8,1022.2,41312.89,36825.52,3,22.671352,106.18503
2020-02-20,17.5,21.4,14.9,18.5,23.1,15.8,15.4,1.70,1.70,0.00,94,88,13.6,5.6,114,999.0,1022.2,41386.46,2934.02,51,22.671352,106.18503
2020-02-21,19.2,22.2,16.8,20.7,24.4,18.0,16.8,1.20,1.20,0.00,86,86,13.9,5.8,115,1002.0,1025.2,41460.11,5615.41,51,22.671352,106.18503
2020-02-22,18.8,22.6,15.9,20.0,23.8,16.8,15.5,0.10,0.10,0.00,70,82,10.9,4.3,143,1002.8,1026.0,41533.79,22969.77,51,22.671352,106.18503
2020-02-23,18.3,23.6,14.5,19.0,23.8,15.1,14.6,0.30,0.30,0.00,20,80,13.2,5.3,143,999.6,1022.8,41607.45,36941.36,51,22.671352,106.18503
2020-02-24,17.7,23.1,11.8,18.0,23.7,11.4,14.2,0.00,0.00,0.00,38,82,18.8,7.6,163,995.0,1018.1,41681.63,25871.00,3,22.671352,106.18503
2020-02-25,19.4,24.9,13.5,20.4,25.6,13.6,16.1,0.00,0.00,0.00,62,82,18.7,7.7,159,993.2,1016.2,41756.55,26702.63,3,22.671352,106.18503
2020-02-26,20.2,26.7,15.3,21.5,28.3,16.1,16.4,0.10,0.10,0.00,71,80,15.3,6.1,152,993.9,1016.8,41832.14,24359.26,51,22.671352,106.18503
2020-02-27,20.2,26.4,14.0,21.6,27.4,14.5,16.7,0.30,0.30,0.00,92,82,15.8,6.3,138,993.9,1016.9,41908.35,34469.79,51,22.671352,106.18503
