time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,22.2,28.9,18.3,22.2,29.1,18.7,16.3,0.00,0.00,0.00,59,72,38.4,17.1,49,944.0,1016.8,41159.97,37711.31,3,11.98594,107.693
2020-01-02,22.6,30.3,18.7,22.9,31.3,19.1,17.0,0.00,0.00,0.00,55,73,36.5,16.0,50,944.4,1017.1,41169.81,37890.65,3,11.98594,107.693
2020-01-03,22.1,29.2,17.7,22.2,29.7,17.6,15.9,0.00,0.00,0.00,62,70,33.8,14.8,51,943.2,1016.0,41180.51,36818.88,3,11.98594,107.693
2020-01-04,20.9,29.0,16.7,21.1,30.2,17.2,15.5,0.00,0.00,0.00,78,73,29.2,13.0,53,941.6,1014.6,41192.06,27093.69,3,11.98594,107.693
2020-01-05,20.3,27.1,15.2,20.0,28.3,14.8,14.0,0.00,0.00,0.00,38,70,28.2,12.5,64,941.3,1014.4,41204.44,38129.91,3,11.98594,107.693
2020-01-06,21.1,28.7,14.8,22.0,30.8,14.9,15.9,0.00,0.00,0.00,58,75,21.0,9.2,64,941.8,1014.7,41217.62,37808.88,3,11.98594,107.693
2020-01-07,22.9,30.4,17.4,24.6,32.8,18.4,17.6,0.20,0.20,0.00,77,75,20.6,8.9,69,941.0,1013.4,41231.60,37184.63,51,11.98594,107.693
2020-01-08,22.9,29.6,18.4,23.8,31.0,19.5,16.8,0.00,0.00,0.00,90,70,27.1,11.9,56,941.0,1013.5,41246.34,37524.54,3,11.98594,107.693
2020-01-09,23.3,31.1,18.6,24.3,33.5,19.1,16.7,0.40,0.40,0.00,65,69,24.8,10.7,56,940.0,1012.2,41261.84,37602.95,51,11.98594,107.693
2020-01-10,22.4,30.7,16.4,23.3,32.7,16.5,15.2,0.00,0.00,0.00,26,68,18.9,7.9,72,939.4,1011.8,41278.06,38244.27,3,11.98594,107.693
2020-01-11,22.5,30.4,16.3,23.9,32.1,17.5,15.9,0.00,0.00,0.00,94,71,16.1,6.4,56,939.2,1011.6,41295.00,37131.15,3,11.98594,107.693
2020-01-12,21.5,28.2,17.5,22.0,28.4,18.0,15.2,0.00,0.00,0.00,82,71,23.6,10.4,53,939.4,1012.1,41312.63,32754.34,3,11.98594,107.693
2020-01-13,20.8,28.1,15.8,20.7,29.0,16.0,14.1,0.00,0.00,0.00,53,69,26.9,11.9,52,939.5,1012.4,41330.93,38127.99,3,11.98594,107.693
2020-01-14,20.7,29.0,14.4,20.6,29.9,14.1,13.0,0.00,0.00,0.00,38,67,22.5,9.8,63,940.3,1013.2,41349.89,38589.05,3,11.98594,107.693
2020-01-15,21.3,30.4,14.0,21.7,31.6,13.5,13.3,0.00,0.00,0.00,49,67,18.2,7.0,69,940.5,1013.3,41369.70,38406.23,3,11.98594,107.693
2020-01-16,22.3,30.1,14.7,23.5,32.4,15.1,15.1,0.00,0.00,0.00,8,68,15.6,6.0,81,941.0,1013.5,41390.43,38406.36,1,11.98594,107.693
2020-01-17,22.2,30.0,16.6,22.9,30.7,17.4,15.3,0.00,0.00,0.00,40,70,23.8,10.1,55,941.9,1014.5,41412.04,38540.99,3,11.98594,107.693
2020-01-18,22.2,30.1,16.8,23.0,31.9,17.7,15.1,0.00,0.00,0.00,28,69,22.1,9.2,59,941.4,1014.1,41434.48,38049.09,2,11.98594,107.693
2020-01-19,22.0,30.3,16.0,21.9,31.2,15.8,13.6,0.00,0.00,0.00,53,63,24.9,10.6,61,941.9,1014.6,41457.73,38606.10,3,11.98594,107.693
2020-01-20,22.4,31.5,16.0,22.5,32.9,15.5,13.7,0.00,0.00,0.00,22,62,24.2,10.2,65,942.5,1015.2,41481.73,38810.03,3,11.98594,107.693
2020-01-21,23.0,32.2,16.1,23.6,33.8,16.1,14.7,0.00,0.00,0.00,24,64,21.3,8.6,69,943.7,1016.3,41506.46,38739.29,3,11.98594,107.693
2020-01-22,22.9,32.6,15.1,23.6,33.6,14.8,14.1,0.00,0.00,0.00,28,64,19.5,7.6,67,942.4,1015.0,41531.88,38768.83,3,11.98594,107.693
2020-01-23,23.2,32.5,16.0,23.7,32.1,16.4,13.1,0.00,0.00,0.00,9,62,17.9,7.2,68,941.4,1013.8,41557.93,38897.70,3,11.98594,107.693
2020-01-24,22.8,32.5,15.3,22.6,31.8,15.6,10.5,0.00,0.00,0.00,83,57,18.1,7.1,68,941.2,1013.6,41584.61,38728.78,3,11.98594,107.693
2020-01-25,23.1,31.9,15.9,24.0,34.2,16.2,14.6,0.00,0.00,0.00,74,66,19.3,7.2,88,939.7,1012.0,41611.84,39009.60,3,11.98594,107.693
2020-01-26,23.8,31.9,16.5,25.3,34.1,17.6,15.8,0.00,0.00,0.00,63,66,15.9,5.7,229,939.5,1011.6,41639.62,38804.76,3,11.98594,107.693
2020-01-27,23.7,31.0,18.2,25.1,32.8,19.8,16.1,0.00,0.00,0.00,32,67,18.8,7.2,135,939.4,1011.5,41667.90,38915.99,2,11.98594,107.693
2020-01-28,23.2,30.9,16.5,24.3,32.7,17.2,15.1,0.00,0.00,0.00,11,65,18.0,6.7,117,940.0,1012.2,41696.64,39044.23,2,11.98594,107.693
2020-01-29,22.9,30.1,16.2,24.3,33.1,17.3,15.9,0.40,0.40,0.00,60,69,17.9,6.3,60,941.3,1013.8,41725.81,37919.44,51,11.98594,107.693
2020-01-30,21.8,28.8,17.4,22.2,29.6,16.8,15.4,0.00,0.00,0.00,51,71,26.1,11.2,48,941.4,1014.1,41755.38,38642.64,3,11.98594,107.693
2020-01-31,21.2,29.6,15.4,21.0,31.0,15.0,13.1,0.00,0.00,0.00,82,64,26.2,10.8,59,942.0,1014.9,41785.30,38730.73,3,11.98594,107.693
2020-02-01,21.1,30.3,15.1,20.6,31.2,14.2,12.1,0.00,0.00,0.00,27,62,26.7,11.3,63,942.1,1015.0,41815.55,38957.50,3,11.98594,107.693
2020-02-02,20.7,30.0,13.8,20.2,30.5,12.7,11.6,0.00,0.00,0.00,40,63,24.1,10.2,67,942.8,1015.9,41846.09,39274.47,3,11.98594,107.693
2020-02-03,21.5,30.9,13.9,21.1,30.6,13.2,10.9,0.00,0.00,0.00,58,60,21.9,9.2,66,942.1,1014.9,41876.90,39308.99,3,11.98594,107.693
2020-02-04,22.2,31.3,15.0,22.3,31.0,15.1,12.7,0.00,0.00,0.00,49,64,22.5,9.4,62,941.4,1014.0,41908.25,39339.14,3,11.98594,107.693
2020-02-05,21.5,30.2,14.8,21.3,30.4,14.8,12.5,0.00,0.00,0.00,60,63,23.8,10.0,55,941.0,1013.8,41940.25,39163.00,3,11.98594,107.693
2020-02-06,21.9,31.7,14.0,21.7,32.4,13.1,10.8,0.00,0.00,0.00,40,56,18.9,7.1,77,941.5,1014.2,41972.84,39416.13,3,11.98594,107.693
2020-02-07,22.2,32.7,13.2,21.2,31.2,12.0,9.9,0.00,0.00,0.00,54,56,24.4,10.8,58,941.9,1014.6,42006.00,39453.04,3,11.98594,107.693
2020-02-08,21.8,29.6,16.9,21.8,31.2,17.5,15.8,0.00,0.00,0.00,56,71,34.7,15.2,48,942.8,1015.6,42039.68,39238.37,3,11.98594,107.693
2020-02-09,21.2,27.9,18.4,19.8,26.5,17.0,14.5,1.30,1.30,0.00,74,68,47.2,21.0,50,942.6,1015.6,42073.85,27977.32,53,11.98594,107.693
2020-02-10,21.7,29.4,17.9,21.3,29.7,16.5,15.3,0.00,0.00,0.00,60,69,37.0,15.6,51,942.5,1015.3,42108.46,31505.03,3,11.98594,107.693
2020-02-11,23.2,30.9,17.4,24.4,33.1,18.3,16.5,0.00,0.00,0.00,29,70,22.4,9.3,70,943.1,1015.6,42143.48,39100.29,2,11.98594,107.693
2020-02-12,24.7,33.1,17.6,26.1,35.1,18.8,16.1,0.00,0.00,0.00,28,64,18.1,6.8,96,942.4,1014.5,42178.87,38413.64,3,11.98594,107.693
2020-02-13,25.6,33.7,19.1,27.5,35.7,20.8,16.8,0.00,0.00,0.00,56,64,18.2,6.7,106,941.4,1013.1,42214.59,39248.77,3,11.98594,107.693
2020-02-14,25.0,31.4,19.6,27.9,34.2,22.1,18.9,0.30,0.30,0.00,27,72,14.6,4.9,201,940.0,1011.8,42250.62,39376.54,51,11.98594,107.693
2020-02-15,24.4,31.8,18.8,27.2,34.9,21.2,18.7,0.10,0.10,0.00,27,74,15.3,5.5,213,940.7,1012.7,42286.91,39763.09,51,11.98594,107.693
2020-02-16,25.3,33.1,19.3,27.8,35.4,21.5,18.0,0.30,0.30,0.00,49,68,15.0,5.2,67,942.0,1013.9,42323.43,37948.35,51,11.98594,107.693
2020-02-17,23.3,29.1,19.7,23.8,29.8,18.9,17.5,0.00,0.00,0.00,23,72,38.1,17.1,47,943.3,1015.8,42360.13,39843.09,2,11.98594,107.693
2020-02-18,22.3,29.2,18.0,21.6,29.6,17.2,15.2,0.00,0.00,0.00,15,66,44.2,19.3,45,943.1,1015.8,42397.00,39676.79,2,11.98594,107.693
2020-02-19,21.8,30.1,16.2,21.3,31.1,15.9,13.7,0.00,0.00,0.00,22,64,33.6,14.2,50,943.4,1016.3,42433.98,39923.43,3,11.98594,107.693
2020-02-20,22.0,30.9,16.4,21.7,31.9,15.9,14.0,0.00,0.00,0.00,8,64,32.7,14.1,55,943.3,1016.2,42471.06,39963.62,3,11.98594,107.693
2020-02-21,21.6,28.9,17.3,20.9,29.3,16.4,15.3,0.00,0.00,0.00,25,70,44.5,19.5,47,944.9,1018.0,42508.20,40003.80,3,11.98594,107.693
2020-02-22,21.2,27.4,17.0,19.8,27.3,15.5,14.4,0.00,0.00,0.00,32,67,50.5,21.9,46,944.9,1018.1,42545.37,38193.71,3,11.98594,107.693
2020-02-23,21.2,28.0,17.0,19.9,28.1,15.4,13.7,0.00,0.00,0.00,13,65,46.2,19.9,46,943.9,1017.0,42582.53,40083.87,2,11.98594,107.693
2020-02-24,22.2,31.8,15.1,21.7,32.4,14.0,11.6,0.00,0.00,0.00,35,58,26.9,11.1,64,942.1,1014.8,42619.97,40123.85,3,11.98594,107.693
2020-02-25,23.3,32.7,16.0,23.8,33.6,15.8,14.2,0.00,0.00,0.00,20,63,22.0,8.8,71,940.8,1013.1,42657.80,35321.05,3,11.98594,107.693
2020-02-26,23.6,31.9,17.4,24.5,34.0,18.3,16.0,0.00,0.00,0.00,20,67,26.3,10.9,52,941.3,1013.6,42695.98,40204.79,3,11.98594,107.693
2020-02-27,23.8,32.6,17.6,24.1,34.5,18.3,14.9,0.00,0.00,0.00,53,62,27.9,11.7,54,940.5,1012.7,42734.48,39604.54,3,11.98594,107.693
2020-02-28,23.8,32.3,16.5,24.0,33.6,16.7,13.4,0.00,0.00,0.00,42,58,23.2,9.4,65,939.9,1012.0,42773.27,40286.75,3,11.98594,107.693
2020-02-29,24.6,33.4,17.1,25.5,33.8,17.3,14.7,0.00,0.00,0.00,24,60,20.9,8.1,82,939.4,1011.3,42812.32,39915.81,3,11.98594,107.693
2020-03-01,25.1,33.3,17.9,26.8,36.5,19.4,16.1,0.00,0.00,0.00,63,63,16.4,5.9,64,939.9,1011.7,42851.60,39697.97,3,11.98594,107.693
2020-03-02,25.2,34.5,17.2,26.3,35.2,18.3,15.1,0.00,0.00,0.00,78,60,20.2,7.6,73,939.8,1011.6,42891.07,38729.31,3,11.98594,107.693
2020-03-03,25.1,33.4,17.8,26.5,35.4,19.1,15.8,0.00,0.00,0.00,81,62,18.2,6.8,70,940.0,1011.8,42930.71,38212.72,3,11.98594,107.693
2020-03-04,24.4,32.7,17.6,26.7,35.6,19.0,17.8,0.80,0.80,0.00,38,71,16.8,6.0,133,940.1,1012.1,42970.49,40424.03,53,11.98594,107.693
2020-03-05,24.3,32.7,18.6,26.6,34.6,20.5,18.0,0.40,0.40,0.00,63,73,17.2,6.4,65,940.6,1012.7,43010.37,40535.98,51,11.98594,107.693
2020-03-06,23.7,31.4,18.2,26.6,35.3,20.2,19.0,2.50,2.50,0.00,41,79,15.7,5.2,67,941.6,1013.9,43050.34,40493.51,61,11.98594,107.693
2020-03-07,24.1,32.3,18.6,27.7,36.2,21.4,20.3,1.30,1.30,0.00,68,82,13.9,4.2,242,941.5,1013.6,43090.34,40108.26,53,11.98594,107.693
2020-03-08,25.0,32.2,20.3,28.6,36.9,23.4,20.5,0.00,0.00,0.00,58,79,14.2,4.7,254,939.7,1011.5,43130.37,36606.21,3,11.98594,107.693
2020-03-09,25.0,30.9,20.4,28.3,34.7,23.4,20.5,0.60,0.60,0.00,42,79,17.8,7.1,239,938.6,1010.3,43170.38,31134.87,51,11.98594,107.693
2020-03-10,25.9,32.3,21.2,29.7,36.3,25.2,20.5,0.70,0.70,0.00,56,75,13.2,4.0,213,939.0,1010.6,43210.36,34949.46,51,11.98594,107.693
2020-03-11,25.4,32.4,20.9,29.0,36.4,23.7,19.9,0.60,0.60,0.00,35,75,13.3,4.3,173,940.6,1012.4,43250.26,40784.66,51,11.98594,107.693
2020-03-12,25.4,34.0,18.0,27.5,37.0,19.0,17.0,0.00,0.00,0.00,26,63,16.5,5.8,101,941.5,1013.4,43290.06,40825.59,3,11.98594,107.693
2020-03-13,25.8,34.4,19.4,28.6,37.2,21.1,18.7,0.00,0.00,0.00,49,69,16.0,5.5,68,941.5,1013.3,43329.74,40866.29,3,11.98594,107.693
2020-03-14,25.6,34.4,18.5,27.9,36.3,21.0,17.2,0.00,0.00,0.00,81,68,15.5,5.3,44,940.8,1012.6,43369.27,40906.67,3,11.98594,107.693
2020-03-15,24.8,34.2,17.3,25.6,36.4,17.3,15.0,0.00,0.00,0.00,70,60,23.4,9.9,57,940.9,1012.8,43408.90,40946.80,3,11.98594,107.693
2020-03-16,25.0,33.1,17.2,26.1,35.2,17.9,15.3,0.00,0.00,0.00,55,60,20.8,8.5,75,941.5,1013.4,43448.75,40344.06,3,11.98594,107.693
2020-03-17,25.2,34.4,17.8,26.4,36.0,18.8,15.0,0.00,0.00,0.00,34,60,18.6,7.1,88,941.7,1013.7,43488.78,38535.07,3,11.98594,107.693
2020-03-18,24.9,33.6,17.0,26.3,34.8,18.4,14.9,0.00,0.00,0.00,77,61,17.9,6.2,94,940.4,1012.3,43528.96,41067.81,3,11.98594,107.693
2020-03-19,25.2,32.2,18.9,26.8,34.6,20.4,16.4,0.20,0.20,0.00,19,62,18.6,6.7,103,940.3,1012.1,43569.28,41108.24,51,11.98594,107.693
2020-03-20,25.4,33.4,18.6,26.1,34.8,18.8,13.1,0.00,0.00,0.00,58,52,17.1,6.2,110,941.0,1012.9,43609.70,41148.70,3,11.98594,107.693
2020-03-21,25.0,33.4,17.8,26.3,35.3,18.9,14.9,0.00,0.00,0.00,18,59,18.4,6.4,109,941.1,1013.0,43650.20,41189.12,2,11.98594,107.693
2020-03-22,25.5,34.0,18.4,27.3,35.8,20.1,16.7,0.10,0.10,0.00,20,64,19.7,7.1,119,940.4,1012.2,43690.75,39488.97,51,11.98594,107.693
2020-03-23,25.1,32.6,19.2,27.2,36.1,20.8,17.1,0.40,0.40,0.00,14,65,16.6,5.4,120,939.9,1011.7,43731.33,41269.83,51,11.98594,107.693
2020-03-24,24.5,31.2,18.4,26.6,35.0,19.2,17.1,0.40,0.40,0.00,14,66,17.2,5.8,91,939.5,1011.4,43771.91,41310.04,51,11.98594,107.693
2020-03-25,25.2,34.2,18.0,27.1,36.2,19.3,16.5,0.00,0.00,0.00,15,64,18.4,6.6,92,938.4,1010.1,43812.46,40813.79,3,11.98594,107.693
2020-03-26,24.7,31.5,19.4,27.6,35.9,21.4,19.3,1.10,1.10,0.00,23,74,17.7,6.0,57,939.6,1011.5,43852.95,41390.07,51,11.98594,107.693
2020-03-27,25.2,33.1,19.5,28.7,37.2,22.6,19.9,0.40,0.40,0.00,58,77,14.1,4.4,110,940.1,1011.8,43893.36,41429.83,51,11.98594,107.693
2020-03-28,24.1,30.5,19.2,27.7,34.7,21.7,20.5,1.20,1.20,0.00,42,82,17.1,4.9,330,939.3,1011.3,43933.65,41438.42,53,11.98594,107.693
2020-03-29,25.0,32.9,18.9,27.9,36.5,21.4,18.8,0.10,0.10,0.00,54,73,16.4,5.6,104,938.9,1010.6,43973.81,41508.70,51,11.98594,107.693
2020-03-30,25.3,33.1,19.0,27.8,35.7,20.6,18.1,0.20,0.20,0.00,21,68,16.4,6.1,174,939.2,1010.8,44013.80,41547.78,51,11.98594,107.693
2020-03-31,25.6,34.0,19.3,28.6,37.3,22.2,18.6,0.00,0.00,0.00,14,70,13.3,4.1,94,939.7,1011.4,44053.60,41586.57,1,11.98594,107.693
