time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,23.6,24.7,22.6,25.7,26.4,24.6,21.4,4.60,4.60,0.00,80,87,31.9,17.8,80,1019.3,1020.6,40279.84,19590.40,51,16.063269,108.23864
2020-01-02,23.6,24.5,22.7,25.6,26.6,24.5,21.0,5.50,5.50,0.00,78,86,27.8,15.9,72,1019.5,1020.8,40293.32,24164.84,53,16.063269,108.23864
2020-01-03,23.7,25.2,22.4,25.9,27.1,25.1,20.6,3.20,3.20,0.00,75,83,24.3,13.4,80,1018.2,1019.5,40307.98,31414.88,53,16.063269,108.23864
2020-01-04,22.9,25.0,20.9,25.6,26.5,24.6,20.1,4.00,4.00,0.00,95,85,16.7,8.6,100,1016.5,1017.8,40323.79,29943.94,53,16.063269,108.23864
2020-01-05,22.8,24.7,20.7,25.6,26.8,23.7,20.3,4.10,4.10,0.00,53,87,17.1,8.7,95,1015.6,1016.9,40340.74,35559.35,53,16.063269,108.23864
2020-01-06,22.8,25.1,20.7,26.1,29.3,23.7,20.7,1.00,1.00,0.00,40,88,15.2,7.3,125,1014.9,1016.2,40358.80,36000.00,51,16.063269,108.23864
2020-01-07,23.5,25.0,21.6,27.1,28.3,25.1,21.4,0.70,0.70,0.00,38,88,15.8,7.7,115,1014.0,1015.3,40377.93,36305.67,51,16.063269,108.23864
2020-01-08,23.5,25.4,21.1,27.0,28.9,24.4,21.3,3.10,3.10,0.00,92,88,15.3,7.6,97,1014.7,1016.0,40398.12,30611.76,53,16.063269,108.23864
2020-01-09,23.4,24.8,21.5,26.6,27.1,25.1,20.9,3.40,3.40,0.00,60,86,15.1,7.5,100,1013.6,1014.9,40419.34,34233.88,53,16.063269,108.23864
2020-01-10,22.6,24.5,19.4,25.7,27.8,21.7,20.4,0.90,0.90,0.00,48,88,14.7,7.3,105,1012.2,1013.5,40441.55,34636.29,51,16.063269,108.23864
2020-01-11,23.4,25.0,22.1,26.9,27.9,26.0,21.3,5.30,5.30,0.00,93,89,13.6,6.8,91,1011.6,1012.9,40464.74,20410.96,53,16.063269,108.23864
2020-01-12,22.8,24.7,20.0,25.8,28.1,22.7,20.5,3.00,3.00,0.00,71,87,15.6,7.8,55,1012.7,1014.0,40488.87,36214.55,53,16.063269,108.23864
2020-01-13,22.7,24.5,21.1,25.1,25.8,24.3,20.1,4.50,4.50,0.00,55,86,19.9,10.6,121,1013.3,1014.6,40513.91,31042.66,53,16.063269,108.23864
2020-01-14,22.5,24.8,19.8,24.2,26.3,22.3,18.9,0.20,0.20,0.00,54,81,21.2,11.5,139,1014.0,1015.3,40539.86,36147.18,51,16.063269,108.23864
2020-01-15,23.0,25.3,20.6,24.8,27.2,21.9,19.1,0.00,0.00,0.00,24,79,22.6,12.6,151,1013.3,1014.6,40566.97,36320.77,3,16.063269,108.23864
2020-01-16,22.7,24.8,19.4,25.6,28.3,21.7,20.5,0.00,0.00,0.00,15,87,18.6,9.6,138,1013.4,1014.7,40595.33,36580.91,2,16.063269,108.23864
2020-01-17,23.3,25.1,21.4,26.6,29.5,24.4,20.8,0.60,0.60,0.00,27,86,15.7,8.2,89,1015.3,1016.6,40624.89,36444.88,51,16.063269,108.23864
2020-01-18,22.8,25.2,20.4,25.7,28.5,23.2,20.1,1.50,1.50,0.00,30,85,16.3,8.4,136,1015.0,1016.3,40655.60,36287.60,51,16.063269,108.23864
2020-01-19,22.5,24.8,20.2,24.9,26.5,22.6,19.5,1.10,1.10,0.00,47,84,15.8,8.1,137,1016.0,1017.3,40687.39,33549.43,51,16.063269,108.23864
2020-01-20,22.3,24.5,19.3,24.1,25.6,21.3,18.8,0.50,0.50,0.00,40,81,19.0,10.4,110,1017.0,1018.3,40720.23,36037.55,51,16.063269,108.23864
2020-01-21,22.5,24.7,20.2,24.8,26.9,22.6,19.0,0.00,0.00,0.00,55,81,15.4,7.7,150,1017.3,1018.6,40754.05,36124.69,3,16.063269,108.23864
2020-01-22,23.0,25.8,20.8,25.4,28.2,23.2,19.8,0.00,0.00,0.00,53,82,20.1,10.8,146,1015.2,1016.5,40788.79,36272.22,3,16.063269,108.23864
2020-01-23,23.5,26.1,20.6,25.9,29.0,22.8,20.9,0.00,0.00,0.00,56,85,25.9,14.7,144,1013.1,1014.4,40824.42,36530.79,3,16.063269,108.23864
2020-01-24,23.9,26.5,21.5,26.5,29.5,24.8,21.5,0.00,0.00,0.00,86,87,27.7,15.6,143,1012.7,1014.0,40860.88,36034.46,3,16.063269,108.23864
2020-01-25,24.2,26.5,21.6,26.8,29.5,24.4,21.5,0.20,0.20,0.00,96,85,26.9,15.0,143,1010.4,1011.7,40898.11,36000.00,51,16.063269,108.23864
2020-01-26,22.3,23.8,20.4,22.3,27.5,19.7,19.1,0.50,0.50,0.00,96,82,42.5,24.2,325,1011.8,1013.1,40936.07,36000.00,51,16.063269,108.23864
2020-01-27,21.4,23.6,19.6,22.3,24.7,21.0,17.6,0.00,0.00,0.00,97,79,23.4,12.7,329,1011.9,1013.1,40974.71,27018.89,3,16.063269,108.23864
2020-01-28,21.3,22.4,20.3,23.2,25.1,21.6,18.4,15.40,15.40,0.00,99,84,16.1,7.9,360,1013.3,1014.5,41013.98,0.00,63,16.063269,108.23864
2020-01-29,20.8,21.4,19.8,21.6,23.0,19.4,18.8,41.00,41.00,0.00,100,89,30.1,17.1,22,1015.9,1017.2,41053.83,0.00,63,16.063269,108.23864
2020-01-30,19.7,20.6,18.5,19.3,20.3,18.3,16.5,12.20,12.20,0.00,97,82,33.2,18.6,353,1017.3,1018.6,41094.21,231.90,61,16.063269,108.23864
2020-01-31,20.4,22.7,17.5,21.6,23.5,19.0,16.7,0.30,0.30,0.00,86,80,15.8,8.1,107,1017.2,1018.5,41135.08,30542.99,51,16.063269,108.23864
