time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,17.5,23.1,13.7,18.3,24.2,13.8,14.3,0.00,0.00,0.00,43,83,19.1,4.8,104,929.3,1023.0,39100.34,13037.16,3,21.265377,103.10591
2020-01-02,18.4,24.9,13.2,19.1,25.6,13.3,14.2,0.00,0.00,0.00,33,79,17.1,5.0,114,928.5,1021.9,39118.75,27658.69,3,21.265377,103.10591
2020-01-03,19.3,25.8,13.6,20.3,27.5,13.5,14.7,0.00,0.00,0.00,7,77,17.2,4.9,115,926.2,1019.1,39138.77,35600.96,1,21.265377,103.10591
2020-01-04,19.2,25.1,15.0,19.9,25.6,15.5,14.8,0.50,0.50,0.00,50,78,22.3,6.5,122,924.2,1016.8,39160.37,33525.89,51,21.265377,103.10591
2020-01-05,19.2,25.7,14.8,19.8,25.7,15.1,14.5,0.40,0.40,0.00,30,77,22.9,6.3,134,923.2,1015.7,39183.52,35416.98,51,21.265377,103.10591
2020-01-06,19.6,25.7,14.5,20.3,25.7,14.6,14.8,0.30,0.30,0.00,26,76,25.0,6.5,161,922.7,1015.1,39208.17,35631.85,51,21.265377,103.10591
2020-01-07,19.1,25.1,14.0,20.2,26.0,14.5,15.0,1.10,1.10,0.00,23,78,15.1,3.9,119,922.8,1015.4,39234.30,34497.43,53,21.265377,103.10591
2020-01-08,20.3,27.1,15.4,21.0,26.8,16.0,14.5,0.10,0.10,0.00,44,73,19.4,5.5,132,923.3,1015.5,39261.86,33757.70,51,21.265377,103.10591
2020-01-09,20.2,27.2,14.0,20.8,27.8,14.2,13.8,0.00,0.00,0.00,30,70,18.7,5.3,151,922.2,1014.3,39290.82,35857.14,3,21.265377,103.10591
2020-01-10,20.7,27.3,13.9,21.0,27.7,13.9,12.9,0.00,0.00,0.00,2,63,19.3,5.1,181,920.5,1012.3,39321.13,35942.92,0,21.265377,103.10591
2020-01-11,20.2,26.1,14.3,20.3,26.3,14.5,12.6,0.00,0.00,0.00,10,65,18.2,4.9,149,920.2,1012.2,39352.77,35942.85,1,21.265377,103.10591
2020-01-12,19.0,25.9,14.9,19.1,25.9,14.7,13.2,0.00,0.00,0.00,35,73,24.0,6.8,102,921.3,1013.8,39385.70,32682.03,3,21.265377,103.10591
2020-01-13,18.6,25.5,13.2,18.7,24.9,13.0,13.5,0.10,0.10,0.00,54,75,24.1,7.1,151,920.4,1012.9,39419.88,34200.07,51,21.265377,103.10591
2020-01-14,19.3,25.6,13.9,19.6,25.1,14.1,13.9,0.10,0.10,0.00,38,74,24.4,6.9,155,920.9,1013.2,39455.27,35948.04,51,21.265377,103.10591
2020-01-15,21.0,26.9,13.7,20.7,26.2,13.9,11.7,0.00,0.00,0.00,4,59,27.7,6.1,240,920.8,1012.5,39492.25,36446.45,1,21.265377,103.10591
2020-01-16,20.8,27.3,12.6,19.8,25.9,11.7,8.0,0.00,0.00,0.00,17,47,20.1,4.4,238,921.9,1013.8,39530.94,36662.01,2,21.265377,103.10591
