time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,21.3,26.2,18.5,19.8,24.1,17.4,15.7,0.00,0.00,0.00,59,72,49.1,24.6,63,933.5,1019.0,40739.02,37453.41,3,13.954306,107.98342
2020-01-02,21.5,27.2,17.9,20.6,26.7,16.7,16.3,0.00,0.00,0.00,16,74,46.0,23.1,63,933.8,1019.2,40750.59,37557.12,2,13.954306,107.98342
2020-01-03,21.2,27.4,17.4,19.8,26.3,16.1,14.6,0.00,0.00,0.00,41,69,43.1,21.6,60,932.4,1017.8,40763.18,37308.25,3,13.954306,107.98342
2020-01-04,20.3,26.0,16.9,18.6,25.1,15.0,13.4,0.00,0.00,0.00,69,67,40.5,20.3,64,930.7,1016.2,40776.76,37220.30,3,13.954306,107.98342
2020-01-05,19.7,26.0,15.7,17.9,25.3,13.7,13.3,0.00,0.00,0.00,32,69,41.3,20.7,64,930.2,1015.8,40791.32,37601.87,3,13.954306,107.98342
2020-01-06,21.1,28.1,16.2,20.4,28.5,14.4,15.0,0.00,0.00,0.00,28,70,34.9,17.3,76,930.6,1015.8,40806.84,37584.77,3,13.954306,107.98342
2020-01-07,21.7,27.8,17.5,21.2,28.1,16.9,16.4,0.00,0.00,0.00,46,74,39.3,19.9,85,929.9,1014.9,40823.27,37318.03,3,13.954306,107.98342
2020-01-08,22.1,27.4,18.4,21.4,26.8,17.5,16.1,0.00,0.00,0.00,87,71,38.4,18.9,71,930.0,1014.9,40840.62,37136.06,3,13.954306,107.98342
2020-01-09,22.1,28.8,17.9,21.7,29.2,17.4,16.0,0.00,0.00,0.00,49,71,36.5,18.1,77,929.0,1013.8,40858.84,37297.74,3,13.954306,107.98342
2020-01-10,21.8,28.7,16.9,21.8,30.6,16.5,15.5,0.00,0.00,0.00,11,70,30.8,14.8,86,928.0,1012.8,40877.93,37560.78,3,13.954306,107.98342
2020-01-11,22.0,28.8,17.2,22.7,30.2,17.3,16.4,0.70,0.70,0.00,93,74,25.3,11.5,78,927.8,1012.5,40897.85,36589.02,51,13.954306,107.98342
2020-01-12,21.6,27.8,17.3,20.8,27.7,16.4,13.9,0.00,0.00,0.00,84,66,33.7,16.7,70,928.1,1013.0,40918.57,36295.55,3,13.954306,107.98342
2020-01-13,20.0,26.2,15.9,18.6,25.6,14.7,13.5,0.00,0.00,0.00,27,69,38.3,19.0,74,928.4,1013.8,40940.10,37779.43,3,13.954306,107.98342
