time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,19.5,20.8,18.6,21.9,23.1,20.6,17.8,8.40,8.40,0.00,99,90,13.8,3.1,106,1010.5,1023.8,38733.64,3849.25,55,22.811949,105.0
2020-01-02,19.5,22.6,17.7,21.7,25.2,19.9,18.0,5.20,5.20,0.00,96,92,14.7,4.7,94,1008.9,1022.2,38753.59,26320.69,53,22.811949,105.0
2020-01-03,20.4,23.0,17.7,23.2,26.3,20.1,18.8,6.00,6.00,0.00,98,91,11.5,3.1,68,1006.9,1020.1,38775.29,18599.18,53,22.811949,105.0
2020-01-04,20.6,24.1,18.8,23.2,25.5,21.4,18.9,15.40,15.40,0.00,93,91,20.0,5.0,192,1004.8,1018.0,38798.71,29041.77,61,22.811949,105.0
2020-01-05,19.9,22.3,18.3,22.9,25.5,20.7,19.1,9.70,9.70,0.00,92,95,18.8,3.1,176,1003.8,1016.9,38823.80,16093.09,61,22.811949,105.0
2020-01-06,20.2,23.6,18.6,22.8,26.1,20.8,18.9,6.80,6.80,0.00,84,92,20.7,4.9,175,1002.4,1015.5,38850.53,22900.21,53,22.811949,105.0
2020-01-07,19.6,22.5,16.0,22.3,26.4,17.3,18.8,6.90,6.90,0.00,65,95,11.7,3.8,331,1003.3,1016.5,38878.85,20602.25,61,22.811949,105.0
2020-01-08,21.2,24.9,18.3,24.1,27.4,20.9,19.0,8.30,8.30,0.00,73,88,16.2,3.3,201,1003.0,1016.1,38908.72,25200.00,55,22.811949,105.0
2020-01-09,20.4,23.2,18.7,23.1,25.4,20.8,18.7,4.90,4.90,0.00,89,90,15.3,4.1,160,1001.8,1014.9,38940.11,27859.17,53,22.811949,105.0
2020-01-10,20.8,24.3,18.5,23.4,26.2,21.3,19.0,3.20,3.20,0.00,85,90,16.2,4.6,133,999.9,1013.0,38972.96,25267.93,53,22.811949,105.0
2020-01-11,19.3,22.4,16.4,21.5,25.1,17.7,17.5,7.40,7.40,0.00,82,90,12.6,3.5,207,1001.7,1014.9,39007.26,20756.62,61,22.811949,105.0
2020-01-12,17.2,20.4,15.2,17.7,20.6,15.2,12.8,0.10,0.10,0.00,58,76,10.7,2.9,129,1004.2,1017.5,39042.94,31257.87,51,22.811949,105.0
2020-01-13,16.1,18.4,13.8,17.1,19.4,14.1,14.3,5.70,5.70,0.00,96,89,11.3,3.0,73,1002.4,1015.8,39079.98,13809.03,51,22.811949,105.0
2020-01-14,17.7,20.5,14.9,19.7,23.2,15.9,16.7,10.90,10.90,0.00,99,94,11.1,2.9,326,1001.8,1015.0,39118.34,15124.89,61,22.811949,105.0
2020-01-15,19.5,22.6,17.3,22.1,25.1,19.3,18.5,13.60,13.60,0.00,88,94,17.5,4.0,137,999.6,1012.7,39158.41,26816.45,61,22.811949,105.0
2020-01-16,19.7,22.5,16.8,22.2,25.5,18.6,18.2,12.60,12.60,0.00,94,92,14.5,3.6,159,1002.5,1015.7,39200.33,23940.73,55,22.811949,105.0
2020-01-17,16.6,18.1,15.4,18.0,19.8,16.8,15.8,8.00,8.00,0.00,92,95,13.0,3.4,162,1006.0,1019.3,39244.01,2771.04,53,22.811949,105.0
2020-01-18,16.4,18.3,15.2,17.7,19.8,16.6,15.2,9.50,9.50,0.00,99,93,11.7,3.3,114,1004.5,1017.8,39289.38,10834.46,53,22.811949,105.0
2020-01-19,15.8,17.2,14.6,16.5,17.4,15.5,13.7,9.40,9.40,0.00,91,88,12.3,3.8,187,1007.2,1020.6,39336.34,10190.19,53,22.811949,105.0
2020-01-20,16.1,18.1,14.5,17.2,19.0,15.3,14.4,6.10,6.10,0.00,96,90,10.8,2.1,186,1006.6,1020.0,39384.83,2781.34,53,22.811949,105.0
2020-01-21,16.7,19.0,14.4,18.2,20.9,15.2,15.6,3.00,3.00,0.00,99,93,10.4,2.8,340,1005.7,1019.1,39434.77,8594.14,51,22.811949,105.0
2020-01-22,18.2,21.2,15.6,20.4,23.9,16.9,17.3,2.80,2.80,0.00,90,95,11.8,3.5,18,1002.9,1016.1,39486.06,17030.21,51,22.811949,105.0
2020-01-23,20.0,24.0,17.6,22.7,26.5,19.9,18.6,2.30,2.30,0.00,78,92,15.1,3.7,247,1000.7,1013.8,39538.65,31973.11,51,22.811949,105.0
2020-01-24,20.2,24.0,18.2,23.0,27.0,20.5,19.2,13.70,13.70,0.00,87,94,18.4,4.6,266,1000.6,1013.8,39592.45,28024.46,61,22.811949,105.0
2020-01-25,16.4,18.8,12.5,16.8,21.6,10.9,13.0,27.40,27.40,0.00,84,81,18.2,4.5,351,1003.3,1016.6,39647.38,9823.98,63,22.811949,105.0
2020-01-26,15.5,20.2,10.6,14.5,20.1,8.8,7.9,0.80,0.80,0.00,33,62,19.5,4.8,81,1004.7,1018.1,39703.38,36118.63,53,22.811949,105.0
2020-01-27,15.5,18.3,12.4,14.5,17.8,11.5,9.1,0.00,0.00,0.00,95,66,17.8,4.9,151,1003.0,1016.4,39760.36,19212.04,3,22.811949,105.0
2020-01-28,15.2,17.2,13.4,14.4,16.6,12.2,9.3,0.00,0.00,0.00,100,68,16.6,4.9,149,1005.2,1018.7,39818.26,9460.90,3,22.811949,105.0
2020-01-29,14.5,17.2,12.3,14.2,16.6,12.3,10.4,5.30,5.30,0.00,76,77,11.7,3.5,184,1008.9,1022.4,39877.00,17284.03,61,22.811949,105.0
2020-01-30,14.7,19.0,8.9,13.8,17.9,7.6,8.4,0.00,0.00,0.00,56,67,12.2,3.6,116,1008.3,1021.8,39936.51,27532.54,3,22.811949,105.0
2020-01-31,15.7,19.6,12.0,14.6,18.6,10.6,9.0,0.00,0.00,0.00,43,65,18.5,5.7,125,1006.3,1019.7,39996.73,35812.77,3,22.811949,105.0
2020-02-01,15.8,19.1,13.8,16.2,19.3,13.6,12.7,1.80,1.80,0.00,96,82,10.8,3.1,45,1005.7,1019.1,40057.58,2976.39,51,22.811949,105.0
2020-02-02,17.1,20.3,14.2,18.2,22.0,14.6,14.6,1.70,1.70,0.00,94,85,10.3,3.1,1,1005.4,1018.7,40119.00,9609.23,51,22.811949,105.0
2020-02-03,16.6,18.3,15.2,17.9,20.7,16.2,15.7,30.00,30.00,0.00,96,95,19.4,4.7,233,1004.9,1018.3,40180.93,8656.49,63,22.811949,105.0
2020-02-04,16.4,19.0,14.2,17.1,19.0,14.9,13.8,3.80,3.80,0.00,85,85,12.8,3.6,171,1005.9,1019.3,40243.93,13882.96,53,22.811949,105.0
2020-02-05,15.9,17.3,14.8,17.0,18.4,15.7,15.1,13.60,13.60,0.00,100,95,15.7,4.3,160,1004.5,1017.8,40308.20,1673.74,61,22.811949,105.0
2020-02-06,17.4,20.3,15.3,18.6,22.0,16.2,14.8,1.20,1.20,0.00,75,85,11.7,3.1,353,1003.3,1016.6,40373.65,19754.30,51,22.811949,105.0
2020-02-07,18.1,20.6,15.5,20.2,23.3,16.3,17.3,12.20,12.20,0.00,91,95,12.5,4.2,235,1005.5,1018.8,40440.21,16589.72,61,22.811949,105.0
2020-02-08,17.9,19.3,16.8,19.8,21.2,18.6,17.2,8.10,8.10,0.00,100,96,13.8,4.3,171,1008.8,1022.1,40507.79,0.00,53,22.811949,105.0
2020-02-09,15.8,16.6,14.3,16.6,18.1,14.3,14.0,3.40,3.40,0.00,96,89,12.6,3.9,170,1011.8,1025.2,40576.32,0.00,51,22.811949,105.0
2020-02-10,15.2,17.1,13.4,15.8,17.6,13.8,13.4,5.90,5.90,0.00,100,89,13.5,3.4,128,1007.9,1021.3,40645.72,1099.60,53,22.811949,105.0
2020-02-11,17.0,21.7,13.8,18.1,23.6,14.3,15.0,1.10,1.10,0.00,89,88,14.8,4.1,93,1004.8,1018.1,40715.91,24609.79,51,22.811949,105.0
2020-02-12,18.6,22.4,14.4,20.5,24.9,14.8,16.7,3.90,3.90,0.00,62,89,11.2,3.2,325,1002.2,1015.4,40786.83,31255.94,61,22.811949,105.0
