time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,19.8,22.0,18.3,21.6,23.2,19.4,17.7,3.00,3.00,0.00,74,88,14.4,7.3,87,1022.4,1023.6,39182.54,10405.81,53,20.913883,106.32219
2020-01-02,20.9,25.3,17.4,22.7,27.2,18.6,18.2,1.00,1.00,0.00,65,86,17.7,8.6,116,1021.0,1022.1,39200.60,9458.42,51,20.913883,106.32219
2020-01-03,21.5,25.4,17.5,23.0,26.8,19.0,18.4,0.40,0.40,0.00,80,84,22.0,11.1,120,1019.0,1020.2,39220.24,22502.32,51,20.913883,106.32219
2020-01-04,21.3,24.3,19.0,22.5,24.8,20.9,18.5,1.60,1.60,0.00,73,84,26.0,13.0,117,1017.2,1018.4,39241.44,24461.96,51,20.913883,106.32219
2020-01-05,21.3,25.0,18.1,22.7,26.0,20.0,18.5,0.80,0.80,0.00,78,85,23.6,12.0,118,1016.1,1017.3,39264.16,23292.00,51,20.913883,106.32219
2020-01-06,22.0,25.7,19.2,23.5,26.1,21.1,19.0,1.00,1.00,0.00,49,84,26.9,13.1,140,1014.9,1016.0,39288.34,29488.57,51,20.913883,106.32219
2020-01-07,22.5,27.5,19.5,24.7,29.5,22.2,19.5,0.40,0.40,0.00,52,85,19.8,9.7,133,1014.7,1015.9,39313.98,27272.03,51,20.913883,106.32219
2020-01-08,22.2,27.4,18.7,24.0,28.2,20.9,19.0,0.10,0.10,0.00,77,84,21.4,10.6,127,1015.3,1016.5,39341.02,35003.90,51,20.913883,106.32219
2020-01-09,22.4,27.1,19.2,24.7,29.1,21.4,19.4,0.70,0.70,0.00,68,84,18.3,9.0,143,1013.6,1014.8,39369.44,22767.29,51,20.913883,106.32219
2020-01-10,23.4,27.8,20.2,25.4,28.4,23.1,19.6,0.20,0.20,0.00,56,81,23.7,11.6,166,1011.9,1013.1,39399.19,29530.11,51,20.913883,106.32219
2020-01-11,20.6,26.0,15.9,22.0,28.5,14.0,17.6,11.50,11.50,0.00,93,83,21.3,10.2,73,1012.9,1014.1,39430.23,24847.46,63,20.913883,106.32219
2020-01-12,15.5,18.4,13.2,14.2,18.0,11.0,10.0,0.40,0.40,0.00,94,70,20.4,9.3,7,1016.4,1017.6,39462.54,7957.89,51,20.913883,106.32219
2020-01-13,18.4,21.8,15.6,18.9,22.3,15.7,14.8,0.70,0.70,0.00,98,80,15.4,7.6,91,1014.2,1015.4,39496.08,1315.85,51,20.913883,106.32219
2020-01-14,21.2,24.9,18.7,23.0,26.3,20.1,18.7,3.10,3.10,0.00,65,87,20.5,9.7,159,1013.3,1014.5,39530.81,17715.30,53,20.913883,106.32219
2020-01-15,22.0,25.7,18.9,22.8,25.2,20.6,18.3,0.00,0.00,0.00,42,81,30.4,15.7,160,1012.3,1013.4,39567.10,14077.08,3,20.913883,106.32219
2020-01-16,21.3,25.2,17.2,23.0,26.4,16.5,18.7,4.30,4.30,0.00,72,86,21.5,10.4,108,1014.0,1015.2,39605.07,22902.06,55,20.913883,106.32219
2020-01-17,16.5,17.8,14.5,15.6,17.6,12.4,11.7,0.30,0.30,0.00,93,74,20.6,9.5,6,1018.0,1019.2,39644.62,3280.29,51,20.913883,106.32219
2020-01-18,17.7,20.6,15.6,18.4,22.5,15.6,14.8,1.00,1.00,0.00,100,83,13.3,6.0,35,1016.3,1017.5,39685.71,0.00,51,20.913883,106.32219
2020-01-19,15.7,17.4,14.1,14.8,18.2,13.0,12.0,1.50,1.50,0.00,100,79,21.3,10.5,1,1018.7,1019.9,39728.25,2124.38,51,20.913883,106.32219
2020-01-20,16.9,20.8,14.0,17.3,22.1,13.4,13.5,1.10,1.10,0.00,99,81,12.5,5.1,352,1018.4,1019.6,39772.17,3402.66,51,20.913883,106.32219
2020-01-21,19.7,25.1,16.2,21.1,25.3,17.3,17.0,0.20,0.20,0.00,70,85,16.6,7.6,161,1017.3,1018.5,39817.40,12756.73,51,20.913883,106.32219
2020-01-22,21.9,25.9,18.5,23.6,26.7,20.4,19.0,0.40,0.40,0.00,65,85,23.6,12.2,154,1014.7,1015.9,39863.88,9964.91,51,20.913883,106.32219
2020-01-23,22.7,26.1,20.5,24.6,27.5,22.8,20.0,0.90,0.90,0.00,84,86,25.7,13.1,145,1012.8,1014.0,39911.52,7143.02,51,20.913883,106.32219
2020-01-24,22.0,25.0,20.0,23.7,25.8,21.3,20.1,4.00,4.00,0.00,87,89,28.7,14.6,123,1012.5,1013.7,39960.25,13069.64,53,20.913883,106.32219
2020-01-25,16.6,20.4,11.3,15.6,21.6,7.5,14.8,49.40,49.40,0.00,98,89,37.7,18.6,25,1013.1,1014.3,40010.03,8621.52,65,20.913883,106.32219
2020-01-26,13.8,17.8,10.9,10.8,15.4,7.3,6.6,1.10,1.10,0.00,74,63,29.2,14.4,6,1016.8,1018.0,40060.77,19690.69,53,20.913883,106.32219
2020-01-27,14.2,18.3,10.3,12.3,17.0,7.5,7.2,0.80,0.80,0.00,47,64,18.0,8.0,42,1015.7,1016.9,40112.41,36000.00,53,20.913883,106.32219
2020-01-28,14.8,17.6,12.2,13.2,16.6,9.7,8.0,0.00,0.00,0.00,80,64,16.5,7.4,25,1017.5,1018.7,40164.88,33847.15,3,20.913883,106.32219
2020-01-29,14.1,17.1,11.7,11.7,14.5,8.7,6.3,0.50,0.50,0.00,73,60,21.1,10.2,11,1020.8,1022.0,40218.11,27134.28,51,20.913883,106.32219
2020-01-30,14.3,19.9,8.7,12.9,19.9,6.9,7.1,0.00,0.00,0.00,12,64,14.9,6.4,33,1020.4,1021.6,40272.06,36212.18,3,20.913883,106.32219
2020-01-31,15.6,20.8,10.4,14.0,19.0,8.5,9.8,0.80,0.80,0.00,42,70,20.2,10.5,98,1018.7,1019.9,40326.64,21764.22,51,20.913883,106.32219
2020-02-01,16.9,18.7,14.6,17.7,20.2,13.8,15.1,3.80,3.80,0.00,91,89,13.7,6.8,59,1017.2,1018.4,40381.80,0.00,55,20.913883,106.32219
2020-02-02,19.3,23.7,16.6,20.7,24.2,18.3,17.3,1.50,1.50,0.00,66,89,17.5,8.7,136,1017.0,1018.2,40437.47,16754.42,51,20.913883,106.32219
2020-02-03,18.9,21.4,16.2,20.0,23.2,16.3,17.7,20.10,20.10,0.00,96,93,22.3,11.7,93,1016.1,1017.3,40493.62,373.63,63,20.913883,106.32219
2020-02-04,15.0,16.6,13.7,14.3,15.8,12.5,12.7,2.80,2.80,0.00,100,86,21.1,10.8,349,1017.5,1018.7,40550.74,0.00,51,20.913883,106.32219
2020-02-05,16.0,18.6,13.7,16.4,20.2,13.3,14.4,3.80,3.80,0.00,100,91,14.7,7.0,20,1016.5,1017.7,40609.01,0.00,51,20.913883,106.32219
2020-02-06,19.7,24.5,17.3,21.7,26.9,18.2,17.8,0.90,0.90,0.00,77,89,13.3,5.7,121,1014.5,1015.7,40668.36,17248.90,51,20.913883,106.32219
2020-02-07,20.1,22.6,18.0,21.6,24.1,18.9,18.4,2.60,2.60,0.00,97,90,21.9,11.3,100,1017.0,1018.2,40728.72,2797.37,53,20.913883,106.32219
2020-02-08,18.2,20.2,16.0,18.4,21.1,14.9,15.5,4.70,4.70,0.00,99,85,22.2,11.3,52,1020.5,1021.7,40790.01,0.00,55,20.913883,106.32219
2020-02-09,15.2,16.4,13.7,13.8,14.9,12.3,11.0,2.00,2.00,0.00,98,76,22.8,11.5,5,1023.6,1024.9,40852.16,802.14,51,20.913883,106.32219
2020-02-10,16.5,20.3,13.6,16.2,20.8,12.5,12.3,0.30,0.30,0.00,92,76,16.0,7.3,81,1020.0,1021.2,40915.11,7387.76,51,20.913883,106.32219
2020-02-11,19.8,23.9,16.9,21.4,24.7,17.5,17.5,3.10,3.10,0.00,95,87,17.2,8.1,137,1016.5,1017.7,40978.77,7703.22,53,20.913883,106.32219
2020-02-12,21.5,25.4,19.5,23.7,27.2,21.3,19.8,4.90,4.90,0.00,88,91,21.7,11.0,140,1013.7,1014.9,41043.10,4875.44,53,20.913883,106.32219
