time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,19.7,21.7,17.9,20.4,21.9,18.7,16.6,3.00,3.00,0.00,81,83,21.5,11.4,72,1022.8,1023.5,39198.93,6115.87,53,20.843584,106.67004
2020-01-02,20.9,24.9,18.4,22.5,26.4,20.2,18.4,0.50,0.50,0.00,53,87,20.7,10.4,97,1021.5,1022.2,39216.93,22397.14,51,20.843584,106.67004
2020-01-03,21.4,24.6,18.8,22.9,25.7,20.5,18.7,0.00,0.00,0.00,67,85,23.1,11.5,97,1019.7,1020.4,39236.49,32279.62,3,20.843584,106.67004
2020-01-04,21.2,24.3,19.1,22.4,24.8,21.1,18.6,0.80,0.80,0.00,68,85,26.1,13.4,101,1017.9,1018.6,39257.61,24937.10,51,20.843584,106.67004
2020-01-05,21.3,24.1,18.9,22.6,25.0,20.6,18.6,0.40,0.40,0.00,66,85,25.2,12.8,103,1016.8,1017.5,39280.23,23826.05,51,20.843584,106.67004
2020-01-06,21.8,25.5,19.5,23.6,26.3,21.2,19.3,0.30,0.30,0.00,30,87,25.2,11.8,128,1015.7,1016.4,39304.33,36000.00,51,20.843584,106.67004
2020-01-07,22.1,26.8,19.2,24.5,29.0,21.3,19.5,0.00,0.00,0.00,28,86,17.9,8.4,121,1015.4,1016.1,39329.87,36000.00,3,20.843584,106.67004
2020-01-08,21.8,26.9,18.3,23.8,28.4,20.3,19.0,0.00,0.00,0.00,51,85,19.7,9.9,108,1016.0,1016.7,39356.81,36000.00,3,20.843584,106.67004
2020-01-09,21.7,26.1,19.2,24.3,28.5,21.4,19.9,2.00,2.00,0.00,60,90,18.0,9.0,130,1014.3,1015.0,39385.12,18805.65,53,20.843584,106.67004
2020-01-10,22.6,26.5,20.3,25.3,28.0,23.4,20.6,2.00,2.00,0.00,50,89,20.4,9.7,154,1012.7,1013.4,39414.75,29302.43,53,20.843584,106.67004
