time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,19.5,20.3,18.4,21.6,22.7,20.2,18.2,6.90,6.90,0.00,95,92,14.4,6.5,40,1022.5,1023.7,39264.34,0.00,55,20.56239,105.87702
2020-01-02,20.9,24.8,18.6,23.4,27.5,21.3,18.9,1.00,1.00,0.00,84,89,13.5,5.7,112,1021.0,1022.2,39282.05,3659.62,51,20.56239,105.87702
2020-01-03,21.8,25.6,19.0,24.3,28.1,21.7,19.8,3.70,3.70,0.00,92,89,19.2,8.6,139,1019.0,1020.1,39301.32,19916.90,53,20.56239,105.87702
2020-01-04,21.5,24.5,19.1,23.9,26.6,21.9,19.8,5.90,5.90,0.00,81,91,20.8,9.2,130,1017.1,1018.2,39322.11,17149.60,55,20.56239,105.87702
2020-01-05,21.8,25.6,19.0,23.9,27.5,20.6,19.5,0.90,0.90,0.00,45,88,24.0,10.9,143,1016.0,1017.1,39344.39,34166.96,51,20.56239,105.87702
2020-01-06,22.1,25.1,20.0,24.1,26.2,22.1,20.0,2.90,2.90,0.00,72,88,27.3,12.5,166,1014.8,1016.0,39368.12,31970.05,53,20.56239,105.87702
2020-01-07,22.7,26.2,20.3,25.4,28.7,23.4,20.4,1.50,1.50,0.00,64,88,20.8,9.1,155,1014.7,1015.8,39393.27,29463.95,51,20.56239,105.87702
2020-01-08,22.7,26.3,20.4,25.2,28.0,23.2,20.2,3.50,3.50,0.00,85,87,23.7,10.3,150,1015.2,1016.4,39419.80,30353.28,53,20.56239,105.87702
2020-01-09,23.0,27.2,20.7,25.5,29.2,23.3,20.1,0.40,0.40,0.00,65,85,22.7,10.2,168,1013.5,1014.7,39447.68,34771.39,51,20.56239,105.87702
2020-01-10,22.9,27.2,20.0,24.7,27.7,22.2,19.7,0.00,0.00,0.00,60,83,28.0,13.0,173,1011.9,1013.1,39476.86,30336.97,3,20.56239,105.87702
2020-01-11,21.3,26.6,16.0,23.0,28.7,15.0,18.5,3.80,3.80,0.00,85,85,24.4,10.7,130,1012.7,1013.9,39507.32,31460.35,53,20.56239,105.87702
2020-01-12,15.5,18.1,13.4,14.3,18.1,10.9,11.1,1.10,1.10,0.00,98,75,24.1,10.6,3,1016.6,1017.8,39539.02,5296.38,51,20.56239,105.87702
2020-01-13,18.4,21.3,14.9,19.6,22.9,15.5,15.6,1.10,1.10,0.00,91,84,13.0,5.3,90,1014.1,1015.3,39571.92,1094.55,51,20.56239,105.87702
2020-01-14,20.5,23.8,17.7,22.7,25.4,20.1,18.9,2.30,2.30,0.00,68,91,19.6,8.4,169,1013.3,1014.5,39605.99,14608.27,53,20.56239,105.87702
2020-01-15,21.7,24.9,19.5,22.9,25.1,21.2,19.2,0.70,0.70,0.00,48,86,33.8,15.7,172,1012.1,1013.3,39641.59,16785.78,51,20.56239,105.87702
2020-01-16,22.3,25.7,19.8,24.5,28.0,21.7,19.9,2.90,2.90,0.00,80,87,24.2,11.0,133,1013.6,1014.8,39678.84,26073.28,53,20.56239,105.87702
2020-01-17,16.5,18.1,14.2,16.2,18.8,13.0,13.5,2.90,2.90,0.00,100,82,21.6,9.7,0,1018.0,1019.2,39717.64,840.23,53,20.56239,105.87702
2020-01-18,17.1,19.1,15.3,17.8,20.6,15.5,15.0,2.10,2.10,0.00,100,88,14.9,6.8,356,1016.3,1017.5,39757.96,132.30,51,20.56239,105.87702
