time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,19.9,23.0,18.3,21.6,23.9,20.1,17.6,4.30,4.30,0.00,84,87,12.9,7.0,138,1021.7,1023.7,39149.71,21243.86,55,21.05448,105.807106
2020-01-02,21.1,25.4,18.5,23.0,27.0,20.6,18.3,0.60,0.60,0.00,78,85,14.3,7.7,141,1020.0,1022.1,39167.91,11812.20,51,21.05448,105.807106
2020-01-03,21.5,25.4,19.8,23.6,27.4,21.7,19.2,1.40,1.40,0.00,80,87,17.9,10.0,126,1018.1,1020.1,39187.71,12373.59,51,21.05448,105.807106
2020-01-04,21.1,23.5,19.4,22.8,25.3,21.2,19.2,4.30,4.30,0.00,79,89,20.8,12.3,121,1016.2,1018.2,39209.06,8332.28,53,21.05448,105.807106
2020-01-05,21.5,25.6,19.0,23.0,26.5,20.5,19.2,2.60,2.60,0.00,79,87,23.0,13.5,131,1015.0,1017.0,39231.95,22847.37,53,21.05448,105.807106
2020-01-06,22.1,26.1,20.2,23.7,26.5,22.4,19.5,2.60,2.60,0.00,70,86,24.4,14.2,154,1013.7,1015.7,39256.32,29459.47,53,21.05448,105.807106
2020-01-07,22.5,26.9,20.4,25.1,29.4,22.7,20.1,4.10,4.10,0.00,61,87,16.1,8.8,135,1013.7,1015.7,39282.16,21600.73,61,21.05448,105.807106
2020-01-08,22.6,26.6,19.7,24.7,27.5,22.3,19.8,2.10,2.10,0.00,83,85,20.6,11.2,146,1014.2,1016.2,39309.41,33231.74,51,21.05448,105.807106
2020-01-09,23.2,27.6,19.8,25.2,29.0,22.7,19.5,0.40,0.40,0.00,63,81,19.7,11.4,154,1012.5,1014.4,39338.04,30784.08,51,21.05448,105.807106
2020-01-10,23.3,27.4,20.3,24.7,27.9,22.6,19.2,0.00,0.00,0.00,58,79,24.8,14.3,166,1010.8,1012.8,39368.01,32400.00,3,21.05448,105.807106
2020-01-11,20.6,26.4,15.2,21.4,28.9,14.1,17.4,5.30,5.30,0.00,81,83,23.7,13.0,87,1012.1,1014.1,39399.30,27276.93,61,21.05448,105.807106
2020-01-12,15.7,18.5,13.3,14.6,18.3,11.4,11.0,2.50,2.50,0.00,90,74,17.8,9.5,27,1015.9,1017.9,39431.85,13559.22,53,21.05448,105.807106
2020-01-13,18.3,21.5,15.4,19.0,22.5,15.6,14.7,0.60,0.60,0.00,98,80,12.2,6.1,116,1013.4,1015.4,39465.64,2781.76,51,21.05448,105.807106
2020-01-14,20.7,24.2,18.1,22.5,25.6,20.4,18.4,0.80,0.80,0.00,68,87,16.3,8.8,142,1012.4,1014.4,39500.64,10242.31,51,21.05448,105.807106
2020-01-15,21.8,25.7,19.2,22.7,25.3,20.8,18.8,1.00,1.00,0.00,50,84,27.8,16.4,159,1010.9,1012.9,39537.21,21510.29,51,21.05448,105.807106
2020-01-16,20.9,25.6,16.1,21.9,27.7,14.4,18.2,4.70,4.70,0.00,80,85,23.9,14.0,90,1013.0,1015.0,39575.46,23223.03,61,21.05448,105.807106
2020-01-17,15.6,17.2,13.8,14.6,16.6,12.3,12.1,3.50,3.50,0.00,99,80,20.6,11.3,41,1017.5,1019.5,39615.32,737.44,51,21.05448,105.807106
2020-01-18,16.4,18.9,14.5,16.6,19.8,14.2,14.0,2.40,2.40,0.00,100,86,13.5,7.2,39,1015.7,1017.7,39656.72,338.03,51,21.05448,105.807106
2020-01-19,15.0,16.1,13.5,13.8,15.9,11.8,11.9,3.90,3.90,0.00,100,82,20.9,12.0,27,1018.3,1020.4,39699.59,404.27,51,21.05448,105.807106
2020-01-20,15.8,18.7,13.8,16.0,19.5,13.3,13.1,1.20,1.20,0.00,100,84,11.0,5.3,16,1017.9,1019.9,39743.84,609.19,51,21.05448,105.807106
2020-01-21,19.4,24.4,15.2,20.5,25.0,16.2,16.5,0.40,0.40,0.00,72,84,15.6,8.2,154,1016.4,1018.4,39789.41,20933.78,51,21.05448,105.807106
2020-01-22,21.6,26.0,18.4,23.2,27.2,20.0,19.0,0.40,0.40,0.00,69,86,20.7,12.1,150,1013.5,1015.5,39836.23,11546.44,51,21.05448,105.807106
2020-01-23,22.7,26.6,20.1,24.6,28.1,22.4,20.1,1.60,1.60,0.00,97,86,23.2,13.7,150,1011.6,1013.6,39884.23,7357.99,51,21.05448,105.807106
2020-01-24,22.2,24.3,20.6,24.4,26.0,22.9,20.6,14.00,14.00,0.00,97,91,23.0,13.2,132,1011.3,1013.3,39933.35,359.17,63,21.05448,105.807106
2020-01-25,16.5,20.5,12.4,15.3,22.2,9.6,14.4,28.00,28.00,0.00,100,88,33.1,19.4,33,1012.8,1014.8,39983.50,4412.44,63,21.05448,105.807106
2020-01-26,14.6,18.2,11.9,12.5,17.3,9.3,8.4,0.40,0.40,0.00,59,67,21.5,11.7,20,1016.2,1018.3,40034.62,36036.67,51,21.05448,105.807106
2020-01-27,14.1,17.9,10.3,12.1,16.2,7.3,7.5,0.70,0.70,0.00,38,66,17.7,9.2,52,1015.0,1017.0,40086.65,36000.00,51,21.05448,105.807106
2020-01-28,14.4,16.9,12.0,12.3,15.3,9.0,7.7,0.70,0.70,0.00,82,65,18.9,10.5,45,1016.9,1018.9,40139.52,34883.01,51,21.05448,105.807106
2020-01-29,13.7,16.7,11.2,11.9,15.1,9.0,8.0,2.30,2.30,0.00,77,69,17.6,9.5,13,1020.3,1022.4,40193.15,25819.36,51,21.05448,105.807106
2020-01-30,14.3,19.4,9.2,12.9,18.8,7.6,8.1,0.00,0.00,0.00,4,70,14.8,7.7,10,1019.7,1021.7,40247.50,36499.03,0,21.05448,105.807106
2020-01-31,15.6,21.4,9.8,14.5,20.0,8.4,10.2,0.00,0.00,0.00,43,72,16.0,8.5,117,1017.8,1019.9,40302.49,25214.29,3,21.05448,105.807106
2020-02-01,15.5,18.2,13.5,15.8,19.3,13.0,13.5,1.60,1.60,0.00,78,88,10.4,5.7,15,1016.7,1018.7,40358.07,418.22,51,21.05448,105.807106
2020-02-02,18.8,23.9,15.6,20.1,24.7,16.6,16.6,1.50,1.50,0.00,78,88,13.2,6.9,151,1016.0,1018.1,40414.16,13048.82,51,21.05448,105.807106
2020-02-03,17.7,20.7,14.6,18.0,23.1,13.7,16.7,12.20,12.20,0.00,95,94,24.4,14.4,66,1015.3,1017.4,40470.73,1583.85,61,21.05448,105.807106
2020-02-04,14.7,16.0,13.5,13.7,15.3,12.0,12.7,8.90,8.90,0.00,100,88,21.3,12.6,21,1017.1,1019.2,40528.28,0.00,61,21.05448,105.807106
2020-02-05,15.4,17.8,13.7,15.8,18.9,12.8,13.5,3.50,3.50,0.00,100,88,10.3,5.0,18,1015.9,1017.9,40586.99,660.19,51,21.05448,105.807106
2020-02-06,18.5,22.9,15.9,20.3,25.5,17.2,16.6,2.90,2.90,0.00,90,89,7.7,3.6,27,1013.8,1015.8,40646.79,9580.58,53,21.05448,105.807106
2020-02-07,19.2,20.5,17.6,21.1,23.1,19.4,18.4,11.70,11.70,0.00,99,95,14.5,7.7,44,1016.2,1018.2,40707.60,2787.35,63,21.05448,105.807106
2020-02-08,17.0,18.0,15.5,16.7,18.9,14.0,14.6,6.60,6.60,0.00,100,86,21.3,12.9,39,1020.0,1022.0,40769.35,0.00,61,21.05448,105.807106
2020-02-09,14.9,16.9,13.2,13.7,15.6,11.9,11.4,3.70,3.70,0.00,100,80,19.7,11.4,27,1023.2,1025.3,40831.96,0.00,51,21.05448,105.807106
2020-02-10,16.6,20.0,14.0,16.4,20.2,13.0,12.3,0.70,0.70,0.00,96,76,14.1,7.2,91,1019.2,1021.2,40895.38,11177.23,51,21.05448,105.807106
2020-02-11,19.4,23.4,15.7,20.8,24.5,16.9,16.9,1.60,1.60,0.00,77,86,13.6,7.1,160,1015.6,1017.6,40959.53,17013.06,51,21.05448,105.807106
2020-02-12,21.1,24.5,19.0,23.8,27.2,21.6,19.5,4.10,4.10,0.00,99,91,13.1,7.0,159,1012.7,1014.7,41024.34,2082.91,53,21.05448,105.807106
2020-02-13,22.4,25.9,20.3,25.3,28.8,23.1,21.1,5.20,5.20,0.00,89,92,19.1,10.8,120,1008.7,1010.7,41089.73,5541.88,53,21.05448,105.807106
2020-02-14,24.0,29.8,21.2,27.0,32.3,24.0,21.4,1.60,1.60,0.00,72,87,20.3,11.4,126,1005.1,1007.0,41155.66,22289.59,51,21.05448,105.807106
2020-02-15,24.2,29.8,19.7,27.0,33.5,18.3,20.7,3.70,3.70,0.00,76,82,20.1,10.0,63,1007.5,1009.5,41222.04,23975.40,61,21.05448,105.807106
2020-02-16,16.4,17.9,14.7,13.0,15.8,10.4,6.5,0.40,0.40,0.00,78,52,30.7,17.9,28,1020.4,1022.4,41288.82,14067.96,51,21.05448,105.807106
2020-02-17,16.5,19.4,13.7,13.8,17.0,10.6,5.6,0.00,0.00,0.00,57,49,21.6,11.9,33,1024.4,1026.5,41355.93,34526.98,3,21.05448,105.807106
2020-02-18,16.7,20.0,14.8,14.7,19.2,11.9,5.6,0.00,0.00,0.00,53,48,16.1,8.0,67,1022.7,1024.8,41423.31,32381.29,3,21.05448,105.807106
2020-02-19,16.5,20.4,12.2,16.0,20.0,11.1,11.1,0.00,0.00,0.00,66,71,12.1,5.8,98,1020.1,1022.1,41490.89,28663.17,3,21.05448,105.807106
2020-02-20,19.0,22.3,16.6,20.5,24.1,17.6,16.5,1.80,1.80,0.00,94,86,10.6,5.0,103,1019.7,1021.8,41558.62,6603.16,51,21.05448,105.807106
2020-02-21,20.1,24.1,16.9,21.4,24.6,17.9,17.2,1.70,1.70,0.00,78,84,14.7,8.3,121,1022.5,1024.5,41626.44,19886.82,51,21.05448,105.807106
2020-02-22,19.6,24.9,15.0,20.7,25.5,15.9,16.1,0.10,0.10,0.00,49,82,14.2,7.5,122,1023.1,1025.2,41694.28,34099.17,51,21.05448,105.807106
2020-02-23,19.8,24.8,14.7,20.9,25.7,15.8,16.0,0.10,0.10,0.00,49,81,14.5,7.1,136,1020.4,1022.4,41762.11,34572.81,51,21.05448,105.807106
2020-02-24,20.1,25.5,15.0,20.8,25.7,15.4,16.3,0.00,0.00,0.00,53,81,17.4,9.8,158,1016.0,1018.0,41830.42,32463.32,3,21.05448,105.807106
2020-02-25,21.2,25.5,17.6,22.7,26.5,19.0,17.8,0.10,0.10,0.00,70,82,17.1,9.7,154,1014.1,1016.1,41899.41,18483.09,51,21.05448,105.807106
2020-02-26,21.8,26.8,18.1,23.2,27.4,19.9,18.0,0.00,0.00,0.00,91,81,18.9,10.1,152,1014.8,1016.8,41969.03,20549.12,3,21.05448,105.807106
2020-02-27,21.7,26.4,17.7,23.7,27.9,19.4,18.6,0.30,0.30,0.00,90,83,16.0,8.4,132,1014.6,1016.6,42039.21,24680.66,51,21.05448,105.807106
2020-02-28,22.7,27.1,19.6,24.3,27.5,21.8,18.9,0.20,0.20,0.00,79,80,21.0,11.9,154,1012.7,1014.7,42109.91,22589.09,51,21.05448,105.807106
