time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,20.8,23.7,18.8,22.8,26.4,18.9,19.6,37.70,37.70,0.00,97,93,27.0,11.5,300,1021.1,1021.9,39778.92,6353.04,65,18.312828,105.9082
2020-01-02,21.8,25.0,19.6,24.8,27.9,22.3,20.3,0.90,0.90,0.00,69,92,15.5,6.9,60,1020.9,1021.7,39794.48,34147.04,51,18.312828,105.9082
2020-01-03,21.9,25.2,19.2,24.7,27.3,22.1,20.1,1.00,1.00,0.00,86,90,16.6,7.3,106,1019.0,1019.8,39811.41,35304.59,51,18.312828,105.9082
2020-01-04,21.9,25.4,19.2,24.3,26.9,21.9,19.6,0.40,0.40,0.00,69,88,17.1,8.3,121,1017.1,1017.9,39829.67,32466.47,51,18.312828,105.9082
2020-01-05,21.8,25.8,18.9,24.2,27.3,21.3,19.4,0.90,0.90,0.00,33,87,16.8,8.1,115,1016.1,1017.0,39849.24,33763.77,51,18.312828,105.9082
2020-01-06,21.7,25.6,18.2,24.4,28.3,20.5,19.8,0.40,0.40,0.00,35,90,16.5,7.5,116,1015.3,1016.1,39870.09,36000.00,51,18.312828,105.9082
2020-01-07,22.5,25.8,19.9,26.0,29.4,23.0,21.0,0.70,0.70,0.00,67,92,14.5,6.7,78,1014.8,1015.7,39892.18,26685.90,51,18.312828,105.9082
2020-01-08,22.4,24.5,20.3,25.6,27.0,23.6,20.8,1.60,1.60,0.00,79,91,14.7,6.8,103,1015.5,1016.3,39915.49,29483.33,51,18.312828,105.9082
2020-01-09,22.6,26.1,20.3,25.7,29.2,23.0,20.5,1.40,1.40,0.00,51,88,15.4,7.1,121,1014.0,1014.9,39939.98,26915.52,51,18.312828,105.9082
2020-01-10,21.9,25.9,18.3,24.2,29.1,19.9,19.3,0.20,0.20,0.00,22,86,18.5,8.9,137,1012.5,1013.3,39965.62,36076.98,51,18.312828,105.9082
2020-01-11,22.1,25.9,18.9,24.6,28.2,21.2,19.7,0.30,0.30,0.00,44,87,17.1,8.0,119,1012.3,1013.1,39992.39,34260.27,51,18.312828,105.9082
2020-01-12,19.8,21.4,17.5,20.9,25.1,17.6,18.5,16.30,16.30,0.00,99,92,28.6,14.3,12,1015.0,1015.9,40020.24,2140.42,61,18.312828,105.9082
2020-01-13,20.0,23.7,17.3,21.7,26.0,17.6,17.7,0.00,0.00,0.00,88,87,17.1,7.9,304,1014.0,1014.8,40049.15,11576.44,3,18.312828,105.9082
2020-01-14,22.1,26.6,18.8,24.0,27.8,21.1,18.8,0.00,0.00,0.00,68,82,19.7,9.9,143,1013.5,1014.3,40079.10,31027.79,3,18.312828,105.9082
2020-01-15,22.1,27.2,17.6,23.8,29.4,18.9,18.5,0.00,0.00,0.00,13,81,20.7,10.0,139,1012.7,1013.5,40110.39,36221.57,3,18.312828,105.9082
2020-01-16,22.1,27.1,17.5,24.7,31.5,19.2,19.6,0.00,0.00,0.00,24,86,18.8,8.4,126,1013.4,1014.2,40143.12,33608.06,3,18.312828,105.9082
2020-01-17,22.4,24.1,20.1,25.0,26.3,22.7,20.4,2.50,2.50,0.00,59,89,20.2,9.9,90,1016.3,1017.1,40177.23,33796.51,51,18.312828,105.9082
2020-01-18,22.0,25.7,19.5,24.8,28.5,22.0,19.8,0.60,0.60,0.00,37,88,15.0,6.4,100,1015.3,1016.2,40212.66,32693.20,51,18.312828,105.9082
2020-01-19,21.2,23.9,17.6,23.6,27.1,17.0,19.7,9.10,9.10,0.00,82,91,19.2,8.9,18,1016.8,1017.6,40249.36,28055.38,61,18.312828,105.9082
2020-01-20,19.4,22.3,17.1,20.6,24.6,17.1,16.9,0.20,0.20,0.00,82,86,19.0,8.7,306,1018.1,1018.9,40287.23,0.00,51,18.312828,105.9082
2020-01-21,21.1,25.0,17.5,23.1,26.4,19.2,18.6,0.40,0.40,0.00,49,86,16.6,8.0,124,1017.5,1018.3,40326.25,30500.42,51,18.312828,105.9082
2020-01-22,22.4,27.3,18.0,24.6,31.1,19.9,19.4,0.00,0.00,0.00,37,84,20.7,10.1,134,1014.9,1015.7,40366.34,36397.54,3,18.312828,105.9082
2020-01-23,22.3,26.0,18.4,25.2,29.3,21.1,20.3,0.00,0.00,0.00,53,89,16.4,7.6,121,1012.9,1013.7,40407.44,18661.41,3,18.312828,105.9082
2020-01-24,23.8,27.0,20.8,27.2,30.1,23.9,21.6,0.40,0.40,0.00,87,88,18.1,8.7,114,1012.0,1012.9,40449.49,17164.61,51,18.312828,105.9082
2020-01-25,23.8,27.5,18.2,27.2,32.0,17.2,21.7,47.70,47.70,0.00,92,89,26.0,9.5,88,1010.5,1011.3,40492.43,32400.00,65,18.312828,105.9082
2020-01-26,15.4,17.3,13.7,13.9,16.5,12.0,12.2,5.10,5.10,0.00,100,81,30.6,15.0,304,1016.7,1017.5,40536.22,0.00,53,18.312828,105.9082
