time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,20.6,22.9,19.3,23.2,25.1,22.1,18.5,2.00,2.00,0.00,97,88,11.6,3.9,114,1020.1,1023.9,39198.93,643.93,53,20.843584,105.30364
2020-01-02,21.9,26.0,19.0,24.8,28.7,21.7,19.3,0.20,0.20,0.00,76,86,13.1,4.6,159,1018.3,1022.1,39216.93,19124.38,51,20.843584,105.30364
2020-01-03,23.0,27.5,19.8,25.6,29.3,22.7,19.3,0.20,0.20,0.00,75,81,16.2,6.2,148,1016.2,1019.9,39236.49,26158.62,51,20.843584,105.30364
2020-01-04,22.2,25.4,20.5,25.0,27.9,23.4,20.0,3.00,3.00,0.00,72,88,18.9,7.2,134,1014.3,1018.1,39257.61,34136.33,53,20.843584,105.30364
2020-01-05,22.4,26.1,20.3,25.1,27.7,23.0,19.7,1.50,1.50,0.00,66,85,19.0,6.8,163,1013.2,1016.9,39280.23,27826.37,53,20.843584,105.30364
2020-01-06,22.3,27.5,18.9,24.2,27.9,21.2,19.0,0.00,0.00,0.00,36,83,26.9,10.7,175,1011.9,1015.7,39304.33,32383.44,3,20.843584,105.30364
2020-01-07,22.9,27.0,20.4,26.3,30.0,23.6,20.3,0.40,0.40,0.00,68,86,12.7,4.4,148,1012.1,1015.8,39329.87,30147.65,51,20.843584,105.30364
2020-01-08,23.1,27.6,19.3,25.7,28.7,21.8,19.8,0.00,0.00,0.00,76,83,20.5,7.9,165,1012.5,1016.3,39356.81,32894.83,3,20.843584,105.30364
2020-01-09,22.7,27.6,19.0,25.4,29.5,21.6,19.6,0.20,0.20,0.00,56,84,17.4,6.8,169,1010.9,1014.6,39385.12,16850.54,51,20.843584,105.30364
2020-01-10,22.8,28.3,18.6,25.0,29.7,20.7,19.1,0.00,0.00,0.00,36,81,22.3,8.9,174,1009.1,1012.9,39414.75,29568.11,3,20.843584,105.30364
2020-01-11,20.6,26.3,16.0,22.4,29.0,15.5,17.9,2.70,2.70,0.00,66,85,20.3,8.0,103,1010.4,1014.1,39445.68,5126.42,53,20.843584,105.30364
2020-01-12,16.1,18.5,14.4,16.1,18.9,14.0,12.9,2.00,2.00,0.00,86,81,16.2,6.5,63,1014.1,1018.0,39477.87,6839.40,53,20.843584,105.30364
2020-01-13,18.4,22.8,15.0,19.7,23.4,15.6,15.6,1.10,1.10,0.00,90,84,13.8,4.8,133,1011.5,1015.3,39511.27,422.15,51,20.843584,105.30364
2020-01-14,21.6,25.9,18.4,23.8,27.4,20.9,18.7,0.30,0.30,0.00,71,85,17.8,7.0,169,1010.6,1014.4,39545.88,22340.66,51,20.843584,105.30364
2020-01-15,22.6,27.1,19.3,24.1,27.6,21.0,18.9,0.00,0.00,0.00,35,80,30.0,12.4,174,1009.0,1012.7,39582.03,35993.98,3,20.843584,105.30364
2020-01-16,22.5,27.9,17.2,24.8,30.2,17.5,19.2,3.80,3.80,0.00,84,83,20.1,8.0,111,1011.1,1014.8,39619.85,21717.59,55,20.843584,105.30364
2020-01-17,16.5,18.1,15.1,16.7,18.4,15.1,14.2,4.90,4.90,0.00,100,86,18.5,8.1,54,1015.7,1019.5,39659.26,1666.11,53,20.843584,105.30364
