time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,23.1,24.9,21.9,25.0,26.5,23.9,21.3,5.20,5.20,0.00,85,90,35.4,18.2,99,1019.6,1020.6,40186.86,31576.98,51,16.48506,107.571434
2020-01-02,23.0,25.1,21.7,25.5,27.3,24.0,20.9,5.40,5.40,0.00,83,88,25.4,12.7,94,1020.0,1021.0,40200.71,26211.91,53,16.48506,107.571434
2020-01-03,23.2,25.3,21.2,25.2,26.6,24.3,20.5,0.60,0.60,0.00,86,85,27.6,14.2,102,1018.4,1019.4,40215.79,33088.91,51,16.48506,107.571434
2020-01-04,22.1,25.1,19.3,24.0,26.8,21.3,19.2,0.70,0.70,0.00,84,84,22.4,10.9,112,1016.6,1017.6,40232.06,35691.14,51,16.48506,107.571434
2020-01-05,22.3,25.4,19.1,24.0,27.0,21.1,19.2,0.70,0.70,0.00,46,83,23.2,11.8,109,1015.8,1016.7,40249.50,36000.00,53,16.48506,107.571434
2020-01-06,22.0,26.2,18.0,24.4,29.2,19.0,19.4,0.00,0.00,0.00,11,86,20.1,9.5,120,1015.0,1015.9,40268.07,36221.00,3,16.48506,107.571434
2020-01-07,22.8,27.0,18.0,25.5,30.6,19.9,20.4,0.00,0.00,0.00,43,87,21.4,10.2,101,1014.1,1015.1,40287.76,36056.33,3,16.48506,107.571434
2020-01-08,23.6,26.1,20.2,26.3,28.4,23.1,20.9,0.10,0.10,0.00,81,85,22.5,11.3,101,1014.8,1015.7,40308.53,36057.87,51,16.48506,107.571434
2020-01-09,23.5,26.0,21.1,26.0,28.2,24.2,20.6,0.30,0.30,0.00,45,84,23.1,11.3,99,1013.7,1014.6,40330.35,36059.21,51,16.48506,107.571434
2020-01-10,22.4,26.2,18.1,24.8,28.9,20.1,19.7,0.00,0.00,0.00,22,85,19.9,9.9,106,1012.3,1013.2,40353.20,36300.09,3,16.48506,107.571434
2020-01-11,22.7,26.3,19.8,25.7,29.2,22.5,20.4,0.40,0.40,0.00,56,87,15.9,7.4,105,1011.9,1012.8,40377.04,35653.11,51,16.48506,107.571434
2020-01-12,22.5,25.9,19.7,25.4,29.1,23.1,20.1,1.60,1.60,0.00,57,87,17.0,7.8,98,1013.1,1014.1,40401.86,36000.00,51,16.48506,107.571434
2020-01-13,22.4,25.7,19.8,24.3,26.8,22.5,19.7,0.70,0.70,0.00,29,85,25.5,12.7,105,1013.1,1014.1,40427.62,36014.14,51,16.48506,107.571434
2020-01-14,22.2,26.9,18.3,23.3,28.2,19.9,17.9,0.00,0.00,0.00,22,78,26.8,13.5,116,1013.6,1014.6,40454.31,36440.50,3,16.48506,107.571434
2020-01-15,22.1,26.9,18.5,23.8,29.9,19.9,18.2,0.00,0.00,0.00,1,80,21.2,10.4,111,1012.9,1013.9,40482.20,36439.75,0,16.48506,107.571434
2020-01-16,22.4,27.1,17.5,25.1,31.3,19.2,19.7,0.00,0.00,0.00,3,85,18.4,8.6,106,1013.3,1014.2,40511.37,36510.14,1,16.48506,107.571434
2020-01-17,23.1,26.8,19.7,25.9,29.5,22.8,20.0,0.00,0.00,0.00,28,84,19.2,9.0,99,1015.6,1016.5,40541.78,36216.16,3,16.48506,107.571434
2020-01-18,22.4,26.9,18.0,24.2,29.3,19.9,18.8,0.00,0.00,0.00,10,81,23.5,11.6,108,1014.9,1015.8,40573.36,36434.19,2,16.48506,107.571434
2020-01-19,22.2,26.5,18.0,23.6,27.7,19.5,18.4,0.00,0.00,0.00,9,80,25.0,12.4,111,1015.8,1016.7,40606.06,36356.05,1,16.48506,107.571434
2020-01-20,21.8,25.4,17.6,22.9,26.3,19.0,17.9,0.20,0.20,0.00,42,79,25.0,12.7,114,1017.0,1017.9,40639.83,36063.16,51,16.48506,107.571434
2020-01-21,22.3,26.6,18.1,23.4,28.1,19.6,17.8,0.00,0.00,0.00,26,76,26.2,13.0,110,1017.1,1018.0,40674.61,36432.44,3,16.48506,107.571434
2020-01-22,22.6,27.5,18.5,25.0,31.4,20.2,19.1,0.00,0.00,0.00,43,81,18.8,8.5,107,1014.9,1015.9,40710.34,36514.93,3,16.48506,107.571434
2020-01-23,23.3,28.3,18.8,26.8,33.6,21.4,20.6,0.00,0.00,0.00,52,86,15.5,6.6,105,1012.5,1013.5,40746.99,36351.96,3,16.48506,107.571434
2020-01-24,24.4,29.8,20.2,27.5,33.5,23.4,21.4,0.00,0.00,0.00,84,84,23.0,11.5,103,1011.7,1012.7,40784.48,36036.09,3,16.48506,107.571434
2020-01-25,24.3,29.1,20.4,27.3,33.1,23.5,21.0,0.00,0.00,0.00,93,83,22.8,10.9,104,1009.7,1010.6,40822.77,36030.21,3,16.48506,107.571434
2020-01-26,20.2,21.8,18.2,21.0,25.9,18.8,18.5,10.30,10.30,0.00,99,90,32.1,16.3,309,1013.5,1014.4,40861.81,0.00,61,16.48506,107.571434
2020-01-27,19.4,21.7,17.8,20.6,22.5,18.9,17.3,5.80,5.80,0.00,99,88,19.6,9.5,292,1013.1,1014.0,40901.55,14370.65,61,16.48506,107.571434
2020-01-28,19.4,21.5,17.7,21.0,23.6,18.4,18.1,12.60,12.60,0.00,100,92,19.2,9.5,293,1014.3,1015.2,40941.94,5388.53,61,16.48506,107.571434
2020-01-29,19.6,21.1,18.5,20.9,22.4,19.2,18.2,27.50,27.50,0.00,100,92,22.6,11.6,357,1017.0,1018.0,40982.91,0.00,63,16.48506,107.571434
2020-01-30,18.2,19.6,16.7,19.2,20.7,17.1,16.8,17.00,17.00,0.00,97,92,19.1,9.4,312,1018.4,1019.4,41024.44,483.36,63,16.48506,107.571434
2020-01-31,19.4,23.0,15.0,19.6,23.0,15.7,15.8,0.20,0.20,0.00,56,81,23.4,11.8,118,1017.4,1018.3,41066.47,31259.71,51,16.48506,107.571434
2020-02-01,20.3,24.2,16.0,20.6,24.3,16.7,16.3,0.10,0.10,0.00,51,78,27.3,13.8,112,1016.4,1017.3,41108.95,36833.00,51,16.48506,107.571434
2020-02-02,20.8,25.4,16.4,21.9,28.1,17.1,17.3,0.00,0.00,0.00,4,81,24.5,12.4,114,1016.6,1017.5,41151.83,37200.79,1,16.48506,107.571434
2020-02-03,21.5,26.3,17.4,23.0,29.2,18.3,18.6,0.00,0.00,0.00,16,84,26.4,13.4,111,1015.1,1016.0,41195.08,37390.51,2,16.48506,107.571434
2020-02-04,21.8,26.2,17.6,23.6,29.3,18.9,18.9,0.00,0.00,0.00,31,84,24.8,12.4,104,1014.6,1015.5,41239.09,37376.23,3,16.48506,107.571434
2020-02-05,21.6,25.5,18.2,23.3,28.3,20.3,18.3,0.10,0.10,0.00,28,82,22.0,10.7,112,1014.9,1015.8,41283.98,30502.55,51,16.48506,107.571434
2020-02-06,21.9,27.1,17.8,23.6,30.0,18.9,18.4,0.00,0.00,0.00,40,81,22.1,11.3,113,1013.9,1014.8,41329.72,37597.09,3,16.48506,107.571434
2020-02-07,21.3,25.8,16.7,23.6,29.3,18.3,18.6,0.00,0.00,0.00,51,85,18.4,8.2,99,1016.0,1016.9,41376.23,36879.75,3,16.48506,107.571434
2020-02-08,22.2,24.9,19.6,24.0,26.2,22.0,19.3,1.20,1.20,0.00,50,84,25.2,12.6,101,1018.4,1019.3,41423.48,36041.73,51,16.48506,107.571434
2020-02-09,22.0,24.3,20.6,22.7,24.2,22.0,18.6,4.00,4.00,0.00,56,81,33.4,17.2,93,1019.9,1020.8,41471.40,36494.65,53,16.48506,107.571434
2020-02-10,21.3,23.1,20.0,22.4,23.4,21.0,18.5,3.30,3.30,0.00,85,84,27.5,14.3,104,1018.2,1019.2,41519.93,9899.34,55,16.48506,107.571434
2020-02-11,22.4,25.8,19.5,25.1,28.7,22.0,20.4,0.80,0.80,0.00,40,89,19.9,9.7,108,1016.0,1016.9,41569.03,30733.35,51,16.48506,107.571434
2020-02-12,23.6,27.2,20.4,27.6,31.9,23.1,21.7,0.00,0.00,0.00,41,90,14.9,6.4,107,1013.5,1014.4,41618.64,36574.48,3,16.48506,107.571434
2020-02-13,25.0,28.9,21.8,30.1,36.0,25.8,23.1,0.10,0.10,0.00,53,90,12.1,4.9,80,1010.3,1011.2,41668.71,37025.56,51,16.48506,107.571434
2020-02-14,25.5,30.6,21.6,30.5,37.2,25.0,23.1,0.00,0.00,0.00,47,87,12.8,5.5,102,1007.9,1008.8,41719.20,37115.30,3,16.48506,107.571434
2020-02-15,26.1,33.5,21.5,30.7,40.1,23.6,22.6,0.00,0.00,0.00,4,83,15.2,6.8,117,1008.5,1009.4,41770.04,38161.05,0,16.48506,107.571434
2020-02-16,22.0,25.0,19.4,23.8,30.0,19.4,20.1,7.00,7.00,0.00,86,90,29.2,15.0,314,1015.7,1016.6,41821.19,2303.00,61,16.48506,107.571434
2020-02-17,19.2,20.7,16.9,20.1,21.1,16.8,17.6,12.90,12.90,0.00,100,91,24.5,12.9,312,1021.5,1022.5,41872.61,0.00,55,16.48506,107.571434
2020-02-18,19.0,20.6,16.8,20.5,22.9,16.6,17.5,13.00,13.00,0.00,100,91,17.1,8.1,231,1020.8,1021.7,41924.23,0.00,61,16.48506,107.571434
2020-02-19,21.3,23.9,19.3,23.0,25.0,21.7,18.7,4.30,4.30,0.00,57,86,21.9,10.9,101,1019.2,1020.2,41976.02,34549.29,53,16.48506,107.571434
2020-02-20,21.2,24.9,17.6,22.8,26.5,19.7,18.3,0.20,0.20,0.00,45,84,23.2,11.3,110,1019.1,1020.1,42027.93,36794.89,51,16.48506,107.571434
2020-02-21,21.2,24.1,18.6,22.8,25.2,20.6,18.5,2.30,2.30,0.00,57,85,22.3,10.9,108,1021.7,1022.7,42079.91,34080.61,53,16.48506,107.571434
2020-02-22,21.3,23.3,19.7,23.3,24.8,22.4,19.1,5.30,5.30,0.00,69,88,20.8,9.3,96,1022.3,1023.3,42131.92,36335.54,53,16.48506,107.571434
2020-02-23,20.7,24.3,18.1,22.7,26.5,19.6,18.4,1.00,1.00,0.00,36,87,18.1,8.5,110,1020.5,1021.5,42183.92,37998.86,51,16.48506,107.571434
2020-02-24,20.4,25.0,15.8,22.1,28.4,16.5,17.6,0.00,0.00,0.00,24,85,18.3,8.8,111,1016.8,1017.7,42236.30,38597.93,3,16.48506,107.571434
2020-02-25,20.6,25.1,15.3,22.7,28.5,15.9,18.1,0.00,0.00,0.00,30,86,18.7,8.7,105,1014.8,1015.7,42289.21,38858.18,2,16.48506,107.571434
2020-02-26,22.3,25.8,17.9,24.9,29.1,19.9,20.2,0.50,0.50,0.00,30,89,21.5,10.3,98,1015.1,1016.0,42342.61,37919.28,51,16.48506,107.571434
2020-02-27,22.6,26.1,18.8,25.1,29.3,21.3,20.3,0.50,0.50,0.00,66,87,24.7,11.6,100,1014.7,1015.6,42396.45,37928.72,53,16.48506,107.571434
2020-02-28,22.7,25.9,19.4,25.3,28.8,21.6,20.4,0.00,0.00,0.00,69,87,24.9,11.9,101,1013.3,1014.2,42450.68,38029.30,3,16.48506,107.571434
2020-02-29,23.1,27.2,18.5,26.6,32.2,21.0,21.1,0.00,0.00,0.00,39,89,16.8,7.8,90,1011.4,1012.4,42505.27,38264.34,3,16.48506,107.571434
2020-03-01,23.9,28.0,20.4,28.3,34.1,23.9,22.1,0.00,0.00,0.00,60,90,15.2,6.5,99,1011.1,1012.1,42560.17,38344.94,3,16.48506,107.571434
2020-03-02,24.0,28.6,20.3,27.3,33.9,23.6,21.9,0.00,0.00,0.00,54,89,27.0,13.3,102,1011.2,1012.2,42615.34,39049.09,3,16.48506,107.571434
2020-03-03,24.3,27.9,21.8,27.0,31.2,24.7,21.8,0.00,0.00,0.00,41,86,31.8,16.1,97,1011.6,1012.5,42670.73,38980.44,2,16.48506,107.571434
2020-03-04,24.5,27.1,22.2,27.4,30.2,25.7,22.1,2.30,2.30,0.00,46,87,29.5,14.8,90,1012.0,1013.0,42726.30,37764.41,53,16.48506,107.571434
2020-03-05,24.0,25.8,22.6,27.1,28.1,26.2,21.6,2.60,2.60,0.00,88,87,21.8,10.6,75,1013.8,1014.8,42782.01,30569.08,51,16.48506,107.571434
2020-03-06,23.0,25.7,20.6,26.4,29.3,23.1,21.1,1.20,1.20,0.00,86,89,16.7,6.9,350,1013.5,1014.4,42837.82,29019.09,51,16.48506,107.571434
2020-03-07,24.4,28.7,20.0,28.9,35.2,23.3,22.3,0.00,0.00,0.00,50,89,15.7,7.0,102,1010.3,1011.2,42893.69,39864.40,3,16.48506,107.571434
2020-03-08,26.4,32.2,21.1,31.6,40.3,24.3,23.5,0.00,0.00,0.00,9,86,14.7,7.2,123,1006.6,1007.6,42949.57,40429.76,3,16.48506,107.571434
2020-03-09,27.8,36.5,22.3,32.0,41.8,24.3,22.0,0.00,0.00,0.00,6,73,16.0,7.9,170,1004.5,1005.4,43005.44,40357.06,1,16.48506,107.571434
2020-03-10,25.3,29.8,21.4,28.5,35.0,23.9,21.8,1.70,1.70,0.00,38,81,27.0,13.3,307,1008.4,1009.4,43061.23,37735.54,51,16.48506,107.571434
2020-03-11,24.3,27.5,22.2,27.9,31.5,25.0,21.8,1.00,1.00,0.00,77,87,18.0,8.0,309,1012.5,1013.5,43116.93,21839.82,53,16.48506,107.571434
2020-03-12,26.1,30.5,21.7,31.5,37.9,25.9,23.7,0.00,0.00,0.00,23,87,13.9,6.0,101,1010.8,1011.7,43172.47,40022.35,3,16.48506,107.571434
2020-03-13,27.3,32.8,23.0,33.1,40.3,28.0,24.6,0.00,0.00,0.00,40,86,15.3,6.8,96,1010.3,1011.2,43227.83,39042.58,3,16.48506,107.571434
2020-03-14,25.6,27.6,23.8,29.7,31.6,27.3,23.6,2.00,2.00,0.00,86,89,24.8,12.4,31,1012.8,1013.8,43282.97,28767.18,51,16.48506,107.571434
2020-03-15,25.0,27.5,23.3,29.1,31.9,27.6,22.6,4.80,4.80,0.00,88,87,19.2,8.8,68,1014.2,1015.1,43338.26,22649.29,53,16.48506,107.571434
2020-03-16,25.6,29.5,21.9,29.2,34.1,25.8,22.9,0.20,0.20,0.00,50,85,28.2,14.0,99,1013.0,1013.9,43393.83,40430.41,51,16.48506,107.571434
2020-03-17,25.8,29.8,23.1,29.3,34.6,27.0,22.9,0.10,0.10,0.00,61,85,28.3,14.2,100,1012.7,1013.6,43449.65,38117.29,51,16.48506,107.571434
