time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,19.6,20.8,18.4,21.3,23.2,19.5,17.7,4.80,4.80,0.00,89,89,14.5,7.8,54,1021.6,1023.5,39248.01,4097.89,53,20.632689,106.07467
2020-01-02,20.7,24.4,17.7,22.6,26.8,20.0,18.5,0.20,0.20,0.00,74,88,16.2,7.9,114,1020.2,1022.1,39265.79,2582.20,51,20.632689,106.07467
2020-01-03,21.9,25.3,18.9,23.7,27.3,21.5,19.1,0.80,0.80,0.00,90,85,21.4,10.9,121,1018.2,1020.1,39285.14,20381.62,51,20.632689,106.07467
2020-01-04,21.4,24.4,19.2,23.3,26.1,21.6,19.4,1.70,1.70,0.00,72,88,22.5,11.4,119,1016.3,1018.2,39306.01,23775.16,51,20.632689,106.07467
2020-01-05,21.6,25.3,18.4,23.7,26.5,20.7,19.4,1.00,1.00,0.00,63,88,20.6,10.2,131,1015.3,1017.2,39328.38,28036.32,51,20.632689,106.07467
2020-01-06,21.8,25.2,19.8,23.5,25.8,21.7,19.6,1.30,1.30,0.00,54,88,26.9,13.4,149,1014.1,1016.0,39352.20,25827.79,51,20.632689,106.07467
2020-01-07,22.5,26.6,19.3,24.9,28.5,22.1,19.9,0.80,0.80,0.00,44,86,19.5,9.5,145,1013.9,1015.8,39377.45,34952.19,51,20.632689,106.07467
2020-01-08,22.5,27.0,20.0,24.8,28.2,22.7,19.8,1.00,1.00,0.00,77,86,20.9,10.4,138,1014.5,1016.4,39404.07,30801.32,51,20.632689,106.07467
2020-01-09,22.9,27.0,19.7,25.1,28.4,22.7,19.6,0.10,0.10,0.00,58,83,20.5,10.3,164,1012.8,1014.7,39432.06,31599.04,51,20.632689,106.07467
2020-01-10,23.1,27.5,20.1,25.0,27.9,22.6,19.7,0.30,0.30,0.00,46,83,24.6,12.4,174,1011.2,1013.1,39461.36,33489.37,51,20.632689,106.07467
2020-01-11,21.3,27.2,16.3,22.8,28.8,14.7,18.1,3.20,3.20,0.00,77,84,21.8,10.4,98,1011.9,1013.8,39491.93,29389.13,55,20.632689,106.07467
2020-01-12,15.6,18.4,13.5,14.2,18.1,10.7,10.5,0.70,0.70,0.00,95,72,23.3,10.9,0,1015.7,1017.7,39523.75,7200.00,51,20.632689,106.07467
2020-01-13,18.7,21.6,15.8,19.5,22.3,16.1,15.3,0.70,0.70,0.00,98,81,14.9,7.0,88,1013.4,1015.3,39556.78,2829.17,51,20.632689,106.07467
2020-01-14,20.8,23.8,18.6,22.9,25.0,21.3,18.7,1.70,1.70,0.00,66,89,16.6,8.0,172,1012.6,1014.4,39590.98,8759.33,51,20.632689,106.07467
2020-01-15,22.1,25.1,19.4,22.8,24.7,21.0,18.6,0.00,0.00,0.00,50,81,31.6,16.6,166,1011.4,1013.3,39626.72,16513.38,3,20.632689,106.07467
2020-01-16,22.0,25.6,19.3,23.9,27.4,20.7,19.2,2.60,2.60,0.00,64,85,21.7,10.8,124,1013.0,1014.9,39664.11,25551.59,53,20.632689,106.07467
2020-01-17,17.0,18.6,14.5,16.4,18.7,13.0,12.7,1.10,1.10,0.00,98,76,21.3,10.0,3,1017.2,1019.1,39703.07,3788.99,53,20.632689,106.07467
2020-01-18,17.9,20.3,16.1,18.6,22.0,16.5,15.2,1.20,1.20,0.00,100,85,15.2,7.0,16,1015.5,1017.4,39743.53,215.83,51,20.632689,106.07467
2020-01-19,15.6,17.9,14.1,14.7,18.8,12.4,12.6,3.10,3.10,0.00,100,83,23.1,11.7,354,1018.0,1019.9,39785.43,0.00,53,20.632689,106.07467
2020-01-20,16.4,20.0,14.2,16.6,21.5,13.2,13.3,0.30,0.30,0.00,89,82,13.8,6.0,342,1017.7,1019.7,39828.69,785.41,51,20.632689,106.07467
2020-01-21,19.1,24.9,14.2,20.1,25.2,14.9,16.4,0.10,0.10,0.00,47,86,17.9,8.6,165,1016.6,1018.5,39873.23,26695.11,51,20.632689,106.07467
2020-01-22,21.4,26.0,18.5,23.2,26.8,20.2,19.1,0.60,0.60,0.00,53,88,22.7,11.9,163,1013.9,1015.8,39919.00,9149.63,51,20.632689,106.07467
2020-01-23,22.3,26.0,19.9,24.2,27.2,22.1,19.9,0.50,0.50,0.00,66,87,25.4,13.0,154,1012.0,1013.9,39965.92,6175.59,51,20.632689,106.07467
2020-01-24,22.5,25.7,20.4,24.3,26.0,21.6,20.3,7.00,7.00,0.00,87,88,28.9,15.1,138,1011.6,1013.5,40013.93,16034.89,63,20.632689,106.07467
