time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,24.3,27.5,22.1,27.8,30.8,25.7,21.8,3.00,3.00,0.00,63,86,27.4,9.5,4,1016.9,1018.1,41100.23,37078.31,51,12.267136,109.13513
2020-01-02,24.3,27.2,22.1,27.9,30.4,26.2,21.9,7.90,7.90,0.00,64,87,27.8,9.1,6,1017.4,1018.6,41110.32,35192.48,61,12.267136,109.13513
2020-01-03,24.0,27.1,22.0,27.1,29.7,25.1,20.8,1.40,1.40,0.00,79,83,24.7,8.9,1,1016.1,1017.3,41121.29,36000.00,51,12.267136,109.13513
2020-01-04,23.3,26.3,21.1,25.6,27.7,23.2,19.5,0.50,0.50,0.00,79,80,25.3,9.4,351,1014.5,1015.7,41133.12,34787.70,51,12.267136,109.13513
2020-01-05,23.4,27.9,20.1,25.6,30.3,21.7,18.8,0.10,0.10,0.00,75,77,21.6,8.2,327,1014.0,1015.2,41145.81,36000.00,51,12.267136,109.13513
2020-01-06,23.4,27.1,20.8,26.6,30.1,22.7,20.4,3.90,3.90,0.00,85,83,17.8,6.5,317,1014.0,1015.1,41159.33,21600.00,61,12.267136,109.13513
2020-01-07,24.4,28.3,20.9,28.1,31.9,24.2,21.4,0.00,0.00,0.00,88,85,16.9,6.1,353,1013.1,1014.3,41173.65,36000.65,3,12.267136,109.13513
2020-01-08,24.7,28.5,22.1,28.1,32.2,25.5,21.0,0.00,0.00,0.00,82,81,22.6,8.2,1,1013.0,1014.2,41188.77,37201.12,3,12.267136,109.13513
2020-01-09,24.4,28.5,21.8,27.7,32.2,25.0,20.6,0.00,0.00,0.00,50,80,20.5,7.3,355,1012.3,1013.4,41204.64,37311.49,3,12.267136,109.13513
2020-01-10,24.0,28.9,20.4,27.2,33.2,22.3,20.1,0.00,0.00,0.00,34,80,19.4,6.9,331,1011.2,1012.4,41221.28,37916.94,3,12.267136,109.13513
2020-01-11,24.3,29.4,20.0,27.8,33.2,22.3,20.7,0.00,0.00,0.00,94,82,19.5,7.0,345,1010.6,1011.8,41238.64,36602.29,3,12.267136,109.13513
2020-01-12,24.1,28.2,21.2,27.3,30.7,24.5,20.6,0.00,0.00,0.00,89,82,20.5,7.2,353,1011.2,1012.4,41256.70,34265.23,3,12.267136,109.13513
2020-01-13,23.6,28.0,20.8,25.9,30.3,23.0,19.1,0.00,0.00,0.00,27,77,24.8,9.3,347,1011.9,1013.1,41275.46,37259.55,3,12.267136,109.13513
