time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,22.8,28.3,19.1,22.6,26.7,20.1,16.2,0.00,0.00,0.00,60,68,36.8,17.1,68,957.0,1018.8,40647.90,37503.63,3,14.376099,108.0
2020-01-02,22.6,29.6,17.5,23.1,29.7,18.8,16.6,0.00,0.00,0.00,17,71,30.2,14.0,65,957.2,1019.1,40659.86,37481.43,2,14.376099,108.0
2020-01-03,22.1,28.8,17.0,22.4,29.1,18.2,15.5,0.00,0.00,0.00,42,69,26.8,12.0,63,955.9,1017.8,40672.85,37010.77,3,14.376099,108.0
2020-01-04,20.9,27.5,15.8,20.7,27.5,16.1,14.2,0.00,0.00,0.00,82,68,26.3,12.2,66,954.1,1016.1,40686.88,36295.02,3,14.376099,108.0
2020-01-05,20.6,27.2,14.8,20.4,27.2,14.9,14.3,0.00,0.00,0.00,32,70,27.8,12.6,73,953.7,1015.7,40701.91,37554.49,3,14.376099,108.0
2020-01-06,21.6,30.8,12.9,22.3,32.8,12.7,14.9,0.00,0.00,0.00,26,69,20.4,8.4,70,953.6,1015.4,40717.93,37482.39,3,14.376099,108.0
2020-01-07,22.7,30.5,15.5,23.7,32.1,16.6,16.4,0.00,0.00,0.00,28,72,21.8,9.8,74,952.9,1014.4,40734.91,37308.32,3,14.376099,108.0
2020-01-08,22.9,29.0,16.8,23.5,29.1,18.3,16.6,0.00,0.00,0.00,86,70,26.0,11.9,68,953.2,1014.7,40752.81,37027.32,3,14.376099,108.0
2020-01-09,23.1,30.2,17.4,23.7,31.2,18.7,16.2,0.00,0.00,0.00,40,68,26.4,11.9,68,952.0,1013.4,40771.62,37379.92,3,14.376099,108.0
2020-01-10,23.2,31.0,16.5,24.4,34.4,17.7,15.9,0.00,0.00,0.00,9,67,18.1,7.4,74,951.0,1012.3,40791.33,37376.82,2,14.376099,108.0
2020-01-11,23.4,30.2,16.9,25.0,32.8,18.1,16.7,0.90,0.90,0.00,89,69,17.2,6.8,75,950.7,1011.9,40811.89,36682.44,51,14.376099,108.0
2020-01-12,22.1,28.6,16.0,22.3,28.2,17.0,14.5,0.00,0.00,0.00,64,67,24.7,11.3,71,951.2,1012.8,40833.30,37395.33,3,14.376099,108.0
2020-01-13,21.0,27.9,15.2,20.8,27.6,15.7,13.9,0.00,0.00,0.00,20,67,26.2,11.8,64,951.7,1013.5,40855.52,37679.12,2,14.376099,108.0
