time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,16.9,20.0,14.6,17.4,20.9,14.9,12.8,0.30,0.30,0.00,81,77,13.8,2.4,106,911.6,1023.8,38834.50,28800.00,51,22.390158,103.416145
2020-01-02,16.5,21.4,11.5,16.8,22.4,11.3,12.4,0.00,0.00,0.00,42,77,13.1,3.5,26,910.3,1022.6,38854.02,34644.24,3,22.390158,103.416145
2020-01-03,17.8,22.8,12.4,18.3,23.9,11.6,12.6,0.00,0.00,0.00,38,72,11.0,2.5,44,908.3,1019.8,38875.26,35377.36,2,22.390158,103.416145
2020-01-04,17.6,20.9,14.6,17.9,21.0,14.7,13.2,0.10,0.10,0.00,70,76,21.6,4.5,168,906.3,1017.7,38898.18,29730.73,51,22.390158,103.416145
2020-01-05,16.9,20.7,13.9,17.4,21.0,14.0,13.4,1.60,1.60,0.00,68,81,24.4,4.0,168,905.3,1016.8,38922.73,20333.47,53,22.390158,103.416145
2020-01-06,16.8,21.0,13.9,17.4,22.0,14.0,13.6,2.40,2.40,0.00,54,82,27.3,4.2,122,904.7,1016.1,38948.89,33744.07,53,22.390158,103.416145
2020-01-07,16.9,21.4,12.4,17.5,22.2,12.3,13.6,1.30,1.30,0.00,28,82,18.4,3.5,47,905.0,1016.5,38976.60,34555.98,51,22.390158,103.416145
2020-01-08,17.4,21.9,14.0,17.9,22.6,14.0,13.5,1.00,1.00,0.00,34,78,18.8,4.0,67,905.2,1016.5,39005.84,33017.84,51,22.390158,103.416145
2020-01-09,17.9,23.7,13.5,18.2,24.4,13.3,12.6,0.00,0.00,0.00,47,73,15.5,3.2,50,904.0,1015.0,39036.55,35602.84,3,22.390158,103.416145
2020-01-10,18.2,24.3,12.2,18.5,25.2,11.7,12.2,0.10,0.10,0.00,8,69,18.0,3.7,64,902.3,1012.9,39068.71,35599.61,51,22.390158,103.416145
2020-01-11,17.0,22.7,10.9,17.1,23.4,10.1,12.2,3.20,3.20,0.00,24,75,19.4,4.2,347,902.4,1013.5,39102.27,35676.82,53,22.390158,103.416145
2020-01-12,15.5,18.8,13.5,15.4,18.8,12.9,11.7,0.70,0.70,0.00,57,79,18.4,4.1,149,903.4,1015.2,39137.20,29524.65,51,22.390158,103.416145
2020-01-13,15.1,20.6,10.4,14.8,20.9,9.4,10.7,0.00,0.00,0.00,41,76,18.6,4.4,116,902.0,1013.8,39173.45,35511.18,3,22.390158,103.416145
2020-01-14,15.6,20.9,11.1,15.6,21.6,10.9,11.9,0.60,0.60,0.00,54,79,20.7,4.0,108,902.4,1014.0,39210.99,31181.06,53,22.390158,103.416145
2020-01-15,17.1,24.1,11.0,16.8,23.3,10.2,11.0,0.30,0.30,0.00,14,69,23.5,4.7,113,901.9,1012.9,39250.21,36042.41,51,22.390158,103.416145
2020-01-16,17.3,24.0,11.3,16.2,23.8,10.0,7.8,0.00,0.00,0.00,21,57,17.6,4.7,72,903.2,1014.3,39291.24,36238.21,3,22.390158,103.416145
2020-01-17,16.1,22.6,12.2,15.4,22.2,10.4,9.4,0.10,0.10,0.00,30,65,18.6,4.3,95,904.7,1016.5,39333.99,34653.94,51,22.390158,103.416145
2020-01-18,15.9,23.5,10.0,15.3,23.4,8.8,9.6,0.00,0.00,0.00,9,68,18.4,4.3,91,903.8,1015.5,39378.39,36276.00,1,22.390158,103.416145
2020-01-19,16.8,22.1,12.7,16.1,21.3,11.6,10.0,0.00,0.00,0.00,20,65,25.5,5.2,170,905.2,1016.8,39424.37,36198.18,2,22.390158,103.416145
2020-01-20,15.3,19.8,12.3,15.4,20.0,12.3,12.0,0.40,0.40,0.00,90,81,23.0,4.0,134,905.5,1017.7,39471.83,31433.37,51,22.390158,103.416145
2020-01-21,16.2,22.0,11.9,16.3,22.2,11.7,12.4,1.20,1.20,0.00,38,79,25.0,4.4,107,905.8,1017.7,39520.70,34893.83,53,22.390158,103.416145
2020-01-22,18.3,25.0,11.5,18.1,24.4,11.0,11.2,0.00,0.00,0.00,14,67,23.2,4.0,86,904.4,1015.3,39570.91,36564.09,1,22.390158,103.416145
2020-01-23,18.5,25.8,11.1,17.7,25.0,10.1,8.7,0.00,0.00,0.00,1,57,23.8,4.5,51,902.5,1013.1,39622.39,36799.86,0,22.390158,103.416145
2020-01-24,18.8,24.9,13.0,17.5,24.3,11.7,5.9,0.00,0.00,0.00,5,45,21.3,3.4,31,902.3,1012.7,39675.05,36828.98,1,22.390158,103.416145
2020-01-25,15.1,20.8,9.3,13.9,21.0,7.3,7.5,4.70,4.70,0.00,28,62,24.0,4.3,98,901.1,1012.8,39728.82,34432.18,61,22.390158,103.416145
2020-01-26,12.3,18.6,6.8,10.6,17.6,4.7,5.3,0.00,0.00,0.00,11,65,19.8,4.9,174,902.3,1015.3,39783.63,37007.86,1,22.390158,103.416145
2020-01-27,12.2,17.6,7.3,10.5,16.0,5.5,6.3,0.80,0.80,0.00,34,69,25.0,5.3,168,900.7,1013.5,39839.41,36805.26,53,22.390158,103.416145
2020-01-28,11.0,15.0,7.4,9.5,13.2,5.8,6.9,1.40,1.40,0.00,56,77,22.8,4.9,170,902.2,1015.8,39896.09,30175.28,61,22.390158,103.416145
2020-01-29,10.4,15.8,7.7,9.0,14.2,6.2,7.1,0.00,0.00,0.00,60,81,19.6,4.4,199,905.7,1019.9,39953.59,20086.34,3,22.390158,103.416145
2020-01-30,11.2,16.2,6.5,9.4,14.4,4.7,5.8,0.00,0.00,0.00,43,71,21.4,5.0,176,905.9,1019.8,40011.86,36306.30,3,22.390158,103.416145
2020-01-31,11.5,16.6,8.6,10.2,15.3,6.8,7.1,0.30,0.30,0.00,80,75,21.5,4.3,167,904.7,1018.4,40070.80,33311.60,51,22.390158,103.416145
2020-02-01,12.5,16.6,9.5,12.0,16.1,9.0,9.8,3.50,3.50,0.00,71,84,17.6,3.5,152,904.8,1018.1,40130.38,23048.37,53,22.390158,103.416145
2020-02-02,15.5,20.0,11.4,15.2,20.2,10.6,10.3,0.70,0.70,0.00,39,71,19.7,3.2,126,905.4,1017.4,40190.50,37343.41,51,22.390158,103.416145
2020-02-03,16.1,20.1,12.7,16.1,20.1,12.3,11.8,2.50,2.50,0.00,42,76,23.5,3.4,154,904.6,1016.3,40251.14,37118.70,53,22.390158,103.416145
2020-02-04,15.5,18.6,13.3,15.7,18.6,13.9,12.9,3.90,3.90,0.00,79,85,25.8,4.3,185,904.2,1016.1,40312.81,24661.95,61,22.390158,103.416145
2020-02-05,14.4,17.5,12.0,14.4,16.9,12.0,12.2,2.10,2.10,0.00,79,87,29.8,4.8,169,903.3,1015.6,40375.73,22654.65,51,22.390158,103.416145
