time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,16.4,20.8,14.1,13.3,18.3,10.3,12.2,0.00,0.00,0.00,74,77,64.9,27.6,57,857.7,1018.8,41174.89,38090.48,3,11.915642,108.48431
2020-01-02,17.5,21.9,14.7,15.2,20.9,11.9,13.5,0.00,0.00,0.00,50,79,59.5,24.9,58,858.7,1019.4,41184.66,38128.86,3,11.915642,108.48431
2020-01-03,17.4,22.3,14.5,14.9,20.3,11.9,11.2,0.00,0.00,0.00,69,69,52.1,21.9,53,857.6,1018.0,41195.30,37434.33,3,11.915642,108.48431
2020-01-04,17.0,21.8,13.9,14.4,20.6,10.8,10.3,0.00,0.00,0.00,76,66,46.2,19.3,49,855.6,1016.0,41206.78,36920.79,3,11.915642,108.48431
2020-01-05,16.7,22.4,13.1,14.1,20.7,9.5,7.2,0.00,0.00,0.00,56,56,37.5,15.4,57,855.3,1015.8,41219.07,38145.36,3,11.915642,108.48431
2020-01-06,17.4,22.3,13.9,16.6,22.8,12.0,12.4,0.20,0.20,0.00,89,74,31.1,12.3,63,856.3,1016.5,41232.18,38065.88,51,11.915642,108.48431
2020-01-07,17.9,23.1,14.7,17.0,23.0,13.3,14.0,0.00,0.00,0.00,92,79,39.3,16.7,69,855.9,1015.8,41246.07,38119.52,3,11.915642,108.48431
2020-01-08,18.4,22.6,15.8,16.9,22.6,13.3,13.1,0.00,0.00,0.00,89,72,43.6,18.0,62,855.9,1015.5,41260.72,38248.63,3,11.915642,108.48431
2020-01-09,18.8,24.1,15.4,16.9,22.9,13.2,10.7,0.00,0.00,0.00,67,61,41.0,16.8,57,855.2,1014.4,41276.12,38313.69,3,11.915642,108.48431
2020-01-10,18.2,24.2,13.4,17.0,24.5,11.6,9.3,0.00,0.00,0.00,36,58,25.2,9.5,51,854.1,1013.5,41292.24,38158.80,3,11.915642,108.48431
2020-01-11,17.8,24.8,12.2,17.4,25.6,10.1,10.8,3.80,3.80,0.00,95,67,20.1,7.6,31,853.6,1013.2,41309.07,37440.61,61,11.915642,108.48431
2020-01-12,17.2,23.0,13.4,16.1,23.1,11.7,11.1,0.00,0.00,0.00,77,71,26.8,10.9,26,853.6,1013.5,41326.59,35441.98,3,11.915642,108.48431
2020-01-13,16.4,22.7,12.7,14.3,22.9,9.8,7.6,0.00,0.00,0.00,38,57,32.1,12.9,45,853.4,1013.8,41344.78,38536.46,3,11.915642,108.48431
2020-01-14,16.2,23.1,11.8,14.0,23.3,7.5,5.3,0.00,0.00,0.00,20,52,26.3,10.6,54,854.0,1014.6,41363.62,38620.61,3,11.915642,108.48431
2020-01-15,15.8,22.4,9.9,14.7,22.8,7.8,9.7,0.00,0.00,0.00,34,69,24.8,9.7,76,854.5,1015.4,41383.31,38373.79,3,11.915642,108.48431
2020-01-16,17.2,23.3,12.3,17.1,24.3,11.3,11.7,0.00,0.00,0.00,9,72,19.3,7.0,87,855.5,1015.7,41403.91,38202.88,2,11.915642,108.48431
2020-01-17,17.6,24.2,12.8,17.2,24.9,12.4,11.6,0.00,0.00,0.00,41,72,21.9,8.4,58,856.2,1016.4,41425.38,38547.60,3,11.915642,108.48431
2020-01-18,17.5,24.1,12.6,17.3,25.6,11.1,12.1,0.00,0.00,0.00,43,72,23.0,8.8,68,855.5,1015.6,41447.69,38108.90,3,11.915642,108.48431
2020-01-19,17.8,24.3,13.4,16.4,25.4,10.5,9.6,0.00,0.00,0.00,34,60,28.2,11.6,60,856.2,1016.2,41470.79,38375.42,3,11.915642,108.48431
2020-01-20,17.9,23.9,13.9,16.2,24.0,10.8,9.3,0.00,0.00,0.00,10,59,31.9,13.1,68,856.9,1017.0,41494.64,38834.33,2,11.915642,108.48431
2020-01-21,18.2,24.7,13.2,16.9,24.8,11.9,8.6,0.00,0.00,0.00,17,56,25.3,9.5,74,858.2,1018.3,41519.22,38902.57,3,11.915642,108.48431
2020-01-22,18.2,24.4,13.6,16.7,24.2,11.4,8.5,0.00,0.00,0.00,27,55,27.3,10.7,73,857.4,1017.4,41544.47,38931.57,3,11.915642,108.48431
2020-01-23,16.9,23.8,11.8,15.3,23.3,8.7,7.2,0.00,0.00,0.00,10,55,26.2,10.1,73,855.8,1016.3,41570.38,38961.25,2,11.915642,108.48431
2020-01-24,16.8,23.6,11.6,15.4,24.0,7.6,7.8,0.00,0.00,0.00,80,59,26.6,10.4,79,855.9,1016.4,41596.88,38991.58,3,11.915642,108.48431
