time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,19.0,23.7,14.9,19.1,24.7,14.4,14.0,0.00,0.00,0.00,53,74,18.9,8.7,166,993.0,1024.1,38967.97,33054.08,3,21.827766,106.724846
2020-01-02,19.6,23.4,16.3,20.5,24.2,17.2,16.9,0.70,0.70,0.00,81,85,21.5,10.1,183,991.7,1022.6,38986.93,15103.67,51,21.827766,106.724846
2020-01-03,20.1,24.9,16.4,21.1,25.3,17.3,16.8,0.20,0.20,0.00,74,83,20.2,9.5,165,989.9,1020.8,39007.56,20006.72,51,21.827766,106.724846
2020-01-04,19.8,24.4,17.1,20.5,24.9,17.7,16.7,1.60,1.60,0.00,72,83,23.3,11.2,149,988.1,1018.9,39029.81,23973.02,51,21.827766,106.724846
2020-01-05,19.9,25.2,16.4,20.1,24.9,17.2,15.8,0.00,0.00,0.00,50,79,25.8,12.5,153,987.0,1017.8,39053.66,25438.33,3,21.827766,106.724846
2020-01-06,20.7,24.7,18.0,21.0,23.7,18.2,17.2,0.10,0.10,0.00,65,81,32.1,15.6,171,985.8,1016.4,39079.06,26169.99,51,21.827766,106.724846
2020-01-07,20.9,25.7,16.9,22.7,27.9,18.4,17.8,1.40,1.40,0.00,35,84,15.3,6.8,183,986.0,1016.6,39105.98,35517.66,53,21.827766,106.724846
2020-01-08,20.7,26.2,16.3,21.5,25.8,17.9,16.9,0.00,0.00,0.00,73,81,23.7,11.6,164,986.3,1017.0,39134.37,32508.48,3,21.827766,106.724846
2020-01-09,20.6,24.8,17.2,21.7,25.3,18.0,17.6,0.70,0.70,0.00,67,84,23.5,11.3,178,984.7,1015.3,39164.21,18547.02,51,21.827766,106.724846
2020-01-10,21.4,24.8,19.1,22.5,25.0,20.7,18.8,1.00,1.00,0.00,66,86,29.1,14.3,180,983.1,1013.6,39195.44,26349.26,51,21.827766,106.724846
2020-01-11,16.8,23.7,11.7,16.2,25.9,7.3,14.2,4.50,4.50,0.00,92,85,31.9,15.3,46,985.1,1016.1,39228.04,18068.13,63,21.827766,106.724846
2020-01-12,11.8,16.4,9.4,9.3,15.0,6.3,7.8,3.00,3.00,0.00,65,78,27.5,13.1,31,987.1,1018.8,39261.96,14400.00,53,21.827766,106.724846
2020-01-13,15.9,20.2,10.5,16.0,19.9,9.4,13.1,0.80,0.80,0.00,88,84,13.7,6.4,163,984.9,1016.0,39297.16,2474.71,51,21.827766,106.724846
2020-01-14,18.2,20.0,16.5,20.2,22.4,17.7,17.6,16.10,16.10,0.00,96,96,14.3,5.5,100,984.5,1015.4,39333.63,2671.66,61,21.827766,106.724846
2020-01-15,19.8,23.2,18.0,20.1,22.3,18.8,17.7,1.10,1.10,0.00,73,88,34.6,17.4,174,983.3,1014.0,39371.73,8653.92,51,21.827766,106.724846
2020-01-16,16.4,21.4,11.9,15.9,23.2,8.6,14.3,4.70,4.70,0.00,90,88,29.2,14.2,49,986.2,1017.3,39411.57,4530.98,61,21.827766,106.724846
2020-01-17,11.3,13.2,9.3,8.7,11.1,6.2,8.6,3.10,3.10,0.00,100,83,31.0,15.1,31,989.4,1021.2,39453.10,0.00,53,21.827766,106.724846
2020-01-18,12.0,14.8,9.9,10.4,14.1,7.9,10.0,2.80,2.80,0.00,100,88,22.7,11.1,26,987.7,1019.3,39496.23,0.00,51,21.827766,106.724846
2020-01-19,11.5,13.3,9.5,8.8,10.9,6.0,9.0,2.70,2.70,0.00,99,85,33.0,16.7,31,990.2,1022.0,39540.88,2383.03,53,21.827766,106.724846
2020-01-20,13.8,18.5,10.6,13.4,19.8,8.7,11.6,1.20,1.20,0.00,99,87,15.3,6.7,29,989.1,1020.6,39586.99,407.89,51,21.827766,106.724846
2020-01-21,17.7,21.0,14.2,18.5,22.0,14.9,16.5,2.10,2.10,0.00,84,93,20.2,10.1,189,987.9,1019.0,39634.46,4738.11,51,21.827766,106.724846
2020-01-22,20.5,23.7,18.0,21.0,23.9,18.6,18.1,0.40,0.40,0.00,91,87,33.0,16.7,181,985.6,1016.3,39683.23,16082.54,51,21.827766,106.724846
2020-01-23,20.9,24.2,18.8,22.0,25.0,20.0,18.7,1.20,1.20,0.00,72,87,29.8,14.8,173,984.0,1014.5,39733.24,24752.17,51,21.827766,106.724846
2020-01-24,20.0,22.4,18.3,21.5,23.7,19.7,18.6,24.70,24.70,0.00,89,92,25.2,11.4,133,984.0,1014.7,39784.40,8711.00,65,21.827766,106.724846
2020-01-25,11.7,18.5,8.7,8.6,20.5,4.3,10.5,45.30,45.30,0.00,97,92,47.4,23.5,23,985.8,1017.4,39836.64,0.00,63,21.827766,106.724846
2020-01-26,11.0,15.5,7.4,7.0,12.0,2.5,5.2,1.20,1.20,0.00,34,69,40.0,20.0,29,987.4,1019.2,39889.88,36000.00,55,21.827766,106.724846
