time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,18.1,21.2,15.7,20.1,23.1,17.3,17.0,4.30,4.30,0.00,90,93,10.4,3.6,287,1012.5,1023.4,38817.73,27445.08,51,22.460455,104.08291
2020-01-02,18.6,22.6,16.3,20.6,24.4,17.8,17.1,2.20,2.20,0.00,68,91,11.2,3.7,300,1011.0,1021.9,38837.32,27714.51,51,22.460455,104.08291
2020-01-03,19.3,23.0,16.7,21.7,25.4,18.6,18.0,2.30,2.30,0.00,82,92,10.9,3.4,276,1008.9,1019.7,38858.64,28069.98,51,22.460455,104.08291
2020-01-04,20.0,23.3,18.5,22.4,24.8,20.6,18.6,5.70,5.70,0.00,85,92,15.5,5.4,147,1006.5,1017.3,38881.64,25568.45,53,22.460455,104.08291
2020-01-05,19.8,23.6,17.9,22.0,24.8,20.0,18.1,2.10,2.10,0.00,81,90,15.5,5.3,142,1005.2,1016.1,38906.29,20624.48,51,22.460455,104.08291
2020-01-06,19.8,23.9,17.4,21.9,25.3,19.2,18.2,3.20,3.20,0.00,70,91,17.4,6.3,139,1004.1,1015.0,38932.54,28364.69,51,22.460455,104.08291
2020-01-07,19.7,24.4,15.8,22.2,26.8,17.1,18.2,2.50,2.50,0.00,56,92,12.5,4.0,275,1005.1,1016.0,38960.35,33381.52,51,22.460455,104.08291
2020-01-08,20.5,25.1,18.1,23.2,27.5,20.3,18.7,1.30,1.30,0.00,60,90,11.3,3.7,309,1004.8,1015.6,38989.69,25672.09,51,22.460455,104.08291
2020-01-09,19.9,23.9,17.6,22.3,25.8,19.5,18.2,2.80,2.80,0.00,65,90,12.4,4.4,285,1003.6,1014.4,39020.52,29813.04,51,22.460455,104.08291
2020-01-10,19.3,24.2,16.8,21.4,26.0,18.4,17.7,1.00,1.00,0.00,66,91,13.9,4.8,281,1002.0,1012.8,39052.80,31767.08,51,22.460455,104.08291
2020-01-11,20.0,24.2,17.5,21.6,26.7,17.3,17.2,0.90,0.90,0.00,66,85,19.0,6.5,161,1002.9,1013.7,39086.48,33846.01,51,22.460455,104.08291
2020-01-12,15.4,17.3,12.8,15.7,17.4,12.7,13.1,0.60,0.60,0.00,74,87,14.0,4.6,276,1006.7,1017.8,39121.53,12897.21,51,22.460455,104.08291
2020-01-13,14.0,17.6,12.1,14.4,18.2,11.8,13.0,2.80,2.80,0.00,88,94,12.8,4.1,293,1004.6,1015.7,39157.91,28982.60,51,22.460455,104.08291
2020-01-14,14.5,19.2,11.8,15.2,21.0,11.9,13.8,3.70,3.70,0.00,84,96,11.7,3.4,310,1004.1,1015.1,39195.59,20997.02,53,22.460455,104.08291
2020-01-15,17.5,23.4,14.3,19.0,25.2,14.7,16.2,3.70,3.70,0.00,69,93,13.7,4.6,357,1001.7,1012.5,39234.96,29205.79,51,22.460455,104.08291
2020-01-16,20.1,25.0,16.3,21.9,26.5,17.9,17.5,2.10,2.10,0.00,70,86,17.5,6.5,150,1003.7,1014.5,39276.13,33638.83,51,22.460455,104.08291
2020-01-17,17.2,19.4,14.1,17.6,19.9,14.7,14.5,1.40,1.40,0.00,66,84,21.2,7.3,149,1007.6,1018.5,39319.04,31772.53,51,22.460455,104.08291
2020-01-18,13.8,17.6,11.9,14.2,18.1,11.8,12.9,3.90,3.90,0.00,81,95,12.6,3.7,276,1006.7,1017.8,39363.60,25882.09,51,22.460455,104.08291
2020-01-19,14.8,18.3,12.5,15.0,18.0,12.2,13.2,3.60,3.60,0.00,91,91,15.9,5.9,228,1009.0,1020.1,39409.73,7722.07,51,22.460455,104.08291
2020-01-20,12.7,14.7,11.3,12.8,15.0,11.0,12.2,3.80,3.80,0.00,99,97,12.5,4.4,284,1009.2,1020.3,39457.36,3691.79,51,22.460455,104.08291
2020-01-21,13.3,18.5,10.0,13.6,19.7,9.4,12.6,2.40,2.40,0.00,81,96,13.4,3.7,303,1008.1,1019.2,39506.41,24678.40,51,22.460455,104.08291
2020-01-22,16.3,22.2,12.5,17.6,24.3,12.7,15.1,2.50,2.50,0.00,73,93,12.7,3.7,342,1004.9,1015.9,39556.80,35033.69,51,22.460455,104.08291
2020-01-23,18.5,24.3,15.0,20.3,26.5,16.1,17.0,1.80,1.80,0.00,65,92,15.5,5.3,282,1002.6,1013.5,39608.46,32859.70,51,22.460455,104.08291
2020-01-24,19.3,22.1,16.7,21.5,24.6,18.3,18.0,2.00,2.00,0.00,74,93,15.1,5.1,223,1002.2,1013.0,39661.32,34480.07,51,22.460455,104.08291
2020-01-25,16.7,19.1,13.2,17.4,21.8,13.5,14.8,9.10,9.10,0.00,76,89,17.7,6.5,179,1004.2,1015.2,39715.28,18861.26,61,22.460455,104.08291
