time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,19.3,20.4,18.0,20.6,22.6,18.7,17.7,8.80,8.80,0.00,86,91,18.3,10.0,41,1022.5,1023.4,39296.95,464.20,55,20.421791,106.207245
2020-01-02,20.8,24.1,17.8,22.9,26.6,19.2,18.9,0.50,0.50,0.00,67,89,16.9,8.4,84,1021.1,1022.1,39314.52,5793.94,51,20.421791,106.207245
2020-01-03,21.7,24.6,19.1,24.0,27.0,21.9,19.5,1.00,1.00,0.00,87,88,18.4,9.2,103,1019.3,1020.2,39333.64,21304.52,51,20.421791,106.207245
2020-01-04,21.6,24.4,19.6,23.8,26.1,21.9,19.6,1.60,1.60,0.00,72,89,19.7,9.9,114,1017.4,1018.3,39354.27,24103.84,51,20.421791,106.207245
2020-01-05,21.6,25.3,18.5,24.0,27.1,20.7,19.5,2.10,2.10,0.00,56,88,18.1,8.8,127,1016.3,1017.2,39376.38,34236.46,51,20.421791,106.207245
2020-01-06,21.8,25.3,19.5,23.8,26.1,21.8,19.8,0.80,0.80,0.00,48,89,23.2,11.4,143,1015.2,1016.2,39399.93,29981.70,51,20.421791,106.207245
2020-01-07,22.3,26.3,18.9,24.9,28.3,21.1,20.1,0.60,0.60,0.00,43,88,18.3,9.1,134,1014.9,1015.9,39424.89,35746.56,51,20.421791,106.207245
2020-01-08,22.5,27.1,20.0,24.9,28.5,23.0,19.9,1.00,1.00,0.00,62,87,18.9,9.3,129,1015.5,1016.4,39451.21,36000.00,51,20.421791,106.207245
2020-01-09,22.7,26.9,19.3,25.2,28.1,21.7,20.2,0.60,0.60,0.00,51,87,19.8,9.8,161,1013.9,1014.8,39478.87,36000.00,51,20.421791,106.207245
2020-01-10,23.0,27.3,20.5,25.2,28.6,23.3,20.0,0.00,0.00,0.00,43,85,23.3,11.6,172,1012.3,1013.2,39507.83,34030.33,3,20.421791,106.207245
