time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,21.2,22.0,19.4,23.8,25.9,20.1,20.4,82.50,82.50,0.00,98,96,23.3,10.2,5,1021.1,1022.1,39699.48,989.08,65,18.664322,105.7213
2020-01-02,21.7,24.0,19.6,24.5,26.5,22.2,20.2,2.20,2.20,0.00,73,92,16.2,8.0,48,1020.8,1021.8,39715.37,33805.96,51,18.664322,105.7213
2020-01-03,21.8,24.9,18.8,24.6,27.3,21.5,20.1,0.90,0.90,0.00,75,90,17.6,8.1,94,1018.9,1019.8,39732.66,32176.35,51,18.664322,105.7213
2020-01-04,21.9,24.5,19.4,24.6,26.8,21.9,20.0,0.50,0.50,0.00,61,90,16.7,8.1,122,1017.0,1017.9,39751.31,29502.91,51,18.664322,105.7213
2020-01-05,22.0,25.1,19.8,24.6,26.8,22.7,19.8,0.30,0.30,0.00,31,88,17.5,8.4,121,1016.0,1016.9,39771.30,35623.19,51,18.664322,105.7213
2020-01-06,21.6,25.1,17.8,24.3,27.7,20.1,19.9,0.00,0.00,0.00,51,91,17.1,7.7,124,1015.2,1016.1,39792.59,36000.00,3,18.664322,105.7213
2020-01-07,22.4,25.7,19.8,25.7,29.3,22.5,20.9,0.40,0.40,0.00,44,91,15.0,6.9,104,1014.7,1015.6,39815.15,33874.67,51,18.664322,105.7213
2020-01-08,22.4,24.8,19.9,25.6,27.5,22.9,20.8,0.60,0.60,0.00,81,91,15.4,7.3,115,1015.3,1016.3,39838.96,36000.00,51,18.664322,105.7213
2020-01-09,22.5,25.7,19.8,25.5,28.9,22.6,20.6,0.30,0.30,0.00,43,90,16.9,8.1,128,1013.9,1014.8,39863.97,33456.72,51,18.664322,105.7213
2020-01-10,21.9,26.5,18.4,24.3,29.6,20.2,19.5,0.00,0.00,0.00,10,87,18.5,9.1,132,1012.3,1013.3,39890.16,36077.11,2,18.664322,105.7213
2020-01-11,22.0,25.6,18.4,24.7,28.2,20.7,19.9,0.00,0.00,0.00,32,88,16.6,8.0,121,1012.2,1013.1,39917.49,34734.15,3,18.664322,105.7213
2020-01-12,19.5,21.6,18.0,19.8,24.7,18.2,17.1,11.80,11.80,0.00,97,86,30.2,15.5,17,1015.2,1016.2,39945.93,0.00,61,18.664322,105.7213
2020-01-13,20.1,23.1,17.7,21.7,25.1,17.8,17.2,0.00,0.00,0.00,86,83,15.6,7.1,337,1013.9,1014.9,39975.46,20899.62,3,18.664322,105.7213
