time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,19.4,20.4,18.2,20.9,22.7,19.0,18.0,13.10,13.10,0.00,87,92,18.0,9.6,27,1022.7,1023.4,39329.49,0.00,61,20.281195,105.99397
2020-01-02,20.9,24.8,18.1,23.2,27.4,19.9,18.8,0.50,0.50,0.00,82,89,14.6,7.0,83,1021.4,1022.1,39346.93,7820.18,51,20.281195,105.99397
2020-01-03,22.0,25.7,19.7,24.6,28.3,22.6,19.7,2.10,2.10,0.00,89,88,15.6,7.5,118,1019.4,1020.1,39365.90,18072.20,51,20.281195,105.99397
2020-01-04,22.0,25.3,19.4,24.2,26.7,22.0,19.5,1.30,1.30,0.00,75,87,19.5,9.6,131,1017.5,1018.2,39386.37,22679.02,51,20.281195,105.99397
2020-01-05,21.6,25.4,18.6,24.1,27.3,21.0,19.5,1.80,1.80,0.00,36,88,17.3,8.3,145,1016.5,1017.2,39408.31,35080.11,51,20.281195,105.99397
2020-01-06,21.9,25.1,19.8,24.2,25.9,22.3,20.0,1.60,1.60,0.00,70,90,23.2,10.8,161,1015.4,1016.1,39431.68,24879.94,51,20.281195,105.99397
2020-01-07,22.5,26.3,20.0,25.3,28.5,23.0,20.3,1.10,1.10,0.00,60,88,17.4,8.3,146,1015.1,1015.8,39456.43,27983.96,51,20.281195,105.99397
2020-01-08,22.8,26.7,20.5,25.4,28.4,23.7,20.3,2.30,2.30,0.00,72,87,19.8,9.5,143,1015.7,1016.4,39482.55,36000.00,53,20.281195,105.99397
2020-01-09,22.8,26.6,19.8,25.3,28.1,22.6,20.1,0.10,0.10,0.00,47,86,19.9,9.9,171,1014.0,1014.8,39510.00,35432.06,51,20.281195,105.99397
2020-01-10,22.8,27.2,20.3,25.0,28.2,22.8,19.9,0.00,0.00,0.00,34,85,23.5,11.7,175,1012.5,1013.2,39538.73,34535.70,3,20.281195,105.99397
2020-01-11,22.4,26.8,17.5,24.5,28.3,17.0,19.3,3.70,3.70,0.00,66,84,20.8,10.2,142,1012.9,1013.6,39568.72,34226.45,61,20.281195,105.99397
2020-01-12,16.0,18.1,14.3,14.7,17.9,11.3,11.2,0.40,0.40,0.00,99,73,24.3,11.4,360,1016.8,1017.5,39599.93,3600.00,51,20.281195,105.99397
2020-01-13,19.0,21.9,15.7,20.4,24.0,15.7,16.2,1.10,1.10,0.00,95,84,12.4,5.5,38,1014.4,1015.1,39632.32,94.98,51,20.281195,105.99397
2020-01-14,20.9,23.9,18.4,22.8,24.8,21.0,18.9,2.80,2.80,0.00,62,89,18.4,9.3,175,1013.7,1014.4,39665.88,11783.60,53,20.281195,105.99397
2020-01-15,22.2,25.0,20.6,23.3,24.9,21.8,19.2,1.10,1.10,0.00,42,83,31.4,16.1,170,1012.7,1013.4,39700.93,21722.20,51,20.281195,105.99397
2020-01-16,22.6,25.8,20.1,24.6,27.8,21.6,19.7,1.10,1.10,0.00,65,85,22.7,11.5,136,1014.0,1014.7,39737.61,31439.40,51,20.281195,105.99397
2020-01-17,18.4,20.0,15.2,18.5,20.8,14.1,14.8,2.20,2.20,0.00,99,80,21.2,10.1,25,1018.1,1018.8,39775.82,1597.50,53,20.281195,105.99397
2020-01-18,18.5,20.3,17.0,19.4,22.2,17.5,16.2,1.60,1.60,0.00,100,87,16.8,8.2,10,1016.5,1017.2,39815.51,0.00,51,20.281195,105.99397
2020-01-19,16.3,18.9,14.9,15.7,20.2,13.5,13.7,3.20,3.20,0.00,98,85,24.9,12.5,358,1018.9,1019.6,39856.60,432.42,53,20.281195,105.99397
2020-01-20,16.8,20.4,14.6,16.9,21.5,13.7,13.7,0.30,0.30,0.00,86,83,16.3,7.4,345,1018.8,1019.5,39899.04,2018.32,51,20.281195,105.99397
2020-01-21,19.3,24.8,14.9,20.4,25.2,15.7,16.7,0.20,0.20,0.00,40,86,17.7,8.4,165,1017.8,1018.5,39942.73,27590.73,51,20.281195,105.99397
2020-01-22,21.7,25.5,19.3,23.6,26.2,21.2,19.5,0.40,0.40,0.00,59,88,23.4,11.9,171,1015.1,1015.8,39987.62,14360.30,51,20.281195,105.99397
2020-01-23,22.4,25.8,20.0,24.5,27.0,22.5,20.1,0.80,0.80,0.00,63,87,25.1,13.0,158,1013.2,1013.9,40033.65,10309.60,51,20.281195,105.99397
2020-01-24,23.2,25.8,21.3,25.2,26.9,24.0,20.8,1.70,1.70,0.00,78,87,30.3,15.6,142,1012.7,1013.4,40080.74,16213.08,53,20.281195,105.99397
2020-01-25,18.5,22.9,12.6,18.5,26.1,9.0,17.0,50.50,50.50,0.00,100,91,37.1,18.7,25,1012.8,1013.6,40128.83,4554.32,65,20.281195,105.99397
2020-01-26,14.1,17.4,11.7,11.5,15.4,8.2,7.9,0.80,0.80,0.00,75,67,29.6,14.7,3,1017.2,1017.9,40177.85,17316.57,51,20.281195,105.99397
2020-01-27,14.6,17.3,12.8,13.1,16.4,10.1,8.8,0.70,0.70,0.00,80,69,18.8,8.6,27,1016.0,1016.7,40227.75,27519.21,51,20.281195,105.99397
2020-01-28,15.3,17.0,13.6,13.9,15.4,12.2,9.9,0.00,0.00,0.00,96,71,19.4,9.3,38,1017.7,1018.4,40278.44,1955.75,3,20.281195,105.99397
2020-01-29,14.4,17.0,12.1,12.1,14.6,8.9,7.7,0.40,0.40,0.00,68,65,24.9,12.1,1,1021.0,1021.8,40329.88,32555.64,51,20.281195,105.99397
2020-01-30,14.7,19.9,10.5,13.0,19.0,8.6,8.0,0.00,0.00,0.00,4,66,19.8,9.4,37,1020.8,1021.6,40382.00,36596.88,1,20.281195,105.99397
2020-01-31,15.8,21.1,10.3,14.8,20.3,9.1,10.6,0.00,0.00,0.00,34,73,16.4,8.0,65,1019.0,1019.7,40434.74,27180.74,3,20.281195,105.99397
2020-02-01,17.3,19.7,15.3,18.2,21.3,15.4,15.2,1.30,1.30,0.00,88,88,13.2,6.1,358,1017.6,1018.3,40488.04,6328.23,51,20.281195,105.99397
2020-02-02,19.3,23.7,15.6,20.5,24.0,16.9,17.0,0.30,0.30,0.00,53,87,18.1,8.6,159,1017.4,1018.1,40541.84,32662.34,51,20.281195,105.99397
2020-02-03,20.4,23.5,18.3,22.3,24.7,19.9,18.9,5.90,5.90,0.00,84,91,18.4,9.7,126,1016.1,1016.8,40596.10,5961.42,53,20.281195,105.99397
2020-02-04,16.2,18.5,14.5,15.7,19.4,13.7,14.0,6.10,6.10,0.00,100,87,24.6,12.6,4,1017.8,1018.5,40651.29,0.00,61,20.281195,105.99397
2020-02-05,16.6,19.5,14.4,16.8,20.2,13.8,14.8,3.00,3.00,0.00,100,89,18.6,9.1,8,1016.8,1017.5,40707.61,0.00,51,20.281195,105.99397
