time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,26.0,30.0,23.2,27.4,30.6,25.8,19.8,0.00,0.00,0.00,57,69,31.7,17.6,25,1015.1,1016.1,41249.35,38055.32,3,11.564148,108.96429
2020-01-02,26.1,30.5,22.9,27.9,31.6,25.8,19.8,0.20,0.20,0.00,43,69,27.3,14.8,19,1015.5,1016.6,41258.82,37320.49,51,11.564148,108.96429
2020-01-03,25.8,30.6,21.9,27.3,31.3,24.6,18.5,0.00,0.00,0.00,63,65,24.0,12.9,17,1014.2,1015.2,41269.12,38009.08,3,11.564148,108.96429
2020-01-04,25.2,29.4,22.1,26.2,28.9,24.0,17.5,0.00,0.00,0.00,69,63,23.8,12.5,18,1012.7,1013.7,41280.24,37987.02,3,11.564148,108.96429
2020-01-05,25.0,31.2,20.0,25.9,31.7,21.0,16.6,0.00,0.00,0.00,64,62,21.1,11.1,11,1012.5,1013.5,41292.15,37965.75,3,11.564148,108.96429
2020-01-06,25.6,30.9,21.2,27.1,32.4,21.9,18.1,0.30,0.30,0.00,91,64,22.3,11.2,12,1012.4,1013.5,41304.85,32400.00,51,11.564148,108.96429
2020-01-07,26.3,31.7,21.6,28.3,32.9,24.5,19.6,0.00,0.00,0.00,84,68,23.5,12.2,26,1011.7,1012.7,41318.30,37898.48,3,11.564148,108.96429
2020-01-08,26.7,32.0,22.8,28.3,32.7,25.2,18.9,0.00,0.00,0.00,83,64,25.4,13.4,25,1011.4,1012.4,41332.49,37982.41,3,11.564148,108.96429
2020-01-09,26.2,31.7,22.2,27.8,32.5,24.9,18.4,0.00,0.00,0.00,61,64,22.9,11.9,36,1010.6,1011.7,41347.41,38030.86,3,11.564148,108.96429
2020-01-10,25.6,31.9,20.1,27.4,33.3,21.7,18.4,0.00,0.00,0.00,29,67,21.5,10.8,26,1009.9,1010.9,41363.03,38084.29,3,11.564148,108.96429
