time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,20.6,23.8,18.8,22.4,24.9,20.5,17.6,0.50,0.50,0.00,77,83,13.9,6.6,143,1020.3,1023.5,39067.36,12310.32,51,21.405973,105.244896
2020-01-02,21.1,24.5,18.6,22.7,26.1,20.1,18.4,0.30,0.30,0.00,61,85,19.6,9.8,117,1018.6,1021.8,39085.89,16980.49,51,21.405973,105.244896
2020-01-03,22.0,25.5,19.6,23.3,27.2,21.2,18.9,0.00,0.00,0.00,67,83,27.0,13.9,117,1016.5,1019.6,39106.07,23690.67,3,21.405973,105.244896
2020-01-04,21.2,23.9,19.6,22.3,25.0,20.7,19.2,2.00,2.00,0.00,70,89,30.2,15.7,119,1014.6,1017.8,39127.83,8654.48,53,21.405973,105.244896
2020-01-05,21.6,25.9,19.4,22.8,26.9,20.9,19.2,2.40,2.40,0.00,61,87,29.6,15.6,122,1013.3,1016.5,39151.15,21721.18,51,21.405973,105.244896
2020-01-06,22.7,27.9,19.5,23.5,27.9,20.7,18.8,0.00,0.00,0.00,11,80,32.7,16.9,131,1011.8,1014.9,39176.00,35898.34,2,21.405973,105.244896
2020-01-07,22.4,26.2,19.9,25.0,28.8,21.8,20.0,0.60,0.60,0.00,62,87,18.1,8.4,117,1012.4,1015.5,39202.32,27552.02,51,21.405973,105.244896
2020-01-08,23.0,27.9,20.2,24.5,28.0,22.3,19.4,0.00,0.00,0.00,73,82,28.1,14.6,124,1012.6,1015.7,39230.08,29101.67,3,21.405973,105.244896
2020-01-09,22.8,27.4,19.9,24.6,28.9,21.7,19.2,1.00,1.00,0.00,58,81,23.1,11.3,118,1011.0,1014.1,39259.26,30657.66,51,21.405973,105.244896
2020-01-10,22.7,28.1,19.6,24.4,29.3,21.6,19.0,0.80,0.80,0.00,43,81,22.4,11.3,126,1009.2,1012.4,39289.80,21199.99,51,21.405973,105.244896
2020-01-11,20.7,25.5,16.2,22.4,28.0,16.2,18.1,4.70,4.70,0.00,82,86,19.1,8.8,119,1010.7,1013.8,39321.68,13952.95,61,21.405973,105.244896
2020-01-12,16.7,19.5,14.7,16.7,19.7,14.3,12.6,3.40,3.40,0.00,74,77,13.7,5.5,59,1014.5,1017.7,39354.86,18443.52,53,21.405973,105.244896
2020-01-13,17.9,20.8,14.9,18.1,20.9,15.1,14.1,0.00,0.00,0.00,94,79,15.9,7.6,116,1012.1,1015.3,39389.29,599.51,3,21.405973,105.244896
2020-01-14,20.4,24.4,17.4,22.0,25.7,18.7,17.6,1.30,1.30,0.00,69,85,17.1,7.9,97,1011.0,1014.2,39424.95,17471.48,51,21.405973,105.244896
2020-01-15,22.5,28.1,19.0,23.2,28.9,19.8,18.6,0.00,0.00,0.00,28,80,32.3,16.8,124,1008.9,1012.1,39462.21,32237.69,3,21.405973,105.244896
2020-01-16,21.9,25.9,18.5,23.5,28.3,19.9,18.4,3.90,3.90,0.00,85,81,22.4,10.4,117,1011.5,1014.7,39501.19,23637.91,61,21.405973,105.244896
2020-01-17,17.0,18.3,15.9,17.2,19.2,15.6,14.1,5.20,5.20,0.00,99,83,17.1,8.1,169,1016.0,1019.3,39541.80,2271.07,53,21.405973,105.244896
2020-01-18,16.9,19.5,15.2,17.4,20.0,15.5,14.1,1.10,1.10,0.00,100,83,13.9,6.1,136,1014.4,1017.7,39583.99,1040.16,51,21.405973,105.244896
2020-01-19,16.3,16.9,14.9,17.0,18.6,14.5,14.3,7.00,7.00,0.00,100,88,11.3,4.6,209,1017.0,1020.2,39627.66,0.00,53,21.405973,105.244896
2020-01-20,15.8,17.5,14.4,16.4,18.2,14.6,13.4,1.50,1.50,0.00,100,86,9.2,3.2,145,1016.7,1020.0,39672.75,0.00,51,21.405973,105.244896
2020-01-21,18.7,23.4,15.4,20.1,25.5,15.7,16.2,0.10,0.10,0.00,79,86,11.9,5.4,44,1015.1,1018.4,39719.18,27944.27,51,21.405973,105.244896
2020-01-22,21.7,26.8,18.5,23.7,28.0,20.9,18.8,1.10,1.10,0.00,77,85,18.7,9.2,125,1012.0,1015.1,39766.89,21910.45,51,21.405973,105.244896
2020-01-23,22.9,27.0,20.2,24.6,28.8,21.6,19.8,0.50,0.50,0.00,73,84,27.0,13.9,122,1009.9,1013.1,39815.80,22505.31,51,21.405973,105.244896
2020-01-24,21.7,24.0,19.6,23.6,26.0,21.7,20.4,29.70,29.70,0.00,91,92,30.0,14.6,118,1009.8,1013.0,39865.84,18750.21,63,21.405973,105.244896
