time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,22.9,23.9,22.0,24.5,25.2,23.3,21.2,18.20,18.20,0.00,79,90,37.3,19.5,101,1020.3,1021.1,39968.25,29843.48,61,17.469244,106.59266
2020-01-02,22.8,24.6,21.7,25.3,26.7,23.8,20.8,5.50,5.50,0.00,84,89,24.7,12.5,96,1020.5,1021.3,39983.02,32585.38,53,17.469244,106.59266
2020-01-03,22.8,24.5,21.9,25.2,26.1,24.3,20.7,2.70,2.70,0.00,94,88,25.4,13.0,114,1018.8,1019.7,39999.08,35374.97,53,17.469244,106.59266
2020-01-04,22.7,24.6,21.7,25.1,26.3,24.5,20.5,2.80,2.80,0.00,92,88,24.7,12.1,118,1016.9,1017.7,40016.42,33253.00,53,17.469244,106.59266
2020-01-05,22.4,24.8,20.4,24.8,26.9,23.1,20.2,2.40,2.40,0.00,41,88,21.6,10.7,127,1016.0,1016.9,40035.00,34595.24,53,17.469244,106.59266
2020-01-06,22.2,24.6,19.9,25.3,27.8,22.5,20.5,1.40,1.40,0.00,39,90,15.8,7.5,132,1015.3,1016.1,40054.79,36000.00,51,17.469244,106.59266
2020-01-07,23.1,25.5,21.6,26.9,29.5,25.5,21.7,1.60,1.60,0.00,55,92,16.1,7.2,95,1014.6,1015.5,40075.76,33282.10,51,17.469244,106.59266
2020-01-08,23.0,24.8,21.4,26.2,27.4,24.8,21.4,2.90,2.90,0.00,74,91,19.2,9.3,109,1015.3,1016.1,40097.89,35173.18,51,17.469244,106.59266
2020-01-09,22.9,25.0,20.6,25.8,27.9,23.5,20.9,2.40,2.40,0.00,36,89,20.0,9.7,120,1014.1,1014.9,40121.14,34510.87,53,17.469244,106.59266
2020-01-10,22.4,25.3,20.1,25.2,28.6,22.9,20.3,0.10,0.10,0.00,22,88,17.8,8.4,145,1012.6,1013.4,40145.49,36014.09,51,17.469244,106.59266
2020-01-11,22.3,25.1,20.1,25.3,28.5,23.0,20.4,1.00,1.00,0.00,32,89,16.8,8.1,121,1012.2,1013.0,40170.89,33994.79,51,17.469244,106.59266
2020-01-12,21.8,23.2,19.9,23.9,24.9,21.1,20.3,17.70,17.70,0.00,92,91,27.6,13.6,36,1014.0,1014.8,40197.34,24857.61,61,17.469244,106.59266
2020-01-13,21.4,23.8,18.9,23.2,25.5,19.6,19.1,3.00,3.00,0.00,64,87,22.6,10.9,102,1013.6,1014.4,40224.79,25061.92,53,17.469244,106.59266
2020-01-14,22.2,25.0,19.9,23.6,25.7,21.6,18.9,0.00,0.00,0.00,43,82,27.0,13.7,146,1013.8,1014.6,40253.22,36069.03,3,17.469244,106.59266
2020-01-15,22.0,25.3,19.8,23.4,27.1,20.6,18.6,0.00,0.00,0.00,25,81,25.9,13.2,158,1013.2,1014.1,40282.93,36142.46,3,17.469244,106.59266
2020-01-16,22.2,25.6,18.5,24.9,29.6,20.0,20.0,0.00,0.00,0.00,12,88,19.6,9.3,151,1013.6,1014.4,40314.00,36088.09,1,17.469244,106.59266
2020-01-17,22.5,24.7,20.3,25.5,27.2,22.9,20.6,3.00,3.00,0.00,34,89,16.1,8.2,104,1016.0,1016.9,40346.40,36138.14,53,17.469244,106.59266
2020-01-18,22.3,25.2,20.1,25.1,27.7,22.6,20.1,1.50,1.50,0.00,28,87,17.8,8.7,134,1015.3,1016.1,40380.04,36135.34,51,17.469244,106.59266
2020-01-19,22.4,24.6,19.7,24.9,27.4,21.9,19.9,1.20,1.20,0.00,30,86,19.2,9.2,119,1016.2,1017.0,40414.88,36000.00,51,17.469244,106.59266
2020-01-20,22.7,24.4,20.6,24.7,26.0,23.5,19.2,1.70,1.70,0.00,39,81,21.8,10.8,110,1017.4,1018.2,40450.85,36215.73,51,17.469244,106.59266
2020-01-21,22.3,24.6,20.0,24.2,25.8,22.2,19.0,0.20,0.20,0.00,60,82,21.0,10.2,144,1017.5,1018.3,40487.89,31539.18,51,17.469244,106.59266
2020-01-22,22.8,25.3,20.5,25.0,28.1,22.6,19.8,0.00,0.00,0.00,50,83,21.5,10.6,148,1015.3,1016.1,40525.96,36211.04,3,17.469244,106.59266
2020-01-23,23.3,25.8,21.1,26.4,29.8,23.8,21.0,0.00,0.00,0.00,74,87,20.9,10.1,144,1013.1,1013.9,40564.99,36022.51,3,17.469244,106.59266
2020-01-24,24.1,26.5,22.7,27.7,30.3,26.4,22.2,0.00,0.00,0.00,93,89,21.9,10.8,136,1012.2,1013.1,40604.93,35416.73,3,17.469244,106.59266
2020-01-25,24.1,26.7,22.1,27.5,31.1,25.2,21.9,0.40,0.40,0.00,79,88,22.7,10.7,132,1010.4,1011.2,40645.71,36000.00,51,17.469244,106.59266
2020-01-26,17.3,23.2,15.3,15.7,26.8,12.7,14.7,11.80,11.80,0.00,98,85,43.3,21.7,312,1015.0,1015.8,40687.29,8088.18,63,17.469244,106.59266
2020-01-27,17.2,19.3,15.6,16.9,18.7,14.8,15.4,9.30,9.30,0.00,98,89,28.9,14.6,315,1014.0,1014.8,40729.61,16975.09,53,17.469244,106.59266
2020-01-28,17.6,19.7,16.0,17.1,19.2,14.7,15.6,17.30,17.30,0.00,98,88,31.3,16.3,310,1015.2,1016.0,40772.62,4788.12,63,17.469244,106.59266
