time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,23.5,25.2,22.6,25.8,26.8,25.0,21.4,8.00,8.00,0.00,84,88,32.1,15.8,79,1019.5,1020.5,40326.19,25380.48,53,15.852372,108.35694
2020-01-02,23.4,24.8,22.6,25.8,26.9,24.8,21.0,7.30,7.30,0.00,84,87,28.2,14.0,71,1019.7,1020.8,40339.46,20475.78,53,15.852372,108.35694
2020-01-03,23.6,25.4,22.3,26.2,27.8,25.3,20.6,2.20,2.20,0.00,68,83,23.6,11.1,76,1018.4,1019.4,40353.92,32400.00,53,15.852372,108.35694
2020-01-04,22.9,25.1,20.1,25.6,26.8,23.0,19.7,1.40,1.40,0.00,91,83,16.6,7.7,86,1016.7,1017.8,40369.51,32415.20,51,15.852372,108.35694
2020-01-05,22.5,24.8,20.8,25.5,27.7,23.8,20.1,4.40,4.40,0.00,46,87,16.7,7.1,83,1015.9,1016.9,40386.21,32649.12,53,15.852372,108.35694
2020-01-06,22.9,25.9,20.5,26.0,29.8,23.1,20.4,0.30,0.30,0.00,46,86,16.8,7.3,174,1015.2,1016.2,40404.02,35282.31,51,15.852372,108.35694
2020-01-07,23.2,25.8,20.4,26.7,29.8,23.8,21.1,0.40,0.40,0.00,41,88,16.5,7.0,105,1014.2,1015.3,40422.88,36304.03,51,15.852372,108.35694
2020-01-08,23.6,25.8,21.6,27.1,29.4,25.5,21.2,1.20,1.20,0.00,90,87,15.6,6.8,82,1014.9,1015.9,40442.78,29341.10,51,15.852372,108.35694
2020-01-09,23.4,25.1,21.7,26.7,28.0,25.3,20.8,1.30,1.30,0.00,53,86,16.0,6.9,89,1013.8,1014.9,40463.69,35156.46,51,15.852372,108.35694
2020-01-10,22.9,25.3,20.7,26.2,29.3,23.8,20.5,0.10,0.10,0.00,48,87,15.4,6.6,104,1012.4,1013.5,40485.59,33656.77,51,15.852372,108.35694
2020-01-11,23.3,25.3,21.7,26.9,28.2,25.8,21.1,2.60,2.60,0.00,90,88,13.8,5.9,71,1011.8,1012.9,40508.44,25987.06,53,15.852372,108.35694
2020-01-12,22.9,25.3,21.0,26.2,28.7,24.4,20.7,1.60,1.60,0.00,64,88,17.6,7.2,48,1013.0,1014.0,40532.23,34764.59,51,15.852372,108.35694
2020-01-13,22.6,24.7,20.9,25.1,26.6,24.0,20.0,4.30,4.30,0.00,49,85,20.1,9.2,116,1013.5,1014.6,40556.92,31715.21,55,15.852372,108.35694
2020-01-14,22.2,25.2,18.5,24.0,27.1,20.5,18.4,0.00,0.00,0.00,44,80,21.9,10.3,132,1014.3,1015.4,40582.50,34561.04,3,15.852372,108.35694
2020-01-15,22.6,25.4,19.4,24.5,27.8,20.7,18.5,0.00,0.00,0.00,14,78,22.1,10.5,145,1013.6,1014.7,40609.23,36564.09,1,15.852372,108.35694
2020-01-16,22.4,25.5,18.9,25.3,29.2,21.2,20.1,0.60,0.60,0.00,17,87,17.5,7.7,128,1013.7,1014.7,40637.18,36652.33,51,15.852372,108.35694
2020-01-17,23.4,25.7,21.7,26.8,29.8,25.3,20.7,2.70,2.70,0.00,28,85,15.4,6.9,86,1015.6,1016.6,40666.32,36444.18,53,15.852372,108.35694
2020-01-18,22.7,25.5,19.8,25.4,28.9,22.5,19.6,0.00,0.00,0.00,29,84,17.2,8.0,134,1015.3,1016.3,40696.59,36284.88,2,15.852372,108.35694
2020-01-19,22.3,25.0,19.8,24.7,27.1,22.6,19.3,0.50,0.50,0.00,48,84,17.5,8.0,130,1016.2,1017.3,40727.94,36045.90,51,15.852372,108.35694
2020-01-20,21.9,24.5,19.3,23.9,26.0,21.5,18.7,1.20,1.20,0.00,41,83,18.0,8.5,109,1017.3,1018.3,40760.30,33397.88,51,15.852372,108.35694
2020-01-21,22.1,24.8,19.3,24.3,27.0,21.6,18.7,0.00,0.00,0.00,51,81,16.6,7.3,142,1017.6,1018.6,40793.64,33022.25,3,15.852372,108.35694
2020-01-22,22.6,25.6,19.4,25.0,29.0,21.4,19.3,0.00,0.00,0.00,45,82,19.9,9.3,137,1015.5,1016.6,40827.89,36527.04,3,15.852372,108.35694
2020-01-23,23.3,26.6,19.6,25.7,29.9,21.9,20.6,0.00,0.00,0.00,58,85,28.3,13.9,134,1013.4,1014.4,40863.02,36862.85,3,15.852372,108.35694
2020-01-24,23.5,26.9,20.4,26.2,30.4,23.4,21.2,0.00,0.00,0.00,85,87,30.1,14.4,134,1012.9,1014.0,40898.96,36169.24,3,15.852372,108.35694
2020-01-25,23.9,26.7,21.0,26.5,30.1,23.7,21.2,0.00,0.00,0.00,95,86,29.2,14.0,134,1010.7,1011.7,40935.66,36155.60,3,15.852372,108.35694
2020-01-26,22.5,24.8,20.7,23.1,26.7,20.3,19.1,1.10,1.10,0.00,98,82,41.8,20.5,326,1012.0,1013.0,40973.09,32400.00,53,15.852372,108.35694
2020-01-27,21.7,23.9,19.2,22.6,25.5,20.8,17.5,0.10,0.10,0.00,94,77,26.3,12.5,327,1012.0,1013.1,41011.18,29992.06,51,15.852372,108.35694
2020-01-28,21.4,22.5,20.5,23.1,23.9,21.8,18.8,6.40,6.40,0.00,100,85,21.7,10.3,348,1013.5,1014.5,41049.90,2148.27,61,15.852372,108.35694
2020-01-29,20.7,21.3,19.5,21.9,23.6,20.2,19.1,38.10,38.10,0.00,100,90,29.5,15.2,22,1016.0,1017.1,41089.18,0.00,63,15.852372,108.35694
2020-01-30,19.5,20.4,18.9,19.8,20.8,18.7,17.3,13.70,13.70,0.00,98,87,30.5,15.4,347,1017.5,1018.6,41128.99,4232.69,61,15.852372,108.35694
2020-01-31,20.2,22.4,17.4,21.3,23.3,18.9,16.5,0.00,0.00,0.00,79,80,17.4,7.9,84,1017.4,1018.5,41169.28,24707.06,3,15.852372,108.35694
2020-02-01,21.2,24.0,19.2,22.3,24.3,20.8,16.6,0.20,0.20,0.00,68,76,19.8,9.4,132,1016.9,1018.0,41210.00,23288.54,51,15.852372,108.35694
