time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,23.5,26.0,22.1,27.0,28.9,25.7,21.6,8.40,8.40,0.00,80,90,19.6,7.9,40,1018.6,1020.2,40479.95,29207.53,61,15.1493845,108.77455
2020-01-02,23.0,25.2,21.4,26.6,28.1,25.0,21.3,6.20,6.20,0.00,90,90,14.8,6.6,28,1019.0,1020.5,40492.60,19649.75,53,15.1493845,108.77455
2020-01-03,23.1,26.2,21.2,26.1,28.4,24.2,20.5,4.60,4.60,0.00,79,86,17.9,8.1,353,1017.7,1019.2,40506.36,35254.96,53,15.1493845,108.77455
2020-01-04,22.8,26.3,20.7,25.5,28.6,23.6,19.5,1.90,1.90,0.00,87,83,16.3,7.1,359,1016.0,1017.5,40521.20,32937.12,53,15.1493845,108.77455
2020-01-05,22.2,26.5,19.7,24.6,29.4,22.1,19.1,2.80,2.80,0.00,52,83,16.8,7.7,342,1015.2,1016.7,40537.10,36000.00,53,15.1493845,108.77455
2020-01-06,22.6,26.9,18.2,25.3,30.6,19.6,19.5,0.40,0.40,0.00,49,84,15.0,6.6,290,1014.6,1016.2,40554.05,36812.88,51,15.1493845,108.77455
2020-01-07,23.3,26.7,20.4,26.8,29.9,23.5,20.8,1.70,1.70,0.00,59,87,12.9,5.5,8,1013.6,1015.2,40572.01,36499.73,53,15.1493845,108.77455
2020-01-08,23.3,26.9,21.3,26.9,31.4,24.7,21.2,3.90,3.90,0.00,88,89,16.0,6.4,331,1014.2,1015.7,40590.96,27033.43,53,15.1493845,108.77455
2020-01-09,23.1,25.9,20.9,26.3,29.0,23.8,20.7,1.50,1.50,0.00,72,87,14.9,6.7,338,1013.2,1014.7,40610.87,36600.13,51,15.1493845,108.77455
2020-01-10,22.8,26.0,19.2,25.9,29.1,21.8,20.2,0.60,0.60,0.00,63,86,13.7,6.0,317,1011.8,1013.3,40631.71,34602.88,51,15.1493845,108.77455
2020-01-11,23.4,26.0,21.7,26.9,29.3,25.3,20.8,1.60,1.60,0.00,99,86,12.6,5.6,354,1011.2,1012.7,40653.47,16010.99,51,15.1493845,108.77455
2020-01-12,22.9,26.8,19.9,25.8,29.8,22.8,20.0,0.40,0.40,0.00,71,85,15.7,6.9,341,1012.2,1013.8,40676.12,36495.58,51,15.1493845,108.77455
2020-01-13,22.1,25.7,19.2,25.0,28.5,21.8,19.6,2.20,2.20,0.00,51,86,15.4,6.2,188,1013.0,1014.5,40699.63,36494.70,51,15.1493845,108.77455
2020-01-14,22.0,25.7,18.7,24.2,28.2,20.7,18.5,0.20,0.20,0.00,66,82,14.7,6.6,142,1013.9,1015.4,40723.98,34964.80,51,15.1493845,108.77455
2020-01-15,21.9,26.2,18.3,24.2,28.8,20.1,18.4,0.00,0.00,0.00,29,82,15.7,7.0,170,1013.2,1014.8,40749.43,36870.11,3,15.1493845,108.77455
2020-01-16,22.4,26.8,18.7,25.5,30.5,20.7,19.9,1.10,1.10,0.00,44,87,13.6,5.8,157,1013.2,1014.7,40776.05,36805.04,51,15.1493845,108.77455
2020-01-17,22.8,27.2,20.4,26.0,30.2,23.3,20.3,1.40,1.40,0.00,53,87,14.8,6.5,338,1015.0,1016.5,40803.80,36405.63,51,15.1493845,108.77455
2020-01-18,22.4,26.7,19.3,25.1,29.8,21.9,19.2,0.70,0.70,0.00,45,83,14.9,6.3,146,1014.8,1016.3,40832.62,36990.41,51,15.1493845,108.77455
2020-01-19,21.9,25.2,19.2,24.3,27.4,21.5,18.8,2.70,2.70,0.00,78,84,12.9,5.6,270,1015.8,1017.3,40862.47,22350.53,53,15.1493845,108.77455
2020-01-20,21.5,25.6,18.5,23.4,27.5,20.4,18.1,0.70,0.70,0.00,57,82,16.4,7.5,339,1016.7,1018.3,40893.29,36194.93,51,15.1493845,108.77455
2020-01-21,21.6,25.5,18.3,23.8,27.7,20.0,18.2,0.30,0.30,0.00,42,82,13.3,5.6,209,1017.1,1018.6,40925.04,33094.91,51,15.1493845,108.77455
