time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,19.7,21.6,17.7,19.5,21.5,17.2,15.7,1.80,1.80,0.00,85,78,28.5,14.3,65,1018.2,1023.6,39166.14,11449.72,51,20.984182,107.06896
2020-01-02,20.5,23.6,18.6,21.7,24.4,19.7,18.0,0.00,0.00,0.00,58,86,24.4,11.7,88,1017.1,1022.5,39184.26,25842.83,3,20.984182,107.06896
2020-01-03,20.8,24.0,18.6,21.7,24.8,19.4,18.0,0.10,0.10,0.00,67,85,27.8,13.6,89,1015.4,1020.7,39203.98,30019.83,51,20.984182,107.06896
2020-01-04,20.5,23.2,18.8,21.4,23.5,19.9,17.8,0.80,0.80,0.00,72,85,26.9,13.1,82,1013.6,1018.9,39225.26,18221.82,51,20.984182,107.06896
2020-01-05,20.9,23.7,18.9,21.6,23.5,19.9,17.6,0.00,0.00,0.00,43,82,28.4,13.7,88,1012.6,1017.9,39248.05,36000.00,3,20.984182,107.06896
2020-01-06,21.3,24.2,19.4,22.9,25.2,21.0,19.0,1.20,1.20,0.00,50,87,26.5,12.3,109,1011.5,1016.7,39272.34,36000.00,51,20.984182,107.06896
2020-01-07,21.3,25.7,18.5,23.6,28.5,20.4,18.7,0.00,0.00,0.00,21,86,16.4,6.8,95,1011.1,1016.4,39298.07,36000.00,3,20.984182,107.06896
2020-01-08,21.2,25.3,18.1,23.1,27.1,20.1,18.6,0.00,0.00,0.00,45,86,20.4,9.4,92,1011.6,1016.9,39325.22,36000.00,3,20.984182,107.06896
2020-01-09,21.7,24.9,19.5,23.9,27.0,21.0,19.3,0.80,0.80,0.00,65,86,20.1,9.2,100,1010.0,1015.3,39353.75,24846.44,51,20.984182,107.06896
2020-01-10,21.5,24.0,19.2,24.2,26.0,21.7,20.2,3.50,3.50,0.00,63,93,17.9,8.5,114,1008.5,1013.8,39383.61,13889.61,53,20.984182,107.06896
