time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,22.9,24.5,21.9,24.5,25.6,23.4,21.2,9.70,9.70,0.00,83,90,39.4,20.1,96,1018.4,1020.6,40109.05,28505.61,61,16.836554,107.13876
2020-01-02,23.0,24.6,21.6,25.0,26.2,23.6,20.5,3.80,3.80,0.00,80,86,28.3,14.4,97,1018.7,1021.0,40123.23,33620.83,53,16.836554,107.13876
2020-01-03,23.1,25.0,21.9,25.1,26.0,24.5,20.5,2.30,2.30,0.00,96,86,28.2,14.3,100,1017.1,1019.4,40138.66,25331.43,51,16.836554,107.13876
2020-01-04,22.6,25.3,20.2,24.4,25.9,22.3,19.7,1.00,1.00,0.00,77,84,26.8,13.7,107,1015.2,1017.5,40155.32,35492.96,51,16.836554,107.13876
2020-01-05,22.7,25.3,20.6,24.4,26.6,22.3,19.6,0.40,0.40,0.00,46,83,25.9,13.3,110,1014.5,1016.7,40173.16,36000.00,51,16.836554,107.13876
2020-01-06,22.3,25.5,18.5,24.9,28.4,20.3,19.8,0.00,0.00,0.00,23,86,17.7,8.3,106,1013.7,1016.0,40192.16,36000.00,2,16.836554,107.13876
2020-01-07,22.7,26.1,18.8,25.6,28.9,21.5,20.7,0.30,0.30,0.00,65,89,19.7,9.1,88,1013.0,1015.2,40212.30,34276.58,51,16.836554,107.13876
2020-01-08,23.6,25.8,21.6,26.3,28.1,25.3,21.1,1.20,1.20,0.00,81,86,23.4,11.7,99,1013.5,1015.7,40233.56,36000.00,51,16.836554,107.13876
2020-01-09,23.5,25.9,20.7,25.9,28.0,23.6,20.6,1.20,1.20,0.00,53,84,24.6,12.2,104,1012.4,1014.6,40255.89,36000.00,51,16.836554,107.13876
2020-01-10,22.4,25.9,18.6,24.9,27.8,21.1,19.9,0.20,0.20,0.00,30,86,18.8,9.4,110,1011.0,1013.2,40279.27,36073.68,51,16.836554,107.13876
2020-01-11,22.7,25.9,20.4,25.5,28.2,23.1,20.5,1.00,1.00,0.00,66,88,17.4,9.0,101,1010.6,1012.8,40303.67,30887.12,51,16.836554,107.13876
2020-01-12,22.5,24.9,20.3,25.4,27.5,23.0,20.5,3.70,3.70,0.00,63,89,16.8,8.1,67,1012.0,1014.2,40329.07,35781.88,53,16.836554,107.13876
2020-01-13,22.6,25.2,20.7,24.4,26.0,23.1,19.9,2.20,2.20,0.00,34,85,27.4,14.0,105,1011.8,1014.0,40355.43,36006.88,53,16.836554,107.13876
2020-01-14,22.1,25.9,18.4,23.1,26.9,19.9,18.1,0.00,0.00,0.00,12,79,28.3,14.4,117,1012.3,1014.5,40382.73,36219.64,3,16.836554,107.13876
2020-01-15,22.0,26.0,18.4,23.6,28.1,19.9,18.2,0.00,0.00,0.00,4,80,21.6,10.5,120,1011.7,1014.0,40411.27,36287.90,1,16.836554,107.13876
2020-01-16,21.6,26.6,16.2,24.2,30.6,17.4,19.4,0.00,0.00,0.00,26,88,17.3,8.0,121,1012.1,1014.3,40441.12,36217.79,3,16.836554,107.13876
2020-01-17,22.9,26.4,20.6,25.6,28.3,23.4,20.3,0.50,0.50,0.00,39,86,18.2,9.3,103,1014.3,1016.6,40472.23,36218.19,51,16.836554,107.13876
2020-01-18,22.5,26.0,19.3,24.7,28.2,21.5,19.3,0.00,0.00,0.00,13,83,20.3,10.1,103,1013.7,1015.9,40504.55,36293.43,1,16.836554,107.13876
2020-01-19,22.3,26.4,17.4,23.7,28.3,18.4,18.6,0.00,0.00,0.00,4,80,25.0,12.9,107,1014.4,1016.7,40538.01,36374.47,1,16.836554,107.13876
2020-01-20,22.3,25.0,19.1,23.4,25.3,20.7,18.3,0.40,0.40,0.00,42,79,27.1,13.8,106,1015.6,1017.9,40572.56,36000.00,51,16.836554,107.13876
2020-01-21,22.4,25.8,18.4,23.7,26.8,19.6,18.3,0.00,0.00,0.00,37,78,24.6,12.2,107,1015.8,1018.1,40608.14,36000.00,3,16.836554,107.13876
2020-01-22,22.3,26.2,17.8,24.6,28.8,19.7,19.2,0.00,0.00,0.00,47,83,19.1,8.9,107,1013.8,1016.1,40644.71,36074.11,3,16.836554,107.13876
2020-01-23,22.7,26.7,18.7,26.0,31.5,21.3,20.6,0.00,0.00,0.00,59,89,16.2,7.2,102,1011.4,1013.6,40682.20,34457.20,3,16.836554,107.13876
2020-01-24,24.3,28.7,20.9,27.8,33.4,24.2,21.8,0.00,0.00,0.00,87,87,20.0,9.7,112,1010.6,1012.8,40720.57,36000.00,3,16.836554,107.13876
2020-01-25,24.0,28.2,20.1,27.4,33.1,23.3,21.4,0.00,0.00,0.00,91,86,21.5,9.8,111,1008.6,1010.8,40759.75,36000.00,3,16.836554,107.13876
