time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,18.9,23.0,16.6,19.3,23.5,16.3,14.6,0.20,0.20,0.00,63,77,20.7,7.7,143,953.1,1023.2,39083.86,21772.76,51,21.335676,104.0367
2020-01-02,19.6,26.3,14.7,20.2,26.3,15.3,14.4,0.00,0.00,0.00,36,75,15.7,5.4,157,951.9,1021.8,39102.33,34152.55,3,21.335676,104.0367
2020-01-03,20.4,26.1,16.3,21.1,26.7,16.9,15.3,0.00,0.00,0.00,36,75,21.3,7.8,144,949.8,1019.3,39122.43,33829.20,3,21.335676,104.0367
2020-01-04,20.6,24.9,17.5,20.8,24.6,18.3,15.1,0.00,0.00,0.00,39,73,26.1,10.0,141,947.8,1017.2,39144.11,34542.13,3,21.335676,104.0367
2020-01-05,20.7,26.9,17.3,20.7,26.1,17.9,14.3,0.00,0.00,0.00,41,69,26.9,10.3,140,946.7,1015.9,39167.34,31757.53,3,21.335676,104.0367
2020-01-06,21.1,28.3,16.0,21.7,28.7,16.9,14.5,1.10,1.10,0.00,20,69,18.8,6.3,148,945.7,1014.8,39192.09,35636.47,53,21.335676,104.0367
2020-01-07,20.3,26.2,14.4,20.8,26.8,14.6,14.9,0.90,0.90,0.00,23,73,20.8,7.9,145,946.2,1015.5,39218.31,35619.22,53,21.335676,104.0367
2020-01-08,21.7,27.8,17.3,22.3,28.6,18.3,14.7,0.30,0.30,0.00,50,67,21.0,7.2,140,946.5,1015.5,39245.98,35018.20,51,21.335676,104.0367
2020-01-09,21.9,29.7,16.9,22.5,30.0,18.1,14.5,0.00,0.00,0.00,32,66,20.7,7.0,151,945.2,1014.0,39275.05,35733.95,3,21.335676,104.0367
2020-01-10,22.2,30.4,15.0,22.6,30.8,15.7,13.9,0.40,0.40,0.00,6,65,20.7,6.9,156,943.3,1011.9,39305.48,35800.49,51,21.335676,104.0367
2020-01-11,21.0,27.5,16.4,21.5,28.8,15.4,15.5,1.20,1.20,0.00,24,73,26.8,10.2,148,943.6,1012.5,39337.23,35716.54,51,21.335676,104.0367
2020-01-12,16.0,20.4,12.0,14.1,18.6,9.3,10.8,1.10,1.10,0.00,48,72,35.4,14.4,151,945.6,1015.9,39370.29,33968.03,51,21.335676,104.0367
2020-01-13,18.2,25.5,13.5,17.5,25.0,12.4,12.6,1.30,1.30,0.00,66,72,27.4,10.5,139,944.1,1013.7,39404.59,34830.89,51,21.335676,104.0367
2020-01-14,20.5,27.7,16.1,20.6,27.7,15.5,13.9,0.40,0.40,0.00,37,69,23.0,8.4,150,944.2,1013.3,39440.12,35069.51,51,21.335676,104.0367
2020-01-15,21.5,30.1,14.6,21.7,28.3,15.3,12.7,0.00,0.00,0.00,14,62,17.6,5.7,253,943.0,1011.8,39477.24,36132.12,2,21.335676,104.0367
