time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,19.4,20.5,18.0,20.6,22.5,18.5,17.8,7.50,7.50,0.00,84,90,20.2,10.8,49,1022.1,1023.4,39296.95,0.00,55,20.421791,106.29779
2020-01-02,20.9,24.3,18.1,22.9,26.4,19.7,18.9,0.40,0.40,0.00,59,89,18.3,9.1,86,1020.8,1022.1,39314.52,10451.46,51,20.421791,106.29779
2020-01-03,21.6,24.4,18.6,23.7,26.7,20.6,19.3,0.50,0.50,0.00,74,88,19.2,9.6,100,1019.0,1020.3,39333.64,21515.27,51,20.421791,106.29779
2020-01-04,21.5,24.2,19.6,23.7,26.0,21.9,19.5,2.00,2.00,0.00,72,88,20.0,9.9,111,1017.1,1018.4,39354.27,25200.00,51,20.421791,106.29779
2020-01-05,21.6,25.0,19.0,23.9,26.9,21.4,19.5,2.60,2.60,0.00,52,89,18.6,8.8,120,1016.0,1017.3,39376.38,34232.19,53,20.421791,106.29779
2020-01-06,21.8,25.3,19.6,23.8,26.1,21.7,19.6,0.80,0.80,0.00,35,88,22.9,11.0,143,1014.9,1016.2,39399.93,30430.60,51,20.421791,106.29779
2020-01-07,22.3,26.4,18.9,24.8,28.1,21.2,19.9,0.30,0.30,0.00,36,88,18.1,9.0,134,1014.6,1015.9,39424.89,36000.00,51,20.421791,106.29779
2020-01-08,22.3,27.3,19.4,24.6,28.7,21.9,19.6,0.30,0.30,0.00,60,87,18.8,9.3,124,1015.2,1016.5,39451.21,36000.00,51,20.421791,106.29779
2020-01-09,22.6,26.6,19.5,25.0,28.1,22.4,20.1,0.60,0.60,0.00,42,87,20.2,9.9,163,1013.6,1014.9,39478.87,36000.00,51,20.421791,106.29779
2020-01-10,22.9,27.2,20.1,25.2,28.5,23.2,20.1,0.00,0.00,0.00,43,86,23.2,11.4,173,1012.0,1013.3,39507.83,34472.55,3,20.421791,106.29779
2020-01-11,22.3,27.3,18.4,24.2,29.3,17.9,19.1,1.30,1.30,0.00,56,83,22.9,11.0,131,1012.4,1013.7,39538.05,32400.00,51,20.421791,106.29779
2020-01-12,16.5,18.3,14.7,15.4,18.2,12.2,11.4,0.10,0.10,0.00,94,72,22.3,10.1,5,1016.1,1017.4,39569.50,10800.00,51,20.421791,106.29779
2020-01-13,19.1,21.4,16.2,20.0,22.8,16.1,16.3,1.00,1.00,0.00,96,84,18.6,9.4,75,1013.9,1015.2,39602.15,1434.15,51,20.421791,106.29779
2020-01-14,21.6,24.2,19.1,23.2,25.3,21.6,19.1,2.00,2.00,0.00,48,86,23.8,12.3,174,1013.2,1014.5,39635.96,15435.07,53,20.421791,106.29779
2020-01-15,22.6,25.4,20.7,23.1,24.5,21.9,18.6,0.00,0.00,0.00,33,79,34.3,17.8,168,1012.3,1013.6,39671.29,30577.05,3,20.421791,106.29779
2020-01-16,22.2,25.4,19.9,23.9,26.9,19.9,19.3,1.10,1.10,0.00,61,84,24.0,12.3,125,1013.6,1014.9,39708.25,29321.60,51,20.421791,106.29779
2020-01-17,19.0,20.4,17.3,18.8,19.8,16.5,14.7,0.10,0.10,0.00,99,76,24.9,12.3,68,1017.5,1018.8,39746.76,0.00,51,20.421791,106.29779
2020-01-18,19.2,21.4,17.8,19.9,22.1,18.6,16.8,1.70,1.70,0.00,100,86,21.5,11.1,73,1015.8,1017.1,39786.76,129.89,51,20.421791,106.29779
2020-01-19,17.2,18.8,15.1,16.9,19.7,14.2,13.8,1.40,1.40,0.00,97,81,22.6,11.1,13,1018.2,1019.5,39828.18,0.00,51,20.421791,106.29779
2020-01-20,17.7,21.5,15.2,18.0,22.3,14.3,14.3,0.40,0.40,0.00,92,81,17.0,8.0,17,1018.1,1019.4,39870.93,9383.65,51,20.421791,106.29779
2020-01-21,19.6,24.9,15.8,21.0,25.0,17.1,17.2,0.10,0.10,0.00,48,87,17.5,8.1,170,1017.3,1018.6,39914.97,20375.20,51,20.421791,106.29779
2020-01-22,22.1,25.6,19.3,23.7,26.0,21.3,19.5,0.20,0.20,0.00,47,86,25.8,13.2,164,1014.7,1016.0,39960.21,32283.38,51,20.421791,106.29779
2020-01-23,22.4,25.2,20.3,24.4,26.1,23.0,20.1,0.70,0.70,0.00,62,88,25.1,12.8,153,1012.8,1014.1,40006.60,8403.01,51,20.421791,106.29779
2020-01-24,22.6,25.3,20.8,24.7,26.9,22.9,20.7,8.90,8.90,0.00,77,89,28.3,14.5,132,1012.4,1013.7,40054.05,27854.06,63,20.421791,106.29779
2020-01-25,18.1,22.0,11.9,18.1,25.6,8.7,16.8,55.90,55.90,0.00,100,92,35.6,17.3,32,1012.3,1013.6,40102.52,467.85,63,20.421791,106.29779
2020-01-26,13.8,17.0,11.4,11.2,15.1,7.7,7.4,1.10,1.10,0.00,85,67,27.9,13.6,356,1016.5,1017.8,40151.92,5085.70,53,20.421791,106.29779
2020-01-27,14.6,17.6,12.4,13.0,16.7,9.8,8.7,0.90,0.90,0.00,81,68,19.4,8.8,48,1015.4,1016.7,40202.20,27596.94,53,20.421791,106.29779
2020-01-28,15.1,16.8,13.2,13.2,14.7,11.6,9.2,0.00,0.00,0.00,93,69,23.3,11.3,57,1017.2,1018.5,40253.29,7027.10,3,20.421791,106.29779
2020-01-29,14.7,17.3,12.4,12.4,15.3,9.5,7.5,0.20,0.20,0.00,74,62,24.0,11.6,2,1020.3,1021.7,40305.12,28323.39,51,20.421791,106.29779
2020-01-30,14.5,19.6,10.3,12.6,18.2,8.3,7.2,0.00,0.00,0.00,3,64,19.6,9.3,47,1020.3,1021.6,40357.65,36493.64,0,20.421791,106.29779
2020-01-31,15.9,20.8,10.6,14.8,19.7,9.7,11.0,0.00,0.00,0.00,32,74,18.9,9.4,75,1018.4,1019.7,40410.79,28950.77,3,20.421791,106.29779
2020-02-01,17.9,19.8,15.7,19.0,21.7,15.6,16.1,3.60,3.60,0.00,92,90,14.7,7.0,44,1016.9,1018.2,40464.51,9341.45,55,20.421791,106.29779
2020-02-02,19.5,23.6,16.3,20.8,23.9,17.7,17.2,0.70,0.70,0.00,57,87,17.9,8.7,152,1016.9,1018.2,40518.72,29087.06,51,20.421791,106.29779
2020-02-03,20.2,23.3,18.1,21.4,24.2,18.0,18.5,4.30,4.30,0.00,87,90,25.3,13.5,115,1015.7,1017.0,40573.40,1907.10,55,20.421791,106.29779
2020-02-04,16.5,18.4,14.8,16.4,18.5,14.3,14.3,3.30,3.30,0.00,100,87,21.6,10.6,11,1017.1,1018.4,40629.02,0.00,51,20.421791,106.29779
2020-02-05,16.8,18.8,14.6,17.3,20.3,14.4,15.5,3.70,3.70,0.00,100,92,19.1,9.7,28,1016.1,1017.5,40685.76,0.00,51,20.421791,106.29779
2020-02-06,20.8,25.3,17.9,22.8,25.7,20.0,18.6,0.50,0.50,0.00,57,88,17.8,8.4,170,1014.3,1015.6,40743.56,34529.96,51,20.421791,106.29779
2020-02-07,20.5,23.2,18.4,21.9,24.3,19.0,18.9,1.20,1.20,0.00,82,91,24.7,12.8,93,1016.8,1018.1,40802.34,3517.28,51,20.421791,106.29779
2020-02-08,18.8,20.8,17.9,18.7,20.4,17.3,16.4,5.90,5.90,0.00,95,86,30.7,16.1,65,1020.1,1021.4,40862.02,374.41,61,20.421791,106.29779
2020-02-09,15.9,17.6,14.3,15.1,17.0,13.1,12.5,2.10,2.10,0.00,100,80,22.8,11.3,4,1023.2,1024.5,40922.55,0.00,51,20.421791,106.29779
2020-02-10,17.0,19.7,14.5,16.7,19.7,13.5,13.2,0.20,0.20,0.00,93,79,19.9,9.8,57,1019.8,1021.1,40983.86,10800.00,51,20.421791,106.29779
2020-02-11,20.3,23.7,16.9,22.0,24.5,18.7,17.8,1.50,1.50,0.00,82,86,16.1,7.4,156,1016.4,1017.7,41045.86,25663.22,51,20.421791,106.29779
2020-02-12,21.7,24.9,19.9,24.0,26.1,22.5,20.2,2.20,2.20,0.00,82,92,22.8,11.6,148,1013.6,1014.9,41108.51,6140.28,53,20.421791,106.29779
2020-02-13,22.4,24.2,20.7,25.3,26.8,22.8,21.5,8.50,8.50,0.00,98,95,23.5,11.6,137,1009.7,1010.9,41171.73,2161.57,63,20.421791,106.29779
2020-02-14,23.7,26.4,21.4,26.4,28.8,24.1,21.6,0.60,0.60,0.00,65,89,26.9,13.7,172,1006.2,1007.4,41235.46,19108.59,51,20.421791,106.29779
