time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,20.3,24.1,17.6,21.8,25.7,19.0,16.6,0.40,0.40,0.00,65,80,12.9,5.5,185,1019.6,1023.6,39017.74,36000.00,51,21.61687,105.84442
2020-01-02,20.3,23.7,17.6,22.4,26.2,19.4,18.0,0.20,0.20,0.00,81,87,12.1,5.8,149,1018.1,1022.1,39036.49,2881.01,51,21.61687,105.84442
2020-01-03,21.2,24.6,19.1,23.0,26.3,20.8,18.6,1.30,1.30,0.00,82,86,18.9,9.2,144,1016.1,1020.2,39056.89,20308.44,51,21.61687,105.84442
2020-01-04,20.7,23.2,18.9,22.6,24.7,20.4,18.6,2.80,2.80,0.00,79,88,18.3,8.9,140,1014.3,1018.3,39078.90,5305.03,51,21.61687,105.84442
2020-01-05,21.0,24.8,18.3,22.4,25.9,19.9,18.2,1.30,1.30,0.00,92,85,22.2,11.2,142,1013.1,1017.1,39102.48,10156.57,51,21.61687,105.84442
2020-01-06,21.9,25.4,19.8,23.0,26.1,20.9,18.7,1.70,1.70,0.00,72,83,28.6,14.3,151,1011.7,1015.7,39127.60,20498.30,51,21.61687,105.84442
2020-01-07,22.0,25.2,19.6,24.6,28.5,21.7,19.6,1.90,1.90,0.00,69,87,15.6,7.2,137,1011.9,1015.9,39154.22,18368.45,53,21.61687,105.84442
2020-01-08,22.4,26.3,19.5,24.2,27.1,21.6,19.0,1.60,1.60,0.00,84,82,23.0,11.3,149,1012.3,1016.3,39182.30,25362.14,51,21.61687,105.84442
2020-01-09,22.2,26.7,18.5,24.1,28.1,20.7,18.7,1.50,1.50,0.00,79,82,18.6,9.2,148,1010.6,1014.6,39211.80,27004.52,53,21.61687,105.84442
2020-01-10,23.0,27.1,20.0,24.5,27.7,22.2,18.9,0.50,0.50,0.00,63,79,25.5,12.4,162,1008.8,1012.8,39242.70,25227.23,51,21.61687,105.84442
2020-01-11,20.0,26.1,15.6,20.9,28.0,14.1,15.7,4.10,4.10,0.00,84,78,20.4,8.9,95,1010.5,1014.5,39274.93,27300.42,55,21.61687,105.84442
2020-01-12,15.7,19.1,13.5,14.9,18.7,12.2,9.9,2.30,2.30,0.00,68,69,13.8,6.0,340,1013.9,1018.0,39308.47,16787.32,53,21.61687,105.84442
2020-01-13,17.3,20.2,13.8,17.8,21.1,13.5,13.4,0.30,0.30,0.00,98,78,10.9,4.3,126,1011.5,1015.6,39343.29,1587.34,51,21.61687,105.84442
2020-01-14,20.4,23.6,17.6,22.2,25.4,19.4,17.8,1.30,1.30,0.00,92,86,14.9,7.1,148,1010.5,1014.5,39379.36,3142.82,51,21.61687,105.84442
2020-01-15,21.6,25.1,18.8,22.4,25.3,20.0,18.7,1.90,1.90,0.00,62,84,31.7,16.2,153,1009.0,1012.9,39417.04,23064.96,51,21.61687,105.84442
2020-01-16,20.1,24.9,15.2,20.6,27.2,14.5,16.4,3.30,3.30,0.00,89,80,24.7,12.3,95,1011.5,1015.6,39456.45,15050.62,53,21.61687,105.84442
2020-01-17,15.4,17.3,13.9,15.0,16.7,13.3,11.3,2.50,2.50,0.00,100,77,13.2,5.6,34,1015.8,1019.9,39497.52,0.00,53,21.61687,105.84442
2020-01-18,15.8,18.6,13.8,16.2,19.8,13.8,13.1,4.00,4.00,0.00,100,84,9.2,3.9,35,1014.0,1018.0,39540.17,0.00,51,21.61687,105.84442
2020-01-19,14.6,16.4,13.2,14.1,15.8,12.6,10.8,3.30,3.30,0.00,100,78,12.5,5.7,360,1016.7,1020.8,39584.34,125.15,51,21.61687,105.84442
2020-01-20,15.3,17.6,13.6,15.7,18.4,13.4,12.8,2.00,2.00,0.00,100,85,8.8,3.3,294,1016.0,1020.1,39629.93,0.00,51,21.61687,105.84442
2020-01-21,18.8,23.1,14.7,20.1,24.4,15.8,16.6,0.40,0.40,0.00,90,88,15.3,7.2,164,1014.4,1018.5,39676.89,10552.95,51,21.61687,105.84442
2020-01-22,21.3,25.1,18.4,23.0,26.8,20.1,19.1,1.80,1.80,0.00,93,88,22.9,11.7,146,1011.6,1015.6,39725.12,9655.45,51,21.61687,105.84442
2020-01-23,22.2,25.3,20.0,24.1,27.5,22.1,20.0,3.30,3.30,0.00,99,88,26.7,13.7,145,1009.7,1013.6,39774.58,5522.25,51,21.61687,105.84442
2020-01-24,21.1,22.3,20.0,23.4,25.5,22.1,20.2,30.40,30.40,0.00,93,95,23.4,11.2,129,1009.6,1013.5,39825.18,1380.01,65,21.61687,105.84442
2020-01-25,15.3,20.3,12.3,14.8,22.8,10.8,13.1,32.40,32.40,0.00,100,87,22.1,10.6,7,1011.6,1015.7,39876.84,20.72,63,21.61687,105.84442
2020-01-26,14.7,19.5,10.8,13.2,18.8,9.3,8.3,0.00,0.00,0.00,41,67,16.4,7.6,11,1014.2,1018.3,39929.51,36047.18,3,21.61687,105.84442
2020-01-27,13.4,18.0,8.6,11.8,17.1,6.1,6.8,0.00,0.00,0.00,28,65,13.1,6.5,64,1013.2,1017.3,39983.11,36130.32,3,21.61687,105.84442
2020-01-28,13.7,17.2,10.7,12.0,15.7,8.7,6.4,0.10,0.10,0.00,64,62,12.4,5.7,53,1015.1,1019.3,40037.57,36000.00,51,21.61687,105.84442
2020-01-29,13.8,17.2,11.4,12.5,15.9,9.9,8.0,0.00,0.00,0.00,73,69,11.8,5.4,1,1018.3,1022.5,40092.82,20694.79,3,21.61687,105.84442
2020-01-30,14.1,19.7,8.3,13.1,19.4,6.9,8.4,0.00,0.00,0.00,26,71,12.2,5.3,74,1017.6,1021.8,40148.81,36497.27,3,21.61687,105.84442
2020-01-31,14.7,20.2,8.0,13.7,19.4,6.6,9.2,0.00,0.00,0.00,42,71,14.2,6.0,150,1015.9,1020.0,40205.46,28800.00,3,21.61687,105.84442
2020-02-01,15.5,18.1,13.3,16.2,19.7,12.9,13.4,3.60,3.60,0.00,89,87,7.8,3.3,342,1014.8,1018.9,40262.71,0.00,55,21.61687,105.84442
2020-02-02,18.1,21.6,15.9,19.8,24.0,17.2,16.7,4.30,4.30,0.00,95,92,9.5,4.1,181,1014.2,1018.3,40320.49,3632.64,53,21.61687,105.84442
2020-02-03,16.9,19.5,14.3,17.7,21.0,14.2,15.5,27.00,27.00,0.00,94,91,17.2,8.0,58,1013.9,1018.0,40378.76,2518.43,63,21.61687,105.84442
2020-02-04,14.5,15.9,13.3,14.5,16.4,12.9,12.3,9.30,9.30,0.00,100,87,11.5,5.1,349,1015.5,1019.6,40438.04,0.00,61,21.61687,105.84442
