time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,19.5,20.9,18.2,20.9,22.3,18.9,18.4,18.60,18.60,0.00,95,93,22.3,11.7,4,1022.8,1023.2,39442.92,0.00,61,19.789103,105.79262
2020-01-02,20.8,23.8,18.4,23.1,25.9,20.4,19.3,0.40,0.40,0.00,69,92,16.3,8.0,61,1021.7,1022.1,39459.88,11596.42,51,19.789103,105.79262
2020-01-03,21.6,24.6,19.3,24.4,27.3,21.9,19.9,1.00,1.00,0.00,88,90,14.3,6.6,127,1019.8,1020.2,39478.33,12265.14,51,19.789103,105.79262
2020-01-04,22.0,24.9,20.0,24.8,26.9,22.7,20.0,3.40,3.40,0.00,69,89,15.4,7.1,145,1017.8,1018.2,39498.25,34743.01,53,19.789103,105.79262
2020-01-05,21.8,24.9,19.5,24.3,26.1,21.7,19.9,1.40,1.40,0.00,39,90,18.2,8.9,148,1016.9,1017.2,39519.58,34144.18,51,19.789103,105.79262
2020-01-06,21.5,24.6,18.6,23.8,26.4,20.9,19.7,0.00,0.00,0.00,43,90,20.8,9.6,173,1015.9,1016.2,39542.32,32844.46,3,19.789103,105.79262
2020-01-07,22.5,25.9,20.2,25.6,28.5,23.0,20.5,0.60,0.60,0.00,50,90,15.3,7.3,152,1015.5,1015.8,39566.40,30906.08,51,19.789103,105.79262
2020-01-08,22.5,25.9,20.3,25.6,28.3,23.6,20.6,2.60,2.60,0.00,78,90,15.5,7.3,155,1016.1,1016.4,39591.81,32935.55,53,19.789103,105.79262
2020-01-09,22.6,26.1,19.9,25.4,28.4,23.0,20.6,0.30,0.30,0.00,51,89,19.1,9.2,169,1014.5,1014.9,39618.50,34502.77,51,19.789103,105.79262
2020-01-10,22.2,26.5,19.4,24.6,28.0,22.0,19.7,0.00,0.00,0.00,28,87,20.5,9.7,177,1013.0,1013.3,39646.46,36000.00,3,19.789103,105.79262
2020-01-11,22.0,26.0,18.9,24.1,27.9,20.6,19.5,0.30,0.30,0.00,55,87,20.2,9.9,139,1013.1,1013.4,39675.63,36000.00,51,19.789103,105.79262
2020-01-12,16.7,20.1,14.7,15.7,20.3,12.3,12.3,0.60,0.60,0.00,98,75,25.2,11.9,359,1016.9,1017.2,39705.99,2524.24,51,19.789103,105.79262
2020-01-13,19.0,22.4,15.5,20.3,24.4,15.2,16.1,0.30,0.30,0.00,86,84,13.4,5.7,353,1014.7,1015.1,39737.50,6897.01,51,19.789103,105.79262
2020-01-14,21.1,24.1,17.7,23.0,26.2,19.9,19.0,2.70,2.70,0.00,52,88,19.7,9.8,167,1014.1,1014.5,39770.15,19245.07,61,19.789103,105.79262
2020-01-15,22.0,24.9,18.8,23.5,25.3,20.9,19.2,0.20,0.20,0.00,38,85,27.8,13.7,172,1013.3,1013.6,39804.25,36074.02,51,19.789103,105.79262
2020-01-16,22.5,25.2,20.2,25.2,27.1,22.8,20.7,2.30,2.30,0.00,54,90,21.8,10.8,149,1014.2,1014.5,39839.93,33266.01,53,19.789103,105.79262
2020-01-17,19.5,21.0,18.1,20.2,23.0,18.4,17.1,7.10,7.10,0.00,100,86,25.5,13.2,45,1018.0,1018.3,39877.10,0.00,61,19.789103,105.79262
2020-01-18,18.3,19.8,16.9,19.4,21.3,17.4,17.1,4.40,4.40,0.00,82,93,19.2,9.7,339,1016.6,1016.9,39915.71,1679.79,51,19.789103,105.79262
2020-01-19,17.4,18.6,15.6,17.2,20.3,14.9,14.9,3.20,3.20,0.00,100,86,24.9,12.7,355,1018.8,1019.2,39955.70,0.00,53,19.789103,105.79262
2020-01-20,17.1,20.6,15.3,17.4,21.9,14.3,14.2,0.80,0.80,0.00,83,83,15.9,7.4,343,1019.1,1019.4,39996.98,6284.15,51,19.789103,105.79262
2020-01-21,19.5,24.1,14.7,21.0,25.4,15.7,17.4,0.10,0.10,0.00,44,89,17.4,8.0,166,1018.2,1018.5,40039.49,33873.64,51,19.789103,105.79262
2020-01-22,21.6,25.1,18.2,23.6,26.7,20.0,19.5,0.40,0.40,0.00,64,88,22.8,11.3,169,1015.6,1015.9,40083.17,35832.58,51,19.789103,105.79262
2020-01-23,22.3,24.9,20.2,25.0,27.0,23.2,20.8,1.10,1.10,0.00,79,91,21.3,10.7,156,1013.6,1013.9,40127.95,14011.52,51,19.789103,105.79262
2020-01-24,22.9,24.7,21.8,25.3,26.2,23.7,21.3,4.80,4.80,0.00,86,91,28.6,14.9,138,1013.0,1013.4,40173.77,4329.15,63,19.789103,105.79262
2020-01-25,19.7,24.3,13.0,20.4,27.8,10.1,18.3,53.00,53.00,0.00,96,92,34.4,17.1,47,1012.6,1013.0,40220.56,7021.63,65,19.789103,105.79262
2020-01-26,14.3,17.1,12.5,11.9,15.1,9.4,8.3,0.30,0.30,0.00,82,68,27.3,13.4,0,1017.5,1017.8,40268.26,16926.00,51,19.789103,105.79262
2020-01-27,14.8,16.4,12.9,13.5,15.4,10.9,10.1,0.80,0.80,0.00,96,74,19.7,9.5,3,1016.1,1016.5,40316.80,4638.92,51,19.789103,105.79262
2020-01-28,15.3,16.9,14.0,13.6,15.0,12.1,10.2,0.30,0.30,0.00,99,72,24.6,12.5,23,1017.8,1018.2,40366.13,871.07,51,19.789103,105.79262
2020-01-29,14.6,16.9,12.5,12.3,14.5,9.8,8.0,0.00,0.00,0.00,78,65,24.7,12.3,355,1021.2,1021.6,40416.18,21997.73,3,19.789103,105.79262
2020-01-30,14.7,19.8,10.3,13.0,19.2,8.7,8.5,0.00,0.00,0.00,13,68,20.5,10.1,39,1021.2,1021.6,40466.90,36601.26,3,19.789103,105.79262
2020-01-31,16.0,20.8,10.8,15.2,20.4,9.3,11.4,0.00,0.00,0.00,42,75,18.1,8.6,31,1019.3,1019.6,40518.22,36182.14,3,19.789103,105.79262
2020-02-01,18.2,22.5,15.7,19.0,24.3,15.4,15.4,0.90,0.90,0.00,87,84,15.7,7.3,351,1017.8,1018.1,40570.09,12583.64,51,19.789103,105.79262
2020-02-02,19.6,23.4,15.0,21.2,24.3,16.1,17.6,0.70,0.70,0.00,65,89,18.3,8.5,156,1017.7,1018.0,40622.44,34613.25,51,19.789103,105.79262
