time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,20.6,23.5,18.4,22.3,24.6,19.7,16.9,0.20,0.20,0.00,76,80,13.2,5.0,158,1019.4,1023.6,38967.97,11093.18,51,21.827766,105.24641
2020-01-02,20.9,24.0,18.4,23.1,26.5,20.6,18.2,0.20,0.20,0.00,82,85,13.8,5.4,136,1017.9,1022.0,38986.93,10663.70,51,21.827766,105.24641
2020-01-03,22.2,25.9,19.3,24.4,27.7,21.4,18.8,0.50,0.50,0.00,77,82,17.8,7.4,132,1015.6,1019.8,39007.56,34642.28,51,21.827766,105.24641
2020-01-04,21.4,23.9,19.5,23.3,25.7,21.1,18.8,1.80,1.80,0.00,76,86,21.7,9.7,109,1013.8,1017.9,39029.81,17556.79,53,21.827766,105.24641
2020-01-05,21.5,25.4,19.5,23.3,26.7,21.2,18.7,2.00,2.00,0.00,69,85,23.1,10.1,122,1012.5,1016.6,39053.66,24507.93,51,21.827766,105.24641
2020-01-06,22.6,27.2,19.6,24.2,27.8,21.7,18.4,0.00,0.00,0.00,39,79,26.2,10.9,140,1011.0,1015.1,39079.06,35844.95,3,21.827766,105.24641
2020-01-07,22.1,26.1,19.6,25.1,29.9,22.2,20.0,2.00,2.00,0.00,63,88,15.2,5.6,114,1011.7,1015.8,39105.98,22028.09,53,21.827766,105.24641
2020-01-08,22.8,27.2,20.0,25.0,28.5,22.5,19.3,0.10,0.10,0.00,57,82,21.9,9.3,137,1011.8,1015.8,39134.37,35821.42,51,21.827766,105.24641
2020-01-09,22.2,26.0,19.5,24.5,28.8,21.3,18.9,0.60,0.60,0.00,66,83,16.4,6.8,130,1010.3,1014.4,39164.21,30868.35,51,21.827766,105.24641
2020-01-10,22.2,25.8,19.0,24.6,28.1,21.5,19.0,0.60,0.60,0.00,60,83,15.7,6.4,143,1008.5,1012.6,39195.44,11887.44,51,21.827766,105.24641
2020-01-11,20.3,25.9,16.0,21.5,28.4,15.2,16.6,3.20,3.20,0.00,79,80,21.8,8.8,83,1010.0,1014.1,39228.04,15332.21,55,21.827766,105.24641
2020-01-12,16.9,21.0,14.3,16.7,20.4,13.9,11.3,0.00,0.00,0.00,62,70,13.2,4.8,128,1013.6,1017.8,39261.96,19116.91,3,21.827766,105.24641
2020-01-13,17.4,20.8,13.7,18.1,21.7,14.0,14.0,0.20,0.20,0.00,96,81,11.8,4.3,124,1011.3,1015.5,39297.16,0.00,51,21.827766,105.24641
2020-01-14,19.9,23.4,17.3,21.9,26.3,19.1,17.6,1.40,1.40,0.00,95,87,13.2,5.2,146,1010.3,1014.5,39333.63,1328.40,51,21.827766,105.24641
2020-01-15,22.4,27.3,19.5,23.9,28.8,21.1,18.6,0.00,0.00,0.00,57,80,26.7,11.6,141,1008.2,1012.3,39371.73,29921.44,3,21.827766,105.24641
2020-01-16,21.0,25.3,17.5,22.2,28.2,17.2,17.3,2.40,2.40,0.00,91,80,23.6,9.9,89,1011.0,1015.1,39411.57,25451.77,51,21.827766,105.24641
2020-01-17,16.5,18.1,14.8,15.9,17.8,13.8,12.0,2.30,2.30,0.00,99,75,19.1,8.3,91,1015.3,1019.5,39453.10,0.00,53,21.827766,105.24641
2020-01-18,16.8,19.3,15.0,17.3,20.2,15.0,13.6,1.60,1.60,0.00,100,82,10.8,4.0,88,1013.7,1017.8,39496.23,0.00,51,21.827766,105.24641
