time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,20.7,23.7,18.5,22.4,24.8,20.4,17.3,0.20,0.20,0.00,77,82,13.0,5.8,131,1021.3,1023.7,39083.86,22061.97,51,21.335676,105.59633
2020-01-02,21.0,24.3,18.4,22.9,26.6,20.3,18.3,0.70,0.70,0.00,80,85,17.0,8.2,113,1019.7,1022.1,39102.33,12719.08,51,21.335676,105.59633
2020-01-03,21.8,24.5,19.7,23.5,26.5,21.5,19.1,1.10,1.10,0.00,81,85,23.1,11.7,117,1017.7,1020.1,39122.43,29768.09,51,21.335676,105.59633
2020-01-04,21.0,23.0,19.5,22.5,25.3,21.0,19.1,3.50,3.50,0.00,80,89,24.9,12.9,105,1015.8,1018.2,39144.11,8040.71,53,21.335676,105.59633
2020-01-05,21.5,25.3,19.4,22.9,26.3,20.7,19.1,2.20,2.20,0.00,84,87,26.4,13.6,117,1014.6,1017.0,39167.34,23337.26,51,21.335676,105.59633
2020-01-06,22.4,26.2,20.1,23.8,26.3,22.0,19.2,1.80,1.80,0.00,63,83,28.7,14.4,135,1013.3,1015.6,39192.09,35299.17,53,21.335676,105.59633
2020-01-07,22.7,26.7,20.5,25.3,29.6,22.9,20.0,2.30,2.30,0.00,70,85,19.2,9.2,116,1013.4,1015.7,39218.31,25069.32,53,21.335676,105.59633
2020-01-08,22.6,26.9,20.1,24.6,27.9,22.1,19.8,1.40,1.40,0.00,85,85,24.5,11.9,122,1013.9,1016.2,39245.98,25497.71,51,21.335676,105.59633
2020-01-09,22.9,27.4,19.7,24.9,29.3,21.7,19.3,2.00,2.00,0.00,65,81,21.0,10.4,124,1012.1,1014.5,39275.05,29940.57,53,21.335676,105.59633
2020-01-10,23.2,27.3,20.6,24.7,27.9,22.5,19.0,0.00,0.00,0.00,38,79,25.7,13.0,137,1010.4,1012.8,39305.48,32244.62,3,21.335676,105.59633
2020-01-11,20.7,26.5,16.4,21.1,28.3,15.0,16.5,2.10,2.10,0.00,75,78,28.2,13.4,92,1011.7,1014.0,39337.23,21520.58,53,21.335676,105.59633
2020-01-12,16.6,19.7,14.7,16.3,19.4,14.7,11.1,2.50,2.50,0.00,78,71,10.8,3.9,86,1015.4,1017.8,39370.29,15419.98,53,21.335676,105.59633
2020-01-13,18.0,20.7,15.0,18.2,21.1,14.9,14.0,0.70,0.70,0.00,97,78,16.6,7.9,97,1013.1,1015.4,39404.59,1916.61,51,21.335676,105.59633
2020-01-14,20.9,24.3,18.3,22.8,26.1,20.1,18.2,1.70,1.70,0.00,86,85,16.3,7.5,128,1012.0,1014.4,39440.12,6999.37,51,21.335676,105.59633
2020-01-15,22.2,26.8,19.5,23.0,26.9,20.5,18.8,0.60,0.60,0.00,39,82,32.2,16.6,134,1010.5,1012.8,39477.24,32167.65,51,21.335676,105.59633
2020-01-16,21.0,25.4,16.9,21.8,28.2,15.7,17.9,4.80,4.80,0.00,81,83,29.6,14.5,90,1012.6,1014.9,39516.07,22834.53,53,21.335676,105.59633
2020-01-17,16.4,18.3,14.9,16.1,18.1,14.8,12.8,3.30,3.30,0.00,98,79,17.4,8.1,71,1017.0,1019.4,39556.54,2183.07,53,21.335676,105.59633
2020-01-18,16.9,19.4,15.2,17.3,19.9,15.3,14.0,1.40,1.40,0.00,99,83,13.6,6.2,82,1015.3,1017.7,39598.56,39.45,51,21.335676,105.59633
2020-01-19,15.8,17.1,14.7,15.8,17.4,14.4,12.5,3.00,3.00,0.00,100,81,12.2,5.3,66,1017.8,1020.3,39642.07,0.00,51,21.335676,105.59633
2020-01-20,16.0,18.0,14.6,16.8,18.8,15.1,13.5,2.40,2.40,0.00,100,85,8.3,2.8,133,1017.6,1020.0,39687.00,0.00,53,21.335676,105.59633
2020-01-21,19.6,24.0,14.7,20.8,25.5,15.4,16.5,0.00,0.00,0.00,88,83,15.8,7.4,142,1016.1,1018.4,39733.26,19826.04,3,21.335676,105.59633
