time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),dew_point_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),cloud_cover_mean (%),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),surface_pressure_mean (hPa),pressure_msl_mean (hPa),daylight_duration (s),sunshine_duration (s),weather_code (wmo code),latitude,longitude
2020-01-01,20.6,23.5,19.1,22.3,24.7,20.8,17.7,0.80,0.80,0.00,88,84,15.2,7.0,136,1017.3,1023.5,38984.58,7419.77,51,21.757467,104.95385
2020-01-02,21.0,24.2,18.8,23.3,27.3,20.3,18.5,0.00,0.00,0.00,87,86,13.6,6.0,152,1015.7,1021.9,39003.46,10800.00,3,21.757467,104.95385
2020-01-03,22.1,25.5,19.9,23.8,27.7,21.2,19.1,0.60,0.60,0.00,86,84,24.6,12.0,135,1013.5,1019.6,39024.02,20824.09,51,21.757467,104.95385
2020-01-04,21.6,23.9,20.1,22.8,25.0,21.6,19.0,0.40,0.40,0.00,87,85,31.4,15.4,130,1011.5,1017.6,39046.19,5865.12,51,21.757467,104.95385
2020-01-05,22.0,25.7,19.9,23.0,26.7,20.9,19.1,0.80,0.80,0.00,73,84,33.3,16.2,132,1010.2,1016.3,39069.95,29536.66,51,21.757467,104.95385
2020-01-06,22.5,27.5,19.9,23.8,28.9,21.3,18.9,0.00,0.00,0.00,67,81,29.0,13.5,135,1008.8,1014.8,39095.26,27980.14,3,21.757467,104.95385
2020-01-07,22.6,26.4,20.5,25.4,28.9,22.8,19.8,1.00,1.00,0.00,75,85,15.0,6.7,135,1009.5,1015.6,39122.08,21528.67,51,21.757467,104.95385
2020-01-08,23.2,26.9,20.6,24.8,28.7,22.4,19.6,0.10,0.10,0.00,71,81,28.5,14.0,130,1009.5,1015.5,39150.36,28292.24,51,21.757467,104.95385
2020-01-09,21.9,25.3,20.2,24.5,28.2,22.1,19.7,1.30,1.30,0.00,69,88,18.2,7.8,140,1008.2,1014.3,39180.09,21701.70,53,21.757467,104.95385
2020-01-10,21.9,25.5,19.9,24.8,28.6,22.4,19.8,1.20,1.20,0.00,72,88,13.1,5.6,139,1006.4,1012.5,39211.20,13146.01,51,21.757467,104.95385
2020-01-11,20.3,24.7,16.2,22.2,28.1,15.9,18.0,7.80,7.80,0.00,89,87,16.4,6.9,90,1008.0,1014.1,39243.68,18262.55,61,21.757467,104.95385
