latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
22.17926,105.882355,161.0,25200,Asia/Bangkok,GMT+7

time,temperature_2m (°C),apparent_temperature (°C),dew_point_2m (°C),precipitation (mm),rain (mm),snowfall (cm),snow_depth (m),cloud_cover (%),relative_humidity_2m (%),wind_gusts_10m (km/h),wind_speed_10m (km/h),wind_direction_10m (°),surface_pressure (hPa),pressure_msl (hPa),weather_code (wmo code)
2020-01-01T00:00,18.1,18.9,14.7,0.00,0.00,0.00,0.00,74,81,14.8,5.0,30,1005.8,1024.9,2
2020-01-01T01:00,17.7,18.4,14.4,0.00,0.00,0.00,0.00,97,81,13.3,4.9,36,1005.6,1024.8,3
2020-01-01T02:00,17.5,18.3,14.3,0.00,0.00,0.00,0.00,100,81,12.6,4.6,45,1005.1,1024.3,3
2020-01-01T03:00,17.2,17.8,14.0,0.20,0.20,0.00,0.00,100,81,12.2,4.8,42,1005.2,1024.4,51
2020-01-01T04:00,16.5,17.3,14.5,0.30,0.30,0.00,0.00,100,88,11.5,5.2,25,1005.2,1024.4,51
2020-01-01T05:00,16.4,17.0,14.6,0.10,0.10,0.00,0.00,100,89,12.2,6.0,25,1005.2,1024.4,51
2020-01-01T06:00,16.1,16.7,14.6,0.00,0.00,0.00,0.00,96,91,12.2,6.0,25,1005.6,1024.9,3
2020-01-01T07:00,17.0,18.0,15.0,0.00,0.00,0.00,0.00,79,88,12.2,4.7,23,1006.1,1025.3,2
2020-01-01T08:00,17.8,18.9,15.0,0.00,0.00,0.00,0.00,93,84,9.4,4.1,15,1006.6,1025.8,3
2020-01-01T09:00,19.3,20.8,15.5,0.00,0.00,0.00,0.00,50,79,10.4,2.2,351,1007.4,1026.5,2
2020-01-01T10:00,21.3,23.0,16.1,0.00,0.00,0.00,0.00,80,72,13.0,2.8,220,1007.5,1026.5,3
2020-01-01T11:00,22.5,23.8,16.5,0.00,0.00,0.00,0.00,100,69,22.3,6.9,208,1006.3,1025.2,3
2020-01-01T12:00,23.1,24.2,16.7,0.00,0.00,0.00,0.00,99,67,27.0,8.9,223,1005.3,1024.1,3
2020-01-01T13:00,22.9,23.8,16.7,0.00,0.00,0.00,0.00,100,68,28.4,9.9,237,1004.2,1023.0,3
2020-01-01T14:00,22.5,23.4,16.8,0.00,0.00,0.00,0.00,100,70,29.9,10.3,245,1003.3,1022.1,3
2020-01-01T15:00,22.5,23.6,16.8,0.00,0.00,0.00,0.00,100,70,28.8,9.5,245,1003.1,1021.9,3
2020-01-01T16:00,22.0,23.1,16.9,0.00,0.00,0.00,0.00,89,73,27.4,9.3,242,1003.2,1022.0,3
2020-01-01T17:00,21.2,23.0,17.3,0.00,0.00,0.00,0.00,46,78,25.9,5.6,243,1003.5,1022.4,1
2020-01-01T18:00,20.0,21.9,17.0,0.00,0.00,0.00,0.00,15,83,16.9,4.7,270,1003.9,1022.9,0
2020-01-01T19:00,19.9,22.0,17.5,0.00,0.00,0.00,0.00,25,86,14.4,4.1,195,1004.4,1023.4,1
2020-01-01T20:00,20.0,21.7,17.3,0.00,0.00,0.00,0.00,26,84,17.3,6.0,205,1004.9,1023.9,1
2020-01-01T21:00,19.0,20.9,17.4,0.00,0.00,0.00,0.00,34,91,18.0,5.4,217,1005.2,1024.3,1
2020-01-01T22:00,18.5,20.6,17.5,0.00,0.00,0.00,0.00,41,94,16.6,4.7,247,1005.4,1024.5,1
2020-01-01T23:00,18.2,20.2,17.7,0.00,0.00,0.00,0.00,100,97,15.5,5.5,259,1005.2,1024.3,3
2020-01-02T00:00,18.5,20.5,17.9,0.00,0.00,0.00,0.00,100,96,18.0,6.0,253,1005.0,1024.1,3
2020-01-02T01:00,18.4,20.5,18.0,0.00,0.00,0.00,0.00,100,98,18.0,5.5,259,1004.6,1023.7,3
2020-01-02T02:00,18.5,20.6,18.0,0.00,0.00,0.00,0.00,100,97,17.6,5.8,248,1004.2,1023.3,3
2020-01-02T03:00,18.4,20.5,17.9,0.00,0.00,0.00,0.00,100,97,17.6,5.4,250,1003.7,1022.8,3
2020-01-02T04:00,18.3,20.4,17.9,0.00,0.00,0.00,0.00,100,97,17.3,5.6,255,1003.8,1022.9,3
2020-01-02T05:00,18.3,20.4,17.9,0.10,0.10,0.00,0.00,100,98,17.3,5.0,249,1003.8,1022.9,51
2020-01-02T06:00,18.2,20.4,17.8,0.10,0.10,0.00,0.00,100,98,16.6,4.7,247,1004.3,1023.4,51
2020-01-02T07:00,18.2,20.4,17.9,0.10,0.10,0.00,0.00,100,98,15.8,4.8,243,1005.1,1024.2,51
2020-01-02T08:00,19.2,21.1,17.9,0.10,0.10,0.00,0.00,100,92,19.4,6.6,225,1005.9,1025.0,51
2020-01-02T09:00,19.9,21.7,18.1,0.10,0.10,0.00,0.00,100,90,22.7,8.1,212,1006.5,1025.5,51
2020-01-02T10:00,20.6,22.2,18.3,0.20,0.20,0.00,0.00,100,87,26.6,9.8,216,1006.3,1025.3,51
2020-01-02T11:00,21.1,22.8,18.7,0.30,0.30,0.00,0.00,98,86,30.2,11.0,229,1005.6,1024.5,51
2020-01-02T12:00,21.9,23.6,18.6,0.20,0.20,0.00,0.00,100,82,31.0,10.2,228,1004.3,1023.2,51
2020-01-02T13:00,22.5,24.2,18.7,0.10,0.10,0.00,0.00,99,79,30.6,10.5,229,1003.1,1021.9,51
2020-01-02T14:00,22.6,24.5,18.6,0.10,0.10,0.00,0.00,100,78,29.9,8.9,230,1001.9,1020.7,51
2020-01-02T15:00,22.5,24.4,18.6,0.00,0.00,0.00,0.00,86,79,25.9,9.2,222,1001.2,1020.0,3
2020-01-02T16:00,22.2,24.3,18.8,0.00,0.00,0.00,0.00,75,81,25.6,7.9,231,1001.2,1020.0,2
2020-01-02T17:00,21.4,24.1,19.1,0.00,0.00,0.00,0.00,61,87,22.3,5.0,240,1001.3,1020.1,2
2020-01-02T18:00,20.3,23.2,19.0,0.00,0.00,0.00,0.00,72,92,15.1,3.3,264,1001.8,1020.7,2
2020-01-02T19:00,19.0,21.4,18.1,0.00,0.00,0.00,0.00,24,95,11.5,4.4,325,1002.3,1021.3,1
2020-01-02T20:00,19.3,22.0,18.3,0.00,0.00,0.00,0.00,29,94,12.2,2.2,351,1002.6,1021.6,1
2020-01-02T21:00,19.6,22.4,18.3,0.00,0.00,0.00,0.00,44,92,10.1,2.2,351,1003.0,1022.0,1
2020-01-02T22:00,18.9,21.2,18.0,0.10,0.10,0.00,0.00,100,95,13.0,4.6,252,1003.4,1022.4,51
2020-01-02T23:00,19.8,22.4,18.7,0.00,0.00,0.00,0.00,100,93,14.8,4.8,228,1003.2,1022.2,3
2020-01-03T00:00,19.6,22.2,18.9,0.00,0.00,0.00,0.00,100,96,15.8,5.4,228,1003.1,1022.1,3
2020-01-03T01:00,19.2,21.8,18.9,0.10,0.10,0.00,0.00,100,98,15.8,5.1,225,1002.9,1021.9,51
2020-01-03T02:00,19.0,21.5,18.8,0.10,0.10,0.00,0.00,100,99,15.8,5.4,228,1002.0,1021.0,51
2020-01-03T03:00,18.9,21.4,18.7,0.20,0.20,0.00,0.00,100,99,16.2,5.4,222,1001.7,1020.7,51
2020-01-03T04:00,18.9,21.4,18.7,0.20,0.20,0.00,0.00,100,98,16.9,5.6,225,1001.5,1020.5,51
2020-01-03T05:00,18.9,21.4,18.6,0.20,0.20,0.00,0.00,100,98,16.9,5.4,233,1001.8,1020.8,51
2020-01-03T06:00,18.8,21.4,18.5,0.10,0.10,0.00,0.00,99,98,16.2,3.9,236,1002.3,1021.3,51
2020-01-03T07:00,19.1,21.8,18.7,0.10,0.10,0.00,0.00,98,98,13.7,4.1,195,1002.8,1021.8,51
2020-01-03T08:00,20.0,22.4,18.8,0.00,0.00,0.00,0.00,100,93,17.6,6.1,177,1003.4,1022.4,3
2020-01-03T09:00,20.5,22.9,18.8,0.00,0.00,0.00,0.00,100,90,18.4,6.2,187,1004.0,1022.9,3
2020-01-03T10:00,21.5,24.0,19.0,0.10,0.10,0.00,0.00,100,86,18.4,6.0,213,1004.2,1023.1,51
2020-01-03T11:00,21.6,24.0,19.1,0.10,0.10,0.00,0.00,100,85,22.0,7.1,229,1003.2,1022.1,51
2020-01-03T12:00,22.2,24.5,19.2,0.30,0.30,0.00,0.00,100,83,23.0,8.2,218,1002.3,1021.1,51
2020-01-03T13:00,23.2,25.1,19.0,0.20,0.20,0.00,0.00,100,77,28.1,10.1,215,1001.0,1019.7,51
2020-01-03T14:00,23.4,25.3,18.9,0.10,0.10,0.00,0.00,100,76,28.1,9.7,228,1000.2,1018.9,51
2020-01-03T15:00,23.1,25.6,19.3,0.00,0.00,0.00,0.00,93,79,27.0,7.2,252,999.7,1018.4,3
2020-01-03T16:00,22.7,25.7,19.8,0.00,0.00,0.00,0.00,95,84,20.2,5.0,249,999.6,1018.3,3
2020-01-03T17:00,22.0,25.6,20.3,0.00,0.00,0.00,0.00,56,90,15.5,3.1,234,1000.0,1018.8,2
2020-01-03T18:00,21.5,24.9,19.9,0.00,0.00,0.00,0.00,42,90,11.9,3.2,207,1000.3,1019.1,1
2020-01-03T19:00,21.0,24.3,19.5,0.00,0.00,0.00,0.00,34,91,10.4,1.9,112,1001.2,1020.1,1
2020-01-03T20:00,19.7,22.7,19.1,0.00,0.00,0.00,0.00,34,96,10.4,3.3,103,1001.4,1020.3,1
2020-01-03T21:00,20.5,23.7,19.3,0.00,0.00,0.00,0.00,40,93,11.2,2.6,74,1001.5,1020.4,1
2020-01-03T22:00,19.0,21.5,18.5,0.00,0.00,0.00,0.00,100,97,11.2,4.4,235,1001.7,1020.7,3
2020-01-03T23:00,19.9,23.0,19.3,0.00,0.00,0.00,0.00,99,96,11.5,3.4,212,1001.5,1020.4,3
2020-01-04T00:00,19.8,22.8,19.4,0.00,0.00,0.00,0.00,100,98,12.6,4.0,207,1001.4,1020.3,3
2020-01-04T01:00,19.6,22.5,19.2,0.10,0.10,0.00,0.00,100,98,14.0,4.0,190,1001.1,1020.0,51
2020-01-04T02:00,19.5,22.7,19.1,0.10,0.10,0.00,0.00,100,98,14.0,1.8,191,1000.8,1019.8,51
2020-01-04T03:00,19.4,22.7,19.0,0.10,0.10,0.00,0.00,100,98,10.8,0.8,333,1000.3,1019.3,51
2020-01-04T04:00,19.4,22.6,18.9,0.10,0.10,0.00,0.00,100,97,8.3,1.1,90,1000.2,1019.1,51
2020-01-04T05:00,19.4,22.5,19.0,0.30,0.30,0.00,0.00,100,98,9.4,1.6,117,1000.3,1019.2,51
2020-01-04T06:00,19.1,22.3,18.9,0.30,0.30,0.00,0.00,100,98,9.7,1.3,56,1000.6,1019.6,51
2020-01-04T07:00,19.1,21.8,18.9,0.10,0.10,0.00,0.00,44,99,10.8,4.2,31,1001.3,1020.3,51
2020-01-04T08:00,19.8,22.8,18.9,0.00,0.00,0.00,0.00,72,95,10.4,2.9,60,1001.9,1020.9,2
2020-01-04T09:00,20.8,23.4,18.7,0.00,0.00,0.00,0.00,71,88,14.0,4.1,128,1002.3,1021.2,2
2020-01-04T10:00,22.2,24.6,18.8,0.00,0.00,0.00,0.00,100,81,20.9,6.7,164,1002.2,1021.0,3
2020-01-04T11:00,22.6,25.1,19.0,0.30,0.30,0.00,0.00,88,80,20.9,6.5,199,1001.3,1020.1,51
2020-01-04T12:00,22.9,24.9,18.6,0.30,0.30,0.00,0.00,100,77,23.8,8.5,192,1000.2,1018.9,51
2020-01-04T13:00,23.0,24.7,18.9,0.50,0.50,0.00,0.00,88,78,31.7,11.4,198,998.8,1017.5,53
2020-01-04T14:00,23.0,24.8,18.8,0.30,0.30,0.00,0.00,100,77,31.7,10.3,192,997.7,1016.4,51
2020-01-04T15:00,22.6,24.7,19.0,0.20,0.20,0.00,0.00,100,80,28.8,8.8,189,997.1,1015.8,51
2020-01-04T16:00,22.1,24.1,19.2,0.30,0.30,0.00,0.00,100,83,28.4,10.5,186,997.1,1015.8,51
2020-01-04T17:00,21.2,23.7,19.2,0.10,0.10,0.00,0.00,98,88,27.7,7.2,177,997.2,1016.0,51
2020-01-04T18:00,20.7,23.3,19.2,0.10,0.10,0.00,0.00,95,91,22.0,6.1,180,997.6,1016.4,51
2020-01-04T19:00,20.0,22.6,18.9,0.10,0.10,0.00,0.00,98,94,20.2,5.1,176,999.1,1018.0,51
2020-01-04T20:00,20.1,22.8,19.1,0.00,0.00,0.00,0.00,71,94,18.4,5.2,168,999.8,1018.7,2
2020-01-04T21:00,19.4,22.2,18.7,0.00,0.00,0.00,0.00,92,96,16.9,3.4,162,999.9,1018.8,3
2020-01-04T22:00,19.1,21.7,18.5,0.00,0.00,0.00,0.00,34,96,15.1,3.6,174,1000.1,1019.1,1
2020-01-04T23:00,18.2,20.4,17.7,0.00,0.00,0.00,0.00,37,97,14.8,3.9,236,1000.2,1019.2,1
2020-01-05T00:00,19.1,21.8,18.2,0.00,0.00,0.00,0.00,33,95,14.0,2.4,243,999.8,1018.8,1
2020-01-05T01:00,18.8,21.5,18.1,0.00,0.00,0.00,0.00,54,96,12.6,1.8,101,999.4,1018.4,2
2020-01-05T02:00,17.8,20.1,17.6,0.00,0.00,0.00,0.00,100,98,13.0,3.2,117,998.8,1017.8,3
2020-01-05T03:00,18.6,21.2,18.2,0.10,0.10,0.00,0.00,100,98,13.3,2.6,146,998.6,1017.6,51
2020-01-05T04:00,18.6,21.2,18.0,0.10,0.10,0.00,0.00,100,96,13.7,2.1,149,998.5,1017.5,51
2020-01-05T05:00,18.4,21.2,18.4,0.20,0.20,0.00,0.00,100,100,14.0,2.2,171,998.8,1017.8,51
2020-01-05T06:00,18.4,21.1,18.3,0.10,0.10,0.00,0.00,100,99,14.4,2.6,146,999.3,1018.3,51
2020-01-05T07:00,18.0,20.3,17.9,0.00,0.00,0.00,0.00,61,100,14.0,4.0,90,999.8,1018.8,2
2020-01-05T08:00,19.5,22.4,18.7,0.00,0.00,0.00,0.00,100,95,14.4,2.5,172,1000.8,1019.8,3
2020-01-05T09:00,20.1,22.5,18.7,0.00,0.00,0.00,0.00,100,92,17.6,5.8,150,1001.3,1020.2,3
2020-01-05T10:00,20.9,23.2,19.1,0.10,0.10,0.00,0.00,100,89,22.3,8.2,157,1001.4,1020.3,51
2020-01-05T11:00,22.1,24.5,19.3,0.30,0.30,0.00,0.00,100,84,23.8,7.6,172,1000.5,1019.3,51
2020-01-05T12:00,23.0,25.0,18.9,0.30,0.30,0.00,0.00,100,78,28.1,9.4,182,999.3,1018.0,51
2020-01-05T13:00,23.0,25.1,19.0,0.10,0.10,0.00,0.00,100,78,27.4,8.8,192,997.8,1016.5,51
2020-01-05T14:00,23.6,25.4,18.7,0.20,0.20,0.00,0.00,99,74,27.4,9.7,182,996.8,1015.4,51
2020-01-05T15:00,23.5,25.4,19.2,0.40,0.40,0.00,0.00,48,77,30.6,10.9,188,996.2,1014.8,51
2020-01-05T16:00,23.1,25.5,19.6,0.20,0.20,0.00,0.00,93,81,30.2,8.5,192,996.3,1014.9,51
2020-01-05T17:00,22.1,24.8,19.6,0.00,0.00,0.00,0.00,100,86,24.5,6.3,204,996.6,1015.3,3
2020-01-05T18:00,21.3,24.1,19.7,0.30,0.30,0.00,0.00,100,91,19.8,6.0,205,997.3,1016.1,51
2020-01-05T19:00,19.8,23.1,19.8,0.50,0.50,0.00,0.00,96,100,19.4,3.8,163,998.1,1017.0,53
2020-01-05T20:00,20.4,23.6,19.7,0.00,0.00,0.00,0.00,40,96,16.9,3.9,158,998.6,1017.5,1
2020-01-05T21:00,19.6,22.5,19.1,0.00,0.00,0.00,0.00,98,97,16.2,3.6,180,998.7,1017.6,3
2020-01-05T22:00,19.9,22.9,19.3,0.00,0.00,0.00,0.00,100,96,17.6,4.0,185,999.0,1017.9,3
2020-01-05T23:00,19.8,22.7,19.1,0.00,0.00,0.00,0.00,100,96,16.9,4.1,195,999.1,1018.0,3
2020-01-06T00:00,19.7,22.4,19.0,0.10,0.10,0.00,0.00,100,96,18.0,4.7,189,998.7,1017.6,51
2020-01-06T01:00,19.2,22.2,19.2,0.10,0.10,0.00,0.00,100,100,18.4,3.8,197,998.4,1017.3,51
2020-01-06T02:00,19.1,22.0,19.1,0.20,0.20,0.00,0.00,100,100,18.0,3.9,202,997.9,1016.8,51
2020-01-06T03:00,19.0,21.9,19.0,0.30,0.30,0.00,0.00,100,100,18.0,3.4,198,997.5,1016.4,51
2020-01-06T04:00,19.0,22.0,19.0,0.20,0.20,0.00,0.00,99,100,17.6,3.0,194,997.4,1016.3,51
2020-01-06T05:00,19.0,21.9,18.9,0.20,0.20,0.00,0.00,100,99,17.3,3.3,174,997.6,1016.5,51
2020-01-06T06:00,19.0,22.0,19.0,0.20,0.20,0.00,0.00,95,100,15.8,2.5,90,998.1,1017.0,51
2020-01-06T07:00,19.2,22.0,19.1,0.20,0.20,0.00,0.00,99,100,17.3,4.1,142,998.8,1017.7,51
2020-01-06T08:00,19.5,22.4,19.4,0.20,0.20,0.00,0.00,98,100,19.1,4.7,171,999.9,1018.8,51
2020-01-06T09:00,19.9,22.0,19.2,0.20,0.20,0.00,0.00,100,96,26.3,9.5,155,1000.3,1019.2,51
2020-01-06T10:00,20.9,23.1,19.6,0.10,0.10,0.00,0.00,100,92,30.6,10.2,172,1000.3,1019.1,51
2020-01-06T11:00,21.6,23.5,19.7,0.20,0.20,0.00,0.00,100,89,34.6,12.2,180,998.9,1017.7,51
2020-01-06T12:00,22.2,24.0,19.7,0.20,0.20,0.00,0.00,88,85,37.4,13.2,191,998.0,1016.7,51
2020-01-06T13:00,23.6,24.9,18.8,0.10,0.10,0.00,0.00,87,74,37.1,13.7,198,996.3,1014.9,51
2020-01-06T14:00,24.4,25.4,18.5,0.30,0.30,0.00,0.00,100,70,42.5,14.7,197,995.3,1013.8,51
2020-01-06T15:00,23.9,25.4,19.2,0.40,0.40,0.00,0.00,99,75,42.5,13.7,203,994.5,1013.1,51
2020-01-06T16:00,23.2,25.8,20.0,0.30,0.30,0.00,0.00,86,82,37.1,8.3,236,995.2,1013.8,51
2020-01-06T17:00,22.5,25.2,19.9,0.20,0.20,0.00,0.00,56,85,25.6,7.6,188,995.4,1014.1,51
2020-01-06T18:00,20.6,23.7,19.6,0.30,0.30,0.00,0.00,55,94,22.7,4.3,228,996.1,1014.9,51
2020-01-06T19:00,20.1,22.7,19.2,0.30,0.30,0.00,0.00,84,95,15.1,6.1,140,996.0,1014.8,51
