latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
14.376099,108.0,545.0,25200,Asia/Bangkok,GMT+7

time,temperature_2m (°C),apparent_temperature (°C),dew_point_2m (°C),precipitation (mm),rain (mm),snowfall (cm),snow_depth (m),cloud_cover (%),relative_humidity_2m (%),wind_gusts_10m (km/h),wind_speed_10m (km/h),wind_direction_10m (°),surface_pressure (hPa),pressure_msl (hPa),weather_code (wmo code)
2020-01-01T00:00,19.1,20.7,17.1,0.00,0.00,0.00,0.00,97,88,17.3,6.2,80,956.8,1019.3,3
2020-01-01T01:00,19.7,21.4,17.5,0.00,0.00,0.00,0.00,90,87,13.7,6.5,87,956.5,1018.9,3
2020-01-01T02:00,19.8,20.9,17.3,0.00,0.00,0.00,0.00,89,86,19.8,10.3,54,956.1,1018.5,3
2020-01-01T03:00,20.5,20.6,16.5,0.00,0.00,0.00,0.00,88,78,29.5,15.0,60,955.7,1017.9,3
2020-01-01T04:00,20.2,20.6,16.6,0.00,0.00,0.00,0.00,52,80,30.6,13.5,61,955.4,1017.6,2
2020-01-01T05:00,20.0,20.4,16.8,0.00,0.00,0.00,0.00,80,82,27.7,14.0,61,955.4,1017.7,3
2020-01-01T06:00,19.9,20.1,16.6,0.00,0.00,0.00,0.00,87,81,29.2,14.0,61,955.7,1018.0,3
2020-01-01T07:00,21.7,21.7,16.8,0.00,0.00,0.00,0.00,89,73,29.2,16.9,70,956.9,1018.9,3
2020-01-01T08:00,23.9,24.0,17.3,0.00,0.00,0.00,0.00,92,67,34.6,17.1,72,957.9,1019.5,3
2020-01-01T09:00,25.5,24.1,16.2,0.00,0.00,0.00,0.00,92,56,48.6,23.8,72,958.5,1019.8,3
2020-01-01T10:00,26.5,24.7,15.5,0.00,0.00,0.00,0.00,67,51,55.4,27.1,68,958.9,1020.0,2
2020-01-01T11:00,27.3,26.0,15.0,0.00,0.00,0.00,0.00,83,47,56.2,26.6,62,958.7,1019.6,3
2020-01-01T12:00,28.3,26.7,14.7,0.00,0.00,0.00,0.00,85,43,58.7,29.0,63,957.6,1018.2,3
2020-01-01T13:00,28.0,26.5,14.7,0.00,0.00,0.00,0.00,82,44,59.8,25.3,62,957.0,1017.7,3
2020-01-01T14:00,27.9,26.5,14.8,0.00,0.00,0.00,0.00,86,45,54.0,24.1,68,956.1,1016.7,3
2020-01-01T15:00,26.5,24.9,15.5,0.00,0.00,0.00,0.00,93,51,50.8,23.7,66,955.9,1016.8,3
2020-01-01T16:00,25.4,24.2,15.6,0.00,0.00,0.00,0.00,63,54,48.6,21.3,71,956.2,1017.3,2
2020-01-01T17:00,23.7,23.1,15.7,0.00,0.00,0.00,0.00,7,61,43.6,17.7,77,956.5,1018.0,0
2020-01-01T18:00,22.0,21.7,16.1,0.00,0.00,0.00,0.00,3,69,35.3,16.6,77,956.4,1018.3,0
2020-01-01T19:00,21.0,20.9,16.3,0.00,0.00,0.00,0.00,2,75,33.5,16.2,73,957.4,1019.6,0
2020-01-01T20:00,20.6,20.9,16.6,0.00,0.00,0.00,0.00,1,78,32.0,13.5,74,957.9,1020.2,0
2020-01-01T21:00,20.5,21.1,16.8,0.00,0.00,0.00,0.00,1,79,26.6,12.2,71,958.3,1020.6,0
2020-01-01T22:00,20.2,20.7,16.3,0.00,0.00,0.00,0.00,0,78,24.5,11.8,63,958.2,1020.6,0
2020-01-01T23:00,19.1,20.2,16.3,0.00,0.00,0.00,0.00,0,84,23.8,7.1,60,958.1,1020.7,0
2020-01-02T00:00,18.1,19.5,16.5,0.00,0.00,0.00,0.00,23,90,15.1,6.0,57,957.6,1020.4,1
2020-01-02T01:00,17.6,19.1,16.5,0.00,0.00,0.00,0.00,1,93,13.0,5.6,50,957.1,1020.0,0
2020-01-02T02:00,17.5,18.8,16.4,0.00,0.00,0.00,0.00,0,93,13.3,6.4,38,956.6,1019.5,0
2020-01-02T03:00,17.8,18.9,16.4,0.00,0.00,0.00,0.00,0,92,16.2,7.9,51,956.5,1019.3,0
2020-01-02T04:00,18.1,19.1,16.7,0.00,0.00,0.00,0.00,0,92,19.1,9.3,54,956.5,1019.2,0
