latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
22.390158,103.416145,924.0,25200,Asia/Bangkok,GMT+7

time,temperature_2m (°C),apparent_temperature (°C),dew_point_2m (°C),precipitation (mm),rain (mm),snowfall (cm),snow_depth (m),cloud_cover (%),relative_humidity_2m (%),wind_gusts_10m (km/h),wind_speed_10m (km/h),wind_direction_10m (°),surface_pressure (hPa),pressure_msl (hPa),weather_code (wmo code)
2020-01-01T00:00,16.3,16.5,12.2,0.00,0.00,0.00,0.00,85,77,19.1,3.6,174,919.5,1024.3,3
2020-01-01T01:00,15.8,16.2,12.3,0.00,0.00,0.00,0.00,79,79,18.7,2.7,157,919.3,1024.3,2
2020-01-01T02:00,15.8,16.3,12.4,0.00,0.00,0.00,0.00,98,80,16.9,2.3,162,919.1,1024.0,3
2020-01-01T03:00,15.3,15.9,12.7,0.00,0.00,0.00,0.00,100,84,15.5,1.8,169,918.7,1023.8,3
2020-01-01T04:00,15.3,16.0,12.8,0.00,0.00,0.00,0.00,100,85,15.5,1.5,194,918.6,1023.7,3
2020-01-01T05:00,15.4,16.3,12.8,0.00,0.00,0.00,0.00,100,84,15.1,0.5,225,918.7,1023.7,3
2020-01-01T06:00,15.3,16.0,12.8,0.10,0.10,0.00,0.00,100,85,12.2,1.5,315,919.3,1024.4,51
2020-01-01T07:00,15.1,15.6,12.8,0.10,0.10,0.00,0.00,100,86,12.2,2.9,353,920.0,1025.3,51
2020-01-01T08:00,15.4,15.9,13.0,0.00,0.00,0.00,0.00,60,86,13.3,3.0,14,920.5,1025.8,2
2020-01-01T09:00,16.2,16.9,13.4,0.00,0.00,0.00,0.00,68,83,11.9,2.5,352,921.6,1026.7,2
2020-01-01T10:00,17.4,18.4,13.7,0.00,0.00,0.00,0.00,83,79,13.3,2.0,315,922.2,1026.9,3
2020-01-01T11:00,18.1,19.3,14.1,0.00,0.00,0.00,0.00,100,77,14.0,1.5,315,921.6,1026.0,3
2020-01-01T12:00,18.9,20.1,14.4,0.00,0.00,0.00,0.00,100,75,13.3,1.3,326,920.7,1024.7,3
2020-01-01T13:00,19.8,21.1,14.1,0.10,0.10,0.00,0.00,100,70,13.3,0.5,225,919.5,1023.0,51
2020-01-01T14:00,20.5,21.5,14.0,0.00,0.00,0.00,0.00,100,66,15.1,1.9,202,918.7,1021.8,3
2020-01-01T15:00,20.4,21.3,13.8,0.00,0.00,0.00,0.00,100,66,16.9,2.6,196,918.2,1021.3,3
2020-01-01T16:00,20.0,20.9,13.8,0.00,0.00,0.00,0.00,97,67,15.5,2.5,180,918.0,1021.2,3
2020-01-01T17:00,18.6,20.0,15.3,0.00,0.00,0.00,0.00,100,81,13.0,2.9,187,917.9,1021.7,3
2020-01-01T18:00,19.0,19.5,13.0,0.00,0.00,0.00,0.00,98,68,13.0,3.6,135,918.4,1022.1,3
2020-01-01T19:00,18.8,19.4,13.2,0.00,0.00,0.00,0.00,76,70,12.6,3.2,90,918.7,1022.5,2
2020-01-01T20:00,18.4,19.0,13.1,0.00,0.00,0.00,0.00,25,71,10.1,2.7,67,919.0,1022.9,1
2020-01-01T21:00,17.8,18.4,13.0,0.00,0.00,0.00,0.00,21,73,9.7,2.4,27,919.3,1023.5,1
