latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
22.460455,104.08291,92.0,25200,Asia/Bangkok,GMT+7

time,temperature_2m (°C),apparent_temperature (°C),dew_point_2m (°C),precipitation (mm),rain (mm),snowfall (cm),snow_depth (m),cloud_cover (%),relative_humidity_2m (%),wind_gusts_10m (km/h),wind_speed_10m (km/h),wind_direction_10m (°),surface_pressure (hPa),pressure_msl (hPa),weather_code (wmo code)
2020-01-01T00:00,17.0,18.5,16.6,0.10,0.10,0.00,0.00,90,97,7.9,5.4,323,1013.1,1024.1,51
2020-01-01T01:00,16.9,18.4,16.5,0.10,0.10,0.00,0.00,85,97,8.3,5.1,321,1012.8,1023.8,51
2020-01-01T02:00,16.6,18.0,16.2,0.10,0.10,0.00,0.00,88,97,7.9,5.4,323,1012.4,1023.4,51
2020-01-01T03:00,16.5,18.1,16.1,0.30,0.30,0.00,0.00,98,97,7.6,3.9,326,1012.4,1023.4,51
2020-01-01T04:00,16.0,17.7,16.0,0.40,0.40,0.00,0.00,99,100,6.8,2.8,320,1012.2,1023.3,51
2020-01-01T05:00,15.9,17.5,15.9,0.40,0.40,0.00,0.00,98,100,6.1,2.8,320,1012.2,1023.3,51
2020-01-01T06:00,15.7,17.3,15.7,0.40,0.40,0.00,0.00,98,100,6.5,2.8,320,1012.9,1024.0,51
2020-01-01T07:00,15.9,17.4,15.9,0.40,0.40,0.00,0.00,99,100,6.1,3.4,328,1013.7,1024.8,51
2020-01-01T08:00,17.0,19.0,17.0,0.30,0.30,0.00,0.00,96,100,9.7,3.3,319,1014.3,1025.3,51
2020-01-01T09:00,17.9,20.6,17.9,0.30,0.30,0.00,0.00,97,100,10.1,1.5,315,1015.1,1026.1,51
2020-01-01T10:00,18.8,21.2,17.4,0.30,0.30,0.00,0.00,97,92,10.4,1.0,225,1015.3,1026.3,51
2020-01-01T11:00,18.9,21.3,17.9,0.20,0.20,0.00,0.00,98,94,12.6,2.9,210,1014.3,1025.3,51
2020-01-01T12:00,20.0,22.2,18.0,0.10,0.10,0.00,0.00,95,88,16.6,4.6,198,1013.3,1024.2,51
2020-01-01T13:00,20.8,22.9,17.8,0.00,0.00,0.00,0.00,83,83,18.7,4.8,193,1011.6,1022.5,3
2020-01-01T14:00,21.1,23.1,17.7,0.00,0.00,0.00,0.00,71,81,18.4,5.0,201,1010.5,1021.3,2
2020-01-01T15:00,21.2,23.1,17.5,0.00,0.00,0.00,0.00,60,79,18.7,5.5,203,1010.0,1020.8,2
2020-01-01T16:00,20.9,22.9,17.6,0.00,0.00,0.00,0.00,52,81,18.4,5.1,219,1010.0,1020.8,2
2020-01-01T17:00,20.0,22.7,18.1,0.00,0.00,0.00,0.00,100,89,14.4,1.9,248,1010.5,1021.4,3
2020-01-01T18:00,18.8,21.3,17.7,0.00,0.00,0.00,0.00,98,93,7.6,1.6,297,1011.1,1022.0,3
2020-01-01T19:00,17.2,19.1,16.5,0.10,0.10,0.00,0.00,95,95,6.8,2.6,326,1011.5,1022.5,51
2020-01-01T20:00,18.5,20.8,17.1,0.10,0.10,0.00,0.00,85,92,7.2,1.3,304,1012.0,1023.0,51
2020-01-01T21:00,18.1,20.3,17.2,0.20,0.20,0.00,0.00,86,94,6.1,2.6,304,1012.4,1023.4,51
2020-01-01T22:00,17.9,19.7,17.3,0.20,0.20,0.00,0.00,94,96,7.9,5.4,312,1012.8,1023.8,51
2020-01-01T23:00,17.8,19.6,17.3,0.30,0.30,0.00,0.00,97,97,8.3,5.4,323,1012.6,1023.6,51
2020-01-02T00:00,17.5,19.4,17.0,0.20,0.20,0.00,0.00,98,97,8.3,4.2,329,1012.4,1023.4,51
2020-01-02T01:00,17.1,19.1,17.1,0.30,0.30,0.00,0.00,97,100,6.1,3.2,333,1012.1,1023.1,51
2020-01-02T02:00,16.9,18.9,16.9,0.30,0.30,0.00,0.00,96,100,4.7,3.1,324,1011.7,1022.7,51
2020-01-02T03:00,16.9,18.9,16.8,0.20,0.20,0.00,0.00,97,100,4.7,2.8,320,1011.3,1022.3,51
2020-01-02T04:00,16.8,18.6,16.7,0.20,0.20,0.00,0.00,97,100,6.1,3.3,311,1011.3,1022.3,51
2020-01-02T05:00,16.7,18.5,16.7,0.20,0.20,0.00,0.00,97,100,7.2,3.6,307,1011.4,1022.4,51
2020-01-02T06:00,16.6,18.3,16.5,0.20,0.20,0.00,0.00,95,100,7.9,3.6,307,1011.9,1022.9,51
2020-01-02T07:00,16.3,17.8,16.3,0.20,0.20,0.00,0.00,100,100,8.3,4.6,315,1013.1,1024.1,51
2020-01-02T08:00,16.8,18.5,16.8,0.20,0.20,0.00,0.00,100,100,13.3,4.6,315,1013.9,1024.9,51
2020-01-02T09:00,17.1,19.0,16.8,0.10,0.10,0.00,0.00,100,98,12.2,3.5,336,1014.4,1025.4,51
2020-01-02T10:00,18.0,20.1,16.8,0.10,0.10,0.00,0.00,91,93,12.6,1.6,333,1014.2,1025.2,51
2020-01-02T11:00,19.0,21.4,17.1,0.00,0.00,0.00,0.00,83,89,10.8,0.5,135,1013.4,1024.4,3
